问题编号,方案名称,账本类型,评价阶段,自然日,时段开始,时段结束,价格_元每千瓦时,实际负载_千瓦,光伏功率_千瓦,净负荷_千瓦时,计划购电量_千瓦时,最终有效购电量_千瓦时,充电量_千瓦时,放电量_千瓦时,应急购电量_千瓦时,弃电量_千瓦时,储能期初_千瓦时,储能期末_千瓦时,普通购电费_元,调整购电费_元,应急购电费_元,总费用_元,原始策略,原始时段序号,原始来源
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-01-31,2025-02-01 00:00:00,2025-02-01 00:10:00,0.4276,2543.76,0.0,423.96,0.0,0.0,0.0,423.96,0.0,0.0,6075.795025925926,5604.728359259259,0.0,0.0,0.0,0.0,S2_load_q75,0,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 00:10:00,2025-02-01 00:20:00,0.4248,2532.1822,0.0,422.0303666666667,1286.7704003351214,1286.7704003351214,833.3333333333334,0.0,0.0,31.4067003351214,5604.728359259259,6354.728359259259,546.6200660623596,0.0,0.0,546.6200660623596,S2_load_q75,1,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 00:20:00,2025-02-01 00:30:00,0.4245,2492.4439,0.0,415.4073166666667,1297.367031192705,1297.367031192705,833.3333333333334,0.0,0.0,48.62638119270503,6354.728359259259,7104.728359259259,550.7323047413033,0.0,0.0,550.7323047413033,S2_load_q75,2,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 00:30:00,2025-02-01 00:40:00,0.4269,2464.3,0.0,410.7166666666667,1304.606052007715,1304.606052007715,833.3333333333334,0.0,0.0,60.55605200771504,7104.728359259259,7854.728359259259,556.9363236020936,0.0,0.0,556.9363236020936,S2_load_q75,3,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 00:40:00,2025-02-01 00:50:00,0.4272,2581.7688,0.0,430.2948,1304.1257421914345,1304.1257421914345,833.3333333333334,0.0,0.0,40.497608858101216,7854.728359259259,8604.72835925926,557.1225170641809,0.0,0.0,557.1225170641809,S2_load_q75,4,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 00:50:00,2025-02-01 01:00:00,0.4271,2546.4635,0.0,424.4105833333333,1306.5522664609991,1306.5522664609991,833.3333333333334,0.0,0.0,48.80834979433246,8604.72835925926,9354.72835925926,558.0284730054927,0.0,0.0,558.0284730054927,S2_load_q75,5,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 01:00:00,2025-02-01 01:10:00,0.4285,2436.31,0.0,406.0516666666666,494.018201614612,494.018201614612,87.96653494794532,0.0,0.0,0.0,9354.72835925926,9433.89824071241,211.6867993918612,0.0,0.0,211.6867993918612,S2_load_q75,6,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 01:10:00,2025-02-01 01:20:00,0.4311,2620.5011,0.0,436.7501833333333,500.5733759215923,500.5733759215923,63.82319258825896,0.0,0.0,0.0,9433.89824071241,9491.339114041844,215.79718235979843,0.0,0.0,215.79718235979843,S2_load_q75,7,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 01:20:00,2025-02-01 01:30:00,0.4302,2710.7861,0.0,451.7976833333333,475.4419270478692,475.4419270478692,23.644243714535943,0.0,0.0,0.0,9491.339114041844,9512.618933384923,204.53511701599336,0.0,0.0,204.53511701599336,S2_load_q75,8,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 01:30:00,2025-02-01 01:40:00,0.4279,2676.48,0.0,446.08,1307.0922038894391,1307.0922038894391,833.3333333333334,0.0,0.0,27.678870556105835,9512.618933384923,10262.618933384923,559.304754044291,0.0,0.0,559.304754044291,S2_load_q75,9,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 01:40:00,2025-02-01 01:50:00,0.4312,2830.598,0.0,471.7663333333333,494.913732198216,494.913732198216,23.14739886488269,0.0,0.0,0.0,10262.618933384923,10283.45159236332,213.40680132387075,0.0,0.0,213.40680132387075,S2_load_q75,10,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 01:50:00,2025-02-01 02:00:00,0.4333,2688.1558,0.0,448.02596666666665,511.8039839637841,511.8039839637841,63.7780172971174,0.0,0.0,0.0,10283.45159236332,10340.851807930723,221.76466625150763,0.0,0.0,221.76466625150763,S2_load_q75,11,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 02:00:00,2025-02-01 02:10:00,0.4311,2384.42,0.0,397.4033333333333,527.7268794137424,527.7268794137424,130.32354608040907,0.0,0.0,0.0,10340.851807930723,10458.142999403091,227.50305771526436,0.0,0.0,227.50305771526436,S2_load_q75,12,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 02:10:00,2025-02-01 02:20:00,0.4293,2604.5438,0.0,434.0906333333333,493.4204349535627,493.4204349535627,59.329801620229375,0.0,0.0,0.0,10458.142999403091,10511.5398208613,211.82539272556448,0.0,0.0,211.82539272556448,S2_load_q75,13,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 02:20:00,2025-02-01 02:30:00,0.4324,2943.3655,0.0,490.5609166666666,509.9211510263,509.9211510263,19.360234359633356,0.0,0.0,0.0,10511.5398208613,10528.96403178497,220.4899057037721,0.0,0.0,220.4899057037721,S2_load_q75,14,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 02:30:00,2025-02-01 02:40:00,0.4367,3019.32,0.0,503.22,526.964467153583,526.964467153583,23.744467153582946,0.0,0.0,0.0,10528.96403178497,10550.334052223194,230.12538280596968,0.0,0.0,230.12538280596968,S2_load_q75,15,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 02:40:00,2025-02-01 02:50:00,0.4348,2844.4369,0.0,474.07281666666665,509.5119204438972,509.5119204438972,35.43910377723057,0.0,0.0,0.0,10550.334052223194,10582.2292456227,221.5357830090065,0.0,0.0,221.5357830090065,S2_load_q75,16,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 02:50:00,2025-02-01 03:00:00,0.4335,2768.3064,0.0,461.3844,531.5256190539055,531.5256190539055,70.14121905390556,0.0,0.0,0.0,10582.2292456227,10645.356342771216,230.41635585986805,0.0,0.0,230.41635585986805,S2_load_q75,17,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 03:00:00,2025-02-01 03:10:00,0.4357,2861.65,0.0,476.94166666666666,551.5807639666189,551.5807639666189,74.6390972999522,0.0,0.0,0.0,10645.356342771216,10712.531530341172,240.32373886025584,0.0,0.0,240.32373886025584,S2_load_q75,18,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 03:10:00,2025-02-01 03:20:00,0.4374,2900.3973,0.0,483.39955,548.8706277285042,548.8706277285042,65.47107772850427,0.0,0.0,0.0,10712.531530341172,10771.455500296828,240.07601256844777,0.0,0.0,240.07601256844777,S2_load_q75,19,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 03:20:00,2025-02-01 03:30:00,0.4371,2919.6115,0.0,486.6019166666666,544.9564373725609,544.9564373725609,31.716110781302024,0.0,0.0,26.638409924592263,10771.455500296828,10800.0,238.2004587755464,0.0,0.0,238.2004587755464,S2_load_q75,20,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 03:30:00,2025-02-01 03:40:00,0.4356,2993.09,0.0,498.84833333333336,531.8296633019006,531.8296633019006,0.0,0.0,0.0,32.98132996856725,10800.0,10800.0,231.6650013343079,0.0,0.0,231.6650013343079,S2_load_q75,21,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 03:40:00,2025-02-01 03:50:00,0.4353,3109.8584,0.0,518.3097333333333,514.3497551454577,514.3497551454577,0.0,3.959978187875549,0.0,0.0,10800.0,10795.600024235691,223.89644841481777,0.0,0.0,223.89644841481777,S2_load_q75,22,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 03:50:00,2025-02-01 04:00:00,0.436,3054.8008,0.0,509.13346666666666,525.1401987699934,525.1401987699934,4.888861960340971,0.0,0.0,11.117870142985756,10795.600024235691,10800.0,228.96112666371712,0.0,0.0,228.96112666371712,S2_load_q75,23,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 04:00:00,2025-02-01 04:10:00,0.4378,2901.7,0.0,483.6166666666666,557.2734016320471,557.2734016320471,0.0,0.0,0.0,73.65673496538051,10800.0,10800.0,243.97429523451024,0.0,0.0,243.97429523451024,S2_load_q75,24,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 04:10:00,2025-02-01 04:20:00,0.4401,2947.1208,0.0,491.1868,553.4983719204369,553.4983719204369,0.0,0.0,0.0,62.31157192043685,10800.0,10800.0,243.59463348218424,0.0,0.0,243.59463348218424,S2_load_q75,25,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
问题三,S2：F2日内负载修正、Linear光伏、F2自身W28/q75、四节点滚动,滚动实际调度账本,正式评价期,2025-02-01,2025-02-01 04:20:00,2025-02-01 04:30:00,0.4389,3027.8717,0.0,504.6452833333333,555.1513455018985,555.1513455018985,0.0,0.0,0.0,50.506062168565165,10800.0,10800.0,243.65592554078327,0.0,0.0,243.65592554078327,S2_load_q75,26,results/q3_intraday_load_cost/S2_load_q75/dispatch.csv
