问题编号,方案名称,账本类型,评价阶段,自然日,时段开始,时段结束,价格_元每千瓦时,实际负载_千瓦,光伏功率_千瓦,净负荷_千瓦时,计划购电量_千瓦时,最终有效购电量_千瓦时,充电量_千瓦时,放电量_千瓦时,应急购电量_千瓦时,弃电量_千瓦时,储能期初_千瓦时,储能期末_千瓦时,普通购电费_元,调整购电费_元,应急购电费_元,总费用_元,原始策略,原始时段序号,原始来源
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 00:10:00,2025-01-02 00:20:00,0.4248,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,N_free,0,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 00:20:00,2025-01-02 00:30:00,0.4245,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,N_free,1,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 00:30:00,2025-01-02 00:40:00,0.4269,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,N_free,2,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 00:40:00,2025-01-02 00:50:00,0.4272,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,N_free,3,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 00:50:00,2025-01-02 01:00:00,0.4271,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,N_free,4,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 01:00:00,2025-01-02 01:10:00,0.4285,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,N_free,5,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 01:10:00,2025-01-02 01:20:00,0.4311,,,,0.0,0.0,,,603.1843999999992,,,,0.0,,1300.1639741999982,1300.1639741999982,N_free,6,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 01:20:00,2025-01-02 01:30:00,0.4302,,,,0.0,0.0,,,642.5204333333334,,,,0.0,,1382.0614521,1382.0614521,N_free,7,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 01:30:00,2025-01-02 01:40:00,0.4279,,,,0.0,0.0,,,630.63,,,,0.0,,1349.232885,1349.232885,N_free,8,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 01:40:00,2025-01-02 01:50:00,0.4312,,,,0.0,0.0,,,651.2308166666667,,,,0.0,,1404.0536407333334,1404.0536407333334,N_free,9,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 01:50:00,2025-01-02 02:00:00,0.4333,,,,0.0,0.0,,,661.3733,,,,0.0,,1432.86525445,1432.86525445,N_free,10,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 02:00:00,2025-01-02 02:10:00,0.4311,,,,0.0,0.0,,,647.795,,,,0.0,,1396.3221225,1396.3221225,N_free,11,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 02:10:00,2025-01-02 02:20:00,0.4293,,,,0.0,0.0,,,644.2316833333333,,,,0.0,,1382.843308275,1382.843308275,N_free,12,results/q2_time_mapping/N_free/template_plan.csv
问题二,N_free：模板购电计划,模板时段计划账本,公共初始化,2025-01-02,2025-01-02 02:20:00,2025-01-02 02:30:00,0.4324,,,,0.0,0.0,,,655.2810166666666,,,,0.0,,1416.7175580333333,1416.7175580333333,N_free,13,results/q2_time_mapping/N_free/template_plan.csv
