问题编号,方案名称,账本类型,评价阶段,自然日,时段开始,时段结束,价格_元每千瓦时,实际负载_千瓦,光伏功率_千瓦,净负荷_千瓦时,计划购电量_千瓦时,最终有效购电量_千瓦时,充电量_千瓦时,放电量_千瓦时,应急购电量_千瓦时,弃电量_千瓦时,储能期初_千瓦时,储能期末_千瓦时,普通购电费_元,调整购电费_元,应急购电费_元,总费用_元,原始策略,原始时段序号,原始来源
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-01-31,2025-02-01 00:00:00,2025-02-01 00:10:00,0.309,2543.76,0.0,423.96,0.0,0.0,0.0,423.96,0.0,0.0,6097.354409999999,5626.287743333332,0.0,0.0,0.0,0.0,Q42,0,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 00:10:00,2025-02-01 00:20:00,0.3281,2532.1822,0.0,422.0303666666667,455.7359170017879,455.7359170017879,33.705550335121245,0.0,0.0,0.0,5626.287743333332,5656.622738634942,149.52695436828662,0.0,0.0,149.52695436828662,Q42,1,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 00:20:00,2025-02-01 00:30:00,0.3257,2492.4439,0.0,415.4073166666667,1271.7646187497476,1271.7646187497476,833.3333333333334,0.0,0.0,23.023968749747496,5656.622738634942,6406.622738634942,414.2137363267928,0.0,0.0,414.2137363267928,Q42,2,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 00:30:00,2025-02-01 00:40:00,0.3041,2464.3,0.0,410.7166666666667,1306.1060520077149,1306.1060520077149,833.3333333333334,0.0,0.0,62.05605200771481,6406.622738634942,7156.622738634942,397.1868504155461,0.0,0.0,397.1868504155461,Q42,3,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 00:40:00,2025-02-01 00:50:00,0.3126,2581.7688,0.0,430.2948,1309.5896046093233,1309.5896046093233,833.3333333333334,0.0,0.0,45.96147127598999,7156.622738634942,7906.622738634942,409.3777104008744,0.0,0.0,409.3777104008744,Q42,4,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 00:50:00,2025-02-01 01:00:00,0.3286,2546.4635,0.0,424.4105833333333,475.7465591124011,475.7465591124011,51.33597577906778,0.0,0.0,0.0,7906.622738634942,7952.825116836103,156.330319324335,0.0,0.0,156.330319324335,Q42,5,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 01:00:00,2025-02-01 01:10:00,0.3438,2436.31,0.0,406.0516666666666,501.909523814466,501.909523814466,95.8578571477994,0.0,0.0,0.0,7952.825116836103,8039.097188269123,172.5564942874134,0.0,0.0,172.5564942874134,Q42,6,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 01:10:00,2025-02-01 01:20:00,0.3704,2620.5011,0.0,436.7501833333333,500.9540259215924,500.9540259215924,64.20384258825908,0.0,0.0,0.0,8039.097188269123,8096.880646598556,185.55337120135783,0.0,0.0,185.55337120135783,Q42,7,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 01:20:00,2025-02-01 01:30:00,0.3746,2710.7861,0.0,451.7976833333333,486.9273603812024,486.9273603812024,35.12967704786911,0.0,0.0,0.0,8096.880646598556,8128.4973559416385,182.4029891987984,0.0,0.0,182.4029891987984,Q42,8,results/q4_price_transfer/Q42/dispatch.csv
问题四-4-2,Q42：问题二配置迁移至附件4波动电价,波动电价滚动调度账本,正式评价期,2025-02-01,2025-02-01 01:30:00,2025-02-01 01:40:00,0.3606,2676.48,0.0,446.08,490.0843154913688,490.0843154913688,44.0043154913688,0.0,0.0,0.0,8128.4973559416385,8168.10123988387,176.72440416618758,0.0,0.0,176.72440416618758,Q42,9,results/q4_price_transfer/Q42/dispatch.csv
