target,day_index,date,trained,branch,n_train_days,n_rows,model_file,elapsed_seconds,reason,train_first,train_last,n_trees
load,1,2025-01-02,False,feature_history_fallback,0,0,,0.0,day_index<9,,,
pv,1,2025-01-02,False,feature_history_fallback,0,0,,0.0,day_index<8,,,
load,2,2025-01-03,False,feature_history_fallback,0,0,,0.0,day_index<9,,,
pv,2,2025-01-03,False,feature_history_fallback,0,0,,0.0,day_index<8,,,
load,3,2025-01-04,False,feature_history_fallback,0,0,,0.0,day_index<9,,,
pv,3,2025-01-04,False,feature_history_fallback,0,0,,0.0,day_index<8,,,
load,4,2025-01-05,False,feature_history_fallback,0,0,,0.0,day_index<9,,,
pv,4,2025-01-05,False,feature_history_fallback,0,0,,0.0,day_index<8,,,
load,5,2025-01-06,False,feature_history_fallback,0,0,,0.0,day_index<9,,,
pv,5,2025-01-06,False,feature_history_fallback,0,0,,0.0,day_index<8,,,
load,6,2025-01-07,False,feature_history_fallback,0,0,,0.0,day_index<9,,,
pv,6,2025-01-07,False,feature_history_fallback,0,0,,0.0,day_index<8,,,
load,7,2025-01-08,False,feature_history_fallback,0,0,,0.0,day_index<9,,,
pv,7,2025-01-08,False,feature_history_fallback,0,0,,0.0,day_index<8,,,
load,8,2025-01-09,False,feature_history_fallback,0,0,,0.0,day_index<9,,,
pv,8,2025-01-09,False,insufficient_history,0,0,,0.0,train_days=0<14,,,
load,9,2025-01-10,False,insufficient_history,0,0,,0.0,train_days=0<14,,,
pv,9,2025-01-10,False,insufficient_history,0,0,,0.0,train_days=0<14,,,
load,10,2025-01-11,False,insufficient_history,0,0,,0.0,train_days=0<14,,,
pv,10,2025-01-11,False,insufficient_history,1,0,,0.0,train_days=1<14,,,
load,11,2025-01-12,False,insufficient_history,1,0,,0.0,train_days=1<14,,,
pv,11,2025-01-12,False,insufficient_history,2,0,,0.0,train_days=2<14,,,
load,12,2025-01-13,False,insufficient_history,2,0,,0.0,train_days=2<14,,,
pv,12,2025-01-13,False,insufficient_history,3,0,,0.0,train_days=3<14,,,
load,13,2025-01-14,False,insufficient_history,3,0,,0.0,train_days=3<14,,,
pv,13,2025-01-14,False,insufficient_history,4,0,,0.0,train_days=4<14,,,
load,14,2025-01-15,False,insufficient_history,4,0,,0.0,train_days=4<14,,,
pv,14,2025-01-15,False,insufficient_history,5,0,,0.0,train_days=5<14,,,
load,15,2025-01-16,False,insufficient_history,5,0,,0.0,train_days=5<14,,,
pv,15,2025-01-16,False,insufficient_history,6,0,,0.0,train_days=6<14,,,
load,16,2025-01-17,False,insufficient_history,6,0,,0.0,train_days=6<14,,,
pv,16,2025-01-17,False,insufficient_history,7,0,,0.0,train_days=7<14,,,
load,17,2025-01-18,False,insufficient_history,7,0,,0.0,train_days=7<14,,,
pv,17,2025-01-18,False,insufficient_history,8,0,,0.0,train_days=8<14,,,
load,18,2025-01-19,False,insufficient_history,8,0,,0.0,train_days=8<14,,,
pv,18,2025-01-19,False,insufficient_history,9,0,,0.0,train_days=9<14,,,
load,19,2025-01-20,False,insufficient_history,9,0,,0.0,train_days=9<14,,,
pv,19,2025-01-20,False,insufficient_history,10,0,,0.0,train_days=10<14,,,
load,20,2025-01-21,False,insufficient_history,10,0,,0.0,train_days=10<14,,,
pv,20,2025-01-21,False,insufficient_history,11,0,,0.0,train_days=11<14,,,
load,21,2025-01-22,False,insufficient_history,11,0,,0.0,train_days=11<14,,,
pv,21,2025-01-22,False,insufficient_history,12,0,,0.0,train_days=12<14,,,
load,22,2025-01-23,False,insufficient_history,12,0,,0.0,train_days=12<14,,,
pv,22,2025-01-23,False,insufficient_history,13,0,,0.0,train_days=13<14,,,
load,23,2025-01-24,False,insufficient_history,13,0,,0.0,train_days=13<14,,,
pv,23,2025-01-24,True,fitted,14,2016,models/pv_2025-01-24.txt,0.04352609999477863,,2025-01-09,2025-01-22,100.0
load,24,2025-01-25,True,fitted,14,2016,models/load_2025-01-25.txt,0.016343000112101436,,2025-01-10,2025-01-23,100.0
pv,24,2025-01-25,True,fitted,15,2160,models/pv_2025-01-25.txt,0.015465800184756517,,2025-01-09,2025-01-23,100.0
load,25,2025-01-26,True,fitted,15,2160,,0.013618200086057186,,2025-01-10,2025-01-24,100.0
pv,25,2025-01-26,True,fitted,16,2304,,0.013378399889916182,,2025-01-09,2025-01-24,100.0
load,26,2025-01-27,True,fitted,16,2304,,0.013321799924597144,,2025-01-10,2025-01-25,100.0
pv,26,2025-01-27,True,fitted,17,2448,,0.014389399904757738,,2025-01-09,2025-01-25,100.0
load,27,2025-01-28,True,fitted,17,2448,,0.015080099925398827,,2025-01-10,2025-01-26,100.0
pv,27,2025-01-28,True,fitted,18,2592,,0.014947100076824427,,2025-01-09,2025-01-26,100.0
