group,date,update_hour,segment_index,interval_start,q_nominal_kWh,state_nominal_kWh
B2,2025-02-01,0,0,2025-02-01 00:10:00,1289.0692503351213,5552.09784488618
B2,2025-02-01,0,1,2025-02-01 00:20:00,1298.0504287055837,6302.09784488618
B2,2025-02-01,0,2,2025-02-01 00:30:00,1306.1060520077149,7052.097844886179
B2,2025-02-01,0,3,2025-02-01 00:40:00,1309.5896046093233,7802.097844886179
B2,2025-02-01,0,4,2025-02-01 00:50:00,1309.0798924457345,8552.097844886179
B2,2025-02-01,0,5,2025-02-01 01:00:00,501.909523814466,9302.097844886179
B2,2025-02-01,0,6,2025-02-01 01:10:00,500.9540259215924,9302.097844886179
B2,2025-02-01,0,7,2025-02-01 01:20:00,486.9273603812024,9302.097844886179
B2,2025-02-01,0,8,2025-02-01 01:30:00,1321.0867100622813,9302.097844886179
B2,2025-02-01,0,9,2025-02-01 01:40:00,498.4686633364116,10050.0
B2,2025-02-01,0,10,2025-02-01 01:50:00,515.1747672971175,10050.0
B2,2025-02-01,0,11,2025-02-01 02:00:00,537.4309758006063,10050.0
B2,2025-02-01,0,12,2025-02-01 02:10:00,496.8615928685187,10050.0
B2,2025-02-01,0,13,2025-02-01 02:20:00,514.8206343596333,10050.0
B2,2025-02-01,0,14,2025-02-01 02:30:00,530.3478004869163,10050.0
B2,2025-02-01,0,15,2025-02-01 02:40:00,525.7886537772307,10050.0
B2,2025-02-01,0,16,2025-02-01 02:50:00,548.2874690539056,10050.0
B2,2025-02-01,0,17,2025-02-01 03:00:00,557.5160193937859,10050.0
B2,2025-02-01,0,18,2025-02-01 03:10:00,551.6359897408255,10050.0
B2,2025-02-01,0,19,2025-02-01 03:20:00,550.3496987848387,10050.0
B2,2025-02-01,0,20,2025-02-01 03:30:00,548.8317068090373,10050.0
B2,2025-02-01,0,21,2025-02-01 03:40:00,526.6274516586809,10050.0
B2,2025-02-01,0,22,2025-02-01 03:50:00,527.7176381872251,10050.0
B2,2025-02-01,0,23,2025-02-01 04:00:00,562.0150682987138,10050.0
B2,2025-02-01,0,24,2025-02-01 04:10:00,557.0000194604846,10050.0
B2,2025-02-01,0,25,2025-02-01 04:20:00,558.75181410148,10050.0
B2,2025-02-01,0,26,2025-02-01 04:30:00,568.2782531872493,10050.0
B2,2025-02-01,0,27,2025-02-01 04:40:00,566.1102635142184,10050.0
B2,2025-02-01,0,28,2025-02-01 04:50:00,571.9122958379376,10050.0
B2,2025-02-01,0,29,2025-02-01 05:00:00,554.8908933326021,10050.0
B2,2025-02-01,0,30,2025-02-01 05:10:00,573.9070045223554,10050.0
B2,2025-02-01,0,31,2025-02-01 05:20:00,605.9410728352022,10050.0
B2,2025-02-01,0,32,2025-02-01 05:30:00,599.4171462504426,10050.0
B2,2025-02-01,0,33,2025-02-01 05:40:00,1417.9237013856487,10050.0
B2,2025-02-01,0,34,2025-02-01 05:50:00,564.6877589094746,10800.0
B2,2025-02-01,0,35,2025-02-01 06:00:00,0.0,10800.0
B2,2025-02-01,0,36,2025-02-01 06:10:00,0.0,10176.463196749353
B2,2025-02-01,0,37,2025-02-01 06:20:00,0.0,9533.91245139437
B2,2025-02-01,0,38,2025-02-01 06:30:00,0.0,8896.587494603615
B2,2025-02-01,0,39,2025-02-01 06:40:00,0.0,8268.10881427507
B2,2025-02-01,0,40,2025-02-01 06:50:00,0.0,7639.333726722149
B2,2025-02-01,0,41,2025-02-01 07:00:00,0.0,6976.136431981374
B2,2025-02-01,0,42,2025-02-01 07:10:00,0.0,6295.899903824853
B2,2025-02-01,0,43,2025-02-01 07:20:00,0.0,5638.01274793874
B2,2025-02-01,0,44,2025-02-01 07:30:00,0.0,5037.965599678109
B2,2025-02-01,0,45,2025-02-01 07:40:00,0.0,4484.753613596236
B2,2025-02-01,0,46,2025-02-01 07:50:00,0.0,3981.1762600905568
B2,2025-02-01,0,47,2025-02-01 08:00:00,0.0,3563.3611301803326
B2,2025-02-01,0,48,2025-02-01 08:10:00,0.0,3214.2487511195077
B2,2025-02-01,0,49,2025-02-01 08:20:00,0.0,2912.231400883434
B2,2025-02-01,0,50,2025-02-01 08:30:00,0.0,2667.028388627667
B2,2025-02-01,0,51,2025-02-01 08:40:00,0.0,2474.3756596979883
B2,2025-02-01,0,52,2025-02-01 08:50:00,0.0,2332.7435082878183
B2,2025-02-01,0,53,2025-02-01 09:00:00,0.0,2187.8934060294987
B2,2025-02-01,0,54,2025-02-01 09:10:00,0.0,2045.4884341178754
B2,2025-02-01,0,55,2025-02-01 09:20:00,0.0,1941.178677547024
B2,2025-02-01,0,56,2025-02-01 09:30:00,0.0,1919.9256020947423
B2,2025-02-01,0,57,2025-02-01 09:40:00,0.0,1949.1639546852932
B2,2025-02-01,0,58,2025-02-01 09:50:00,0.0,2032.6593298532475
B2,2025-02-01,0,59,2025-02-01 10:00:00,0.0,2166.2193108051697
B2,2025-02-01,0,60,2025-02-01 10:10:00,0.0,2338.8952919389512
B2,2025-02-01,0,61,2025-02-01 10:20:00,0.0,2554.545664942803
B2,2025-02-01,0,62,2025-02-01 10:30:00,0.0,2829.324717625782
B2,2025-02-01,0,63,2025-02-01 10:40:00,0.0,3139.55079356465
B2,2025-02-01,0,64,2025-02-01 10:50:00,0.0,3454.700287103845
B2,2025-02-01,0,65,2025-02-01 11:00:00,0.0,3773.4745993672605
B2,2025-02-01,0,66,2025-02-01 11:10:00,0.0,4123.339411159203
B2,2025-02-01,0,67,2025-02-01 11:20:00,0.0,4490.370363942401
B2,2025-02-01,0,68,2025-02-01 11:30:00,0.0,4840.944101389542
B2,2025-02-01,0,69,2025-02-01 11:40:00,0.0,5161.327780569395
B2,2025-02-01,0,70,2025-02-01 11:50:00,309.24271846909454,5471.547021990474
B2,2025-02-01,0,71,2025-02-01 12:00:00,485.65230307884053,6053.45644771534
B2,2025-02-01,0,72,2025-02-01 12:10:00,526.6044020805638,6803.45644771534
B2,2025-02-01,0,73,2025-02-01 12:20:00,582.2880085126885,7553.45644771534
B2,2025-02-01,0,74,2025-02-01 12:30:00,579.0684696734938,8303.45644771534
B2,2025-02-01,0,75,2025-02-01 12:40:00,576.6807084284123,9053.45644771534
B2,2025-02-01,0,76,2025-02-01 12:50:00,0.0,9803.45644771534
B2,2025-02-01,0,77,2025-02-01 13:00:00,0.0,10015.524005055535
B2,2025-02-01,0,78,2025-02-01 13:10:00,0.0,10183.695563799578
B2,2025-02-01,0,79,2025-02-01 13:20:00,0.0,10354.2124605716
B2,2025-02-01,0,80,2025-02-01 13:30:00,0.0,10518.461684613258
B2,2025-02-01,0,81,2025-02-01 13:40:00,0.0,10640.03245468194
B2,2025-02-01,0,82,2025-02-01 13:50:00,0.0,10728.572792323066
B2,2025-02-01,0,83,2025-02-01 14:00:00,0.0,10782.299694708621
B2,2025-02-01,0,84,2025-02-01 14:10:00,0.0,10800.0
B2,2025-02-01,0,85,2025-02-01 14:20:00,0.0,10797.592039697123
B2,2025-02-01,0,86,2025-02-01 14:30:00,0.0,10769.411148637242
B2,2025-02-01,0,87,2025-02-01 14:40:00,0.0,10713.107380879634
B2,2025-02-01,0,88,2025-02-01 14:50:00,0.0,10599.889321390476
B2,2025-02-01,0,89,2025-02-01 15:00:00,177.7324196086494,10419.5132522923
B2,2025-02-01,0,90,2025-02-01 15:10:00,632.3937283891116,10419.5132522923
B2,2025-02-01,0,91,2025-02-01 15:20:00,261.9898437296046,10800.0
B2,2025-02-01,0,92,2025-02-01 15:30:00,313.37057565943246,10800.0
B2,2025-02-01,0,93,2025-02-01 15:40:00,352.1632228236851,10800.0
B2,2025-02-01,0,94,2025-02-01 15:50:00,397.7855413931457,10800.0
B2,2025-02-01,0,95,2025-02-01 16:00:00,444.3452194932335,10800.0
B2,2025-02-01,0,96,2025-02-01 16:10:00,443.0501416968546,10800.0
B2,2025-02-01,0,97,2025-02-01 16:20:00,468.4154590684552,10800.0
B2,2025-02-01,0,98,2025-02-01 16:30:00,511.0898762942652,10800.0
B2,2025-02-01,0,99,2025-02-01 16:40:00,514.7956597434325,10800.0
B2,2025-02-01,0,100,2025-02-01 16:50:00,475.45617090945854,10800.0
B2,2025-02-01,0,101,2025-02-01 17:00:00,442.0204147391877,10800.0
B2,2025-02-01,0,102,2025-02-01 17:10:00,472.2673316806747,10800.0
B2,2025-02-01,0,103,2025-02-01 17:20:00,489.36016152635233,10800.0
B2,2025-02-01,0,104,2025-02-01 17:30:00,489.75100029120586,10800.0
B2,2025-02-01,0,105,2025-02-01 17:40:00,483.418877592324,10800.0
B2,2025-02-01,0,106,2025-02-01 17:50:00,465.8926110141439,10800.0
B2,2025-02-01,0,107,2025-02-01 18:00:00,0.0,10800.0
B2,2025-02-01,0,108,2025-02-01 18:10:00,0.0,10257.524190206046
B2,2025-02-01,0,109,2025-02-01 18:20:00,0.0,9717.225152844867
