month,S0_L75,S2_load_q75,delta_yuan
2025-02,1194184.2319153734,1197991.9735323887,3807.74161701533
2025-03,1104849.442870419,1106196.1749857464,1346.7321153273806
2025-04,913521.6136248189,914036.7307483314,515.1171235125512
2025-05,967189.8356967196,959990.3303416119,-7199.505355107714
2025-06,1289167.7432111904,1289400.2618744937,232.5186633032281
2025-07,1476068.3684001858,1461882.2524710044,-14186.115929181455
2025-08,1259319.4919100907,1258740.8166800383,-578.6752300523221
2025-09,1113459.6811484536,1111032.5597038516,-2427.1214446020313
2025-10,1105879.560159292,1112475.058767801,6595.498608508846
2025-11,1257375.5695361455,1261176.501343786,3800.9318076404743
2025-12,1672806.5004471638,1657455.2978918925,-15351.202555271331
