group,interval_start,interval_end,owner_date,effective_version,price_yuan_kWh,actual_load_kW,actual_pv_kW,net_kWh,q0_kWh,q_eff_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
B1,2025-02-01 00:00:00,2025-02-01 00:10:00,2025-01-31,public_January,0.4276,2543.76,0.0,423.96000000000004,0.0,0.0,0.0,423.96000000000004,0.0,0.0,6075.795025925926,5604.728359259259,0.0,0.0,0.0,0.0
B1,2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01,2025-02-01 00:00,0.4248,2532.1822,0.0,422.0303666666667,1289.0692503351213,1289.0692503351213,833.3333333333334,0.0,0.0,33.7055503351213,5604.728359259259,6354.728359259259,547.5966175423596,0.0,0.0,547.5966175423596
B1,2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01,2025-02-01 00:00,0.4245,2492.4439,0.0,415.4073166666667,1298.0504287055837,1298.0504287055837,833.3333333333334,0.0,0.0,49.30977870558365,6354.728359259259,7104.728359259259,551.0224069855203,0.0,0.0,551.0224069855203
B1,2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01,2025-02-01 00:00,0.4269,2464.3,0.0,410.7166666666667,1306.1060520077149,1306.1060520077149,833.3333333333334,0.0,0.0,62.05605200771481,7104.728359259259,7854.728359259259,557.5766736020935,0.0,0.0,557.5766736020935
B1,2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01,2025-02-01 00:00,0.4272,2581.7688,0.0,430.29479999999995,1309.5896046093233,1309.5896046093233,833.3333333333334,0.0,0.0,45.96147127598999,7854.728359259259,8604.72835925926,559.456679089103,0.0,0.0,559.456679089103
B1,2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01,2025-02-01 00:00,0.4271,2546.4635,0.0,424.4105833333333,1309.0798924457345,1309.0798924457345,833.3333333333334,0.0,0.0,51.33597577906778,8604.72835925926,9354.72835925926,559.1080220635731,0.0,0.0,559.1080220635731
B1,2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01,2025-02-01 00:00,0.4285,2436.31,0.0,406.0516666666666,501.909523814466,501.909523814466,95.8578571477994,0.0,0.0,0.0,9354.72835925926,9441.000430692278,215.0682309544987,0.0,0.0,215.0682309544987
B1,2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01,2025-02-01 00:00,0.4311,2620.5011,0.0,436.7501833333333,500.9540259215924,500.9540259215924,64.20384258825908,0.0,0.0,0.0,9441.000430692278,9498.783889021712,215.96128057479848,0.0,0.0,215.96128057479848
B1,2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01,2025-02-01 00:00,0.4302,2710.7861,0.0,451.7976833333333,486.9273603812024,486.9273603812024,35.12967704786911,0.0,0.0,0.0,9498.783889021712,9530.400598364793,209.47615043599328,0.0,0.0,209.47615043599328
B1,2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01,2025-02-01 00:00,0.4279,2676.48,0.0,446.08,1321.0867100622813,1321.0867100622813,833.3333333333334,0.0,0.0,41.67337672894803,9530.400598364793,10280.400598364793,565.2930032356502,0.0,0.0,565.2930032356502
B1,2025-02-01 01:40:00,2025-02-01 01:50:00,2025-02-01,2025-02-01 00:00,0.4312,2830.598,0.0,471.7663333333333,498.4686633364116,498.4686633364116,26.702330003078316,0.0,0.0,0.0,10280.400598364793,10304.432695367563,214.9396876306607,0.0,0.0,214.9396876306607
B1,2025-02-01 01:50:00,2025-02-01 02:00:00,2025-02-01,2025-02-01 00:00,0.4333,2688.1558,0.0,448.02596666666665,515.1747672971175,515.1747672971175,67.14880063045081,0.0,0.0,0.0,10304.432695367563,10364.866615934969,223.225226669841,0.0,0.0,223.225226669841
B1,2025-02-01 02:00:00,2025-02-01 02:10:00,2025-02-01,2025-02-01 00:00,0.4311,2384.42,0.0,397.4033333333333,537.4309758006063,537.4309758006063,140.02764246727304,0.0,0.0,0.0,10364.866615934969,10490.891494155514,231.6864936676414,0.0,0.0,231.6864936676414
B1,2025-02-01 02:10:00,2025-02-01 02:20:00,2025-02-01,2025-02-01 00:00,0.4293,2604.5438,0.0,434.0906333333333,496.8615928685187,496.8615928685187,62.7709595351854,0.0,0.0,0.0,10490.891494155514,10547.385357737181,213.30268181845508,0.0,0.0,213.30268181845508
B1,2025-02-01 02:20:00,2025-02-01 02:30:00,2025-02-01,2025-02-01 00:00,0.4324,2943.3655,0.0,490.5609166666666,514.8206343596333,514.8206343596333,24.259717692966717,0.0,0.0,0.0,10547.385357737181,10569.219103660851,222.60844229710546,0.0,0.0,222.60844229710546
B1,2025-02-01 02:30:00,2025-02-01 02:40:00,2025-02-01,2025-02-01 00:00,0.4367,3019.32,0.0,503.22,530.3478004869163,530.3478004869163,27.12780048691627,0.0,0.0,0.0,10569.219103660851,10593.634124099075,231.60288447263633,0.0,0.0,231.60288447263633
B1,2025-02-01 02:40:00,2025-02-01 02:50:00,2025-02-01,2025-02-01 00:00,0.4348,2844.4369,0.0,474.07281666666665,525.7886537772307,525.7886537772307,51.71583711056405,0.0,0.0,0.0,10593.634124099075,10640.178377498583,228.61290666233992,0.0,0.0,228.61290666233992
B1,2025-02-01 02:50:00,2025-02-01 03:00:00,2025-02-01,2025-02-01 00:00,0.4335,2768.3064,0.0,461.38439999999997,548.2874690539056,548.2874690539056,86.90306905390565,0.0,0.0,0.0,10640.178377498583,10718.391139647098,237.6826178348681,0.0,0.0,237.6826178348681
B1,2025-02-01 03:00:00,2025-02-01 03:10:00,2025-02-01,2025-02-01 00:00,0.4357,2861.65,0.0,476.94166666666666,557.5160193937859,557.5160193937859,80.57435272711922,0.0,0.0,0.0,10718.391139647098,10790.908057101506,242.9097296498725,0.0,0.0,242.9097296498725
B1,2025-02-01 03:10:00,2025-02-01 03:20:00,2025-02-01,2025-02-01 00:00,0.4374,2900.3973,0.0,483.39955,551.6359897408255,551.6359897408255,10.102158776104867,0.0,0.0,58.13428096472065,10790.908057101506,10800.0,241.28558191263707,0.0,0.0,241.28558191263707
