group,date,update_hour,kind,objective_yuan,mip_gap,seconds,max_violation_kWh,n_intervals,context
B2,2025-02-01,0,plan,23915.343952607305,0.0,0.021565500181168318,9.094947017729282e-13,144,B2 2025-02-01 00:00 plan
B2,2025-02-01,6,revision,12107.62425909005,0.0,0.027008800068870187,9.094947017729282e-13,109,B2 2025-02-01 06:00
B2,2025-02-01,12,revision,12198.80345306152,0.0,0.021647999994456768,1.7743523480153976e-11,73,B2 2025-02-01 12:00
B2,2025-02-01,18,revision,5499.981838408503,0.0,0.011963600059971213,1.5916157281026244e-12,37,B2 2025-02-01 18:00
B2,2025-02-02,0,plan,59235.945758959744,0.0,0.023325700080022216,7.958078640513122e-13,144,B2 2025-02-02 00:00 plan
B2,2025-02-02,6,revision,43836.517288331655,0.0,0.012778599979355931,9.094947017729282e-13,109,B2 2025-02-02 06:00
B2,2025-02-02,12,revision,31909.789131993297,0.0,0.015055800089612603,8.810729923425242e-13,73,B2 2025-02-02 12:00
B2,2025-02-02,18,revision,13577.582755056123,0.0,0.012568900128826499,1.2505552149377763e-12,37,B2 2025-02-02 18:00
B2,2025-02-03,0,plan,60249.00122362582,0.0,0.013268099864944816,7.958078640513122e-13,144,B2 2025-02-03 00:00 plan
B2,2025-02-03,6,revision,44168.7730477706,0.0,0.022008500061929226,8.526512829121202e-13,109,B2 2025-02-03 06:00
B2,2025-02-03,12,revision,32433.99186780787,0.0,0.016815799986943603,7.958078640513122e-13,73,B2 2025-02-03 12:00
B2,2025-02-03,18,revision,13423.695283930505,0.0,0.012175299925729632,1.3642420526593924e-12,37,B2 2025-02-03 18:00
B2,2025-02-04,0,plan,60408.32755348552,0.0,0.029110000003129244,1.295260195396016e-12,144,B2 2025-02-04 00:00 plan
B2,2025-02-04,6,revision,44815.57845361229,0.0,0.020251099951565266,4.838722015657975e-10,109,B2 2025-02-04 06:00
B2,2025-02-04,12,revision,32124.201681747905,0.0,0.014334900071844459,6.252776074688882e-13,73,B2 2025-02-04 12:00
B2,2025-02-04,18,revision,12692.894357413468,0.0,0.00844809995032847,2.7284841053187847e-12,37,B2 2025-02-04 18:00
B2,2025-02-05,0,plan,56574.06268837602,0.0,0.018067300086840987,8.526512829121202e-13,144,B2 2025-02-05 00:00 plan
B2,2025-02-05,6,revision,42862.90952013713,0.0,0.019765299977734685,7.771561172376096e-12,109,B2 2025-02-05 06:00
B2,2025-02-05,12,revision,30437.88310023775,0.0,0.02210110006853938,1.4779288903810084e-12,73,B2 2025-02-05 12:00
B2,2025-02-05,18,revision,12844.90644947101,0.0,0.008556599961593747,4.547473508864641e-13,37,B2 2025-02-05 18:00
B2,2025-02-06,0,plan,60267.934236880865,1.2072684598057643e-16,0.012234100140631199,9.094947017729282e-13,144,B2 2025-02-06 00:00 plan
B2,2025-02-06,6,revision,44031.36073359909,0.0,0.011308299843221903,3.637978807091713e-12,109,B2 2025-02-06 06:00
B2,2025-02-06,12,revision,31772.474701362753,0.0,0.014510800130665302,1.8503717077085944e-12,73,B2 2025-02-06 12:00
B2,2025-02-06,18,revision,12834.967714358503,0.0,0.00795050011947751,7.958078640513122e-13,37,B2 2025-02-06 18:00
B2,2025-02-07,0,plan,24274.69040551397,0.0,0.02611320000141859,7.958078640513122e-13,144,B2 2025-02-07 00:00 plan
B2,2025-02-07,6,revision,11601.582871590224,0.0,0.025501699885353446,2.6147972675971687e-12,109,B2 2025-02-07 06:00
B2,2025-02-07,12,revision,10679.217105810212,0.0,0.024972100043669343,1.3642420526593924e-12,73,B2 2025-02-07 12:00
B2,2025-02-07,18,revision,4984.380848889159,0.0,0.011083699995651841,6.821210263296962e-13,37,B2 2025-02-07 18:00
B2,2025-02-08,0,plan,19473.43316710671,0.0,0.03493630001321435,1.698953939094445e-11,144,B2 2025-02-08 00:00 plan
B2,2025-02-08,6,revision,9657.170911395291,0.0,0.017690900014713407,7.958078640513122e-13,109,B2 2025-02-08 06:00
B2,2025-02-08,12,revision,9405.524115419603,3.8679171542684564e-16,0.02988560008816421,1.1652900866465643e-12,73,B2 2025-02-08 12:00
B2,2025-02-08,18,revision,5084.3047222691575,0.0,0.007854700088500977,1.0231815394945443e-12,37,B2 2025-02-08 18:00
B2,2025-02-09,0,plan,58305.747649596095,1.2478971469348492e-16,0.01228250004351139,9.094947017729282e-13,144,B2 2025-02-09 00:00 plan
B2,2025-02-09,6,revision,43482.40036252228,0.0,0.02745590009726584,1.5916157281026244e-12,109,B2 2025-02-09 06:00
B2,2025-02-09,12,revision,30285.656002098072,0.0,0.015260400017723441,5.736152293896643e-12,73,B2 2025-02-09 12:00
B2,2025-02-09,18,revision,12999.948871609962,0.0,0.007600199896842241,2.9558577807620168e-12,37,B2 2025-02-09 18:00
B2,2025-02-10,0,plan,55327.683130377794,0.0,0.013873400166630745,1.0231815394945443e-12,144,B2 2025-02-10 00:00 plan
B2,2025-02-10,6,revision,38195.22608493077,0.0,0.019713900052011013,9.094947017729282e-13,109,B2 2025-02-10 06:00
B2,2025-02-10,12,revision,29781.29475727867,0.0,0.014460999984294176,1.1102230246251565e-12,73,B2 2025-02-10 12:00
B2,2025-02-10,18,revision,13088.916721384105,0.0,0.007476900005713105,1.3642420526593924e-12,37,B2 2025-02-10 18:00
B2,2025-02-11,0,plan,56078.72399002458,0.0,0.028406300116330385,9.094947017729282e-13,144,B2 2025-02-11 00:00 plan
B2,2025-02-11,6,revision,39722.41057713719,0.0,0.0228341999463737,9.094947017729282e-13,109,B2 2025-02-11 06:00
B2,2025-02-11,12,revision,30195.443588917115,0.0,0.0144726000726223,6.106226635438361e-12,73,B2 2025-02-11 12:00
B2,2025-02-11,18,revision,13051.510546849542,0.0,0.008149300003424287,3.410605131648481e-13,37,B2 2025-02-11 18:00
B2,2025-02-12,0,plan,55282.424105191916,0.0,0.013377000112086535,9.094947017729282e-13,144,B2 2025-02-12 00:00 plan
B2,2025-02-12,6,revision,38807.33725587652,0.0,0.022911899955943227,1.8503717077085944e-12,109,B2 2025-02-12 06:00
B2,2025-02-12,12,revision,29428.088748336224,0.0,0.015368800144642591,3.3306690738754696e-12,73,B2 2025-02-12 12:00
B2,2025-02-12,18,revision,12882.122700314398,0.0,0.007730300072580576,1.8189894035458565e-12,37,B2 2025-02-12 18:00
B2,2025-02-13,0,plan,51706.1083952157,0.0,0.024136600084602833,9.094947017729282e-13,144,B2 2025-02-13 00:00 plan
B2,2025-02-13,6,revision,35760.798294476925,0.0,0.018860999960452318,3.497202527569243e-11,109,B2 2025-02-13 06:00
B2,2025-02-13,12,revision,28146.05196979397,0.0,0.012509699910879135,6.821210263296962e-13,73,B2 2025-02-13 12:00
B2,2025-02-13,18,revision,12979.685936158357,0.0,0.007998200133442879,1.8189894035458565e-12,37,B2 2025-02-13 18:00
B2,2025-02-14,0,plan,20263.554397539232,0.0,0.04290529992431402,2.2453150450019166e-12,144,B2 2025-02-14 00:00 plan
B2,2025-02-14,6,revision,9660.573084151121,0.0,0.024395700078457594,9.663381206337363e-13,109,B2 2025-02-14 06:00
B2,2025-02-14,12,revision,9633.513499515464,0.0,0.014276199974119663,9.663381206337363e-13,73,B2 2025-02-14 12:00
B2,2025-02-14,18,revision,5126.829611612906,0.0,0.007518300088122487,8.526512829121202e-13,37,B2 2025-02-14 18:00
B2,2025-02-15,0,plan,19730.51848958671,0.0,0.030149800004437566,2.8137492336099967e-12,144,B2 2025-02-15 00:00 plan
