group,date,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,charge_kWh,discharge_kWh,state_start_kWh,state_end_kWh
B0,2025-03-20,42052.03607770525,0.0,0.0,42052.03607770525,0.0,20623.943542521454,17082.083217181138,2053.707415024257,1635.16413975897
B0,2025-06-21,20595.580513934245,0.0,0.0,20595.580513934245,0.0,12480.160070017382,9813.980120395703,2637.3773176403124,2965.0990246607307
B0,2025-09-23,42884.3242142551,0.0,2760.9143634038287,45645.23857765893,409.6814164790937,20940.01997631967,16830.034707594008,1420.504637207824,1566.4840519021852
B0,2025-12-21,63095.90333866453,0.0,0.0,63095.90333866453,0.0,23918.87771800182,19481.293601016016,1917.103455643378,1798.2116229383355
B1,2025-03-20,44036.015409438754,0.0,1897.8994956620668,45933.91490510082,386.5051888529418,21779.397369070197,17585.661296501476,1668.0670351408103,1729.901004524574
B1,2025-06-21,20393.663618541876,0.0,0.0,20393.663618541876,0.0,12400.986076629531,9793.518388055183,2718.7172817673077,2997.9176528947883
B1,2025-09-23,46218.525391792136,0.0,42.99618749999924,46261.52157929214,6.374999999999886,20559.125304876216,16462.781582764754,1418.6952835640411,1629.9285215473524
B1,2025-12-21,63400.59396096692,0.0,94.47389255998796,63495.06785352691,16.26476587070465,23617.578485989863,19247.40532551688,1928.3969027884334,1798.2116229383357
B2,2025-03-20,41004.08985897812,1715.3800044602942,166.21081677523463,42885.68068021365,33.31879658719748,21494.903324091458,17702.297461963797,2053.7074150242574,1729.901004524574
B2,2025-06-21,20386.400658967155,106.18678382927422,0.0,20492.58744279643,0.0,12481.982830701327,9763.468070713583,2659.6039301365204,3045.0906214192855
B2,2025-09-23,42767.29728290273,1684.6439975449662,42.99618749999924,44494.9374679477,6.374999999999886,21463.734519414065,17382.230232186303,1632.4137540540348,1636.1856746530234
B2,2025-12-21,61961.153850454975,1109.4383694796309,75.03297105739837,63145.625190992,12.91778790692922,24492.470592835067,19954.576497862934,1926.7397536789238,1798.2116229383357
