group,interval_start,interval_end,owner_date,effective_version,price_yuan_kWh,actual_load_kW,actual_pv_kW,net_kWh,q0_kWh,q_eff_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
F43,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-19,2025-03-19 12:00,0.4495,3410.51,0.0,568.4183333333333,606.873579566767,606.873579566767,38.45524623343374,0.0,0.0,0.0,2053.7074150242574,2088.3171366343477,272.78967401526177,0.0,0.0,272.78967401526177
F43,2025-03-20 00:10:00,2025-03-20 00:20:00,2025-03-20,2025-03-20 00:00,0.4487,3299.0689,0.0,549.8448166666667,1432.2577948803437,1432.2577948803437,833.3333333333334,0.0,0.0,49.07964488034361,2088.3171366343477,2838.3171366343477,642.6540725628101,0.0,0.0,642.6540725628101
F43,2025-03-20 00:20:00,2025-03-20 00:30:00,2025-03-20,2025-03-20 00:00,0.4373,3421.881,0.0,570.3135,1422.0903549842642,1422.0903549842642,833.3333333333334,0.0,0.0,18.443521650930847,2838.3171366343477,3588.3171366343477,621.8801122346188,0.0,0.0,621.8801122346188
F43,2025-03-20 00:30:00,2025-03-20 00:40:00,2025-03-20,2025-03-20 00:00,0.4311,3683.11,0.0,613.8516666666667,1423.5854735331443,1423.5854735331443,809.7338068664776,0.0,0.0,0.0,3588.3171366343477,4317.077562814177,613.7076976401385,0.0,0.0,613.7076976401385
F43,2025-03-20 00:40:00,2025-03-20 00:50:00,2025-03-20,2025-03-20 00:00,0.4344,3476.737,0.0,579.4561666666666,1428.506378349246,1428.506378349246,833.3333333333334,0.0,0.0,15.71687834924603,4317.077562814177,5067.077562814177,620.5431707549125,0.0,0.0,620.5431707549125
F43,2025-03-20 00:50:00,2025-03-20 01:00:00,2025-03-20,2025-03-20 00:00,0.4238,3302.6695,0.0,550.4449166666666,1434.2092951527284,1434.2092951527284,833.3333333333334,0.0,0.0,50.431045152728416,5067.077562814177,5817.077562814177,607.8178992857263,0.0,0.0,607.8178992857263
F43,2025-03-20 01:00:00,2025-03-20 01:10:00,2025-03-20,2025-03-20 00:00,0.4296,3426.94,0.0,571.1566666666666,1431.649388801448,1431.649388801448,833.3333333333334,0.0,0.0,27.159388801447903,5817.077562814177,6567.077562814177,615.036577429102,0.0,0.0,615.036577429102
F43,2025-03-20 01:10:00,2025-03-20 01:20:00,2025-03-20,2025-03-20 00:00,0.4989,3609.5343,0.0,601.5890499999999,597.872223787549,597.872223787549,0.0,3.716826212450883,0.0,0.0,6567.077562814177,6562.947755911454,298.27845244760823,0.0,0.0,298.27845244760823
F43,2025-03-20 01:20:00,2025-03-20 01:30:00,2025-03-20,2025-03-20 00:00,0.5083,3668.9025,0.0,611.48375,1427.3622929425278,1427.3622929425278,815.8785429425278,0.0,0.0,0.0,6562.947755911454,7297.238444559729,725.5282535026869,0.0,0.0,725.5282535026869
F43,2025-03-20 01:30:00,2025-03-20 01:40:00,2025-03-20,2025-03-20 00:00,0.4468,3589.3,0.0,598.2166666666667,1413.073124233773,1413.073124233773,814.8564575671062,0.0,0.0,0.0,7297.238444559729,8030.609256370125,631.3610719076497,0.0,0.0,631.3610719076497
F43,2025-03-20 01:40:00,2025-03-20 01:50:00,2025-03-20,2025-03-20 00:00,0.4284,3503.6157,0.0,583.9359499999999,582.7132326534261,582.7132326534261,0.0,1.2227173465738588,0.0,0.0,8030.609256370125,8029.250681540599,249.63434886872773,0.0,0.0,249.63434886872773
F43,2025-03-20 01:50:00,2025-03-20 02:00:00,2025-03-20,2025-03-20 00:00,0.4436,3545.9703,0.0,590.99505,597.5551074156919,597.5551074156919,6.560057415691858,0.0,0.0,0.0,8029.250681540599,8035.154733214721,265.0754456496009,0.0,0.0,265.0754456496009
F43,2025-03-20 02:00:00,2025-03-20 02:10:00,2025-03-20,2025-03-20 00:00,0.454,3590.66,0.0,598.4433333333333,1162.9330878824935,1162.9330878824935,564.4897545491602,0.0,0.0,0.0,8035.154733214721,8543.195512308965,527.9716218986521,0.0,0.0,527.9716218986521
F43,2025-03-20 02:10:00,2025-03-20 02:20:00,2025-03-20,2025-03-20 00:00,0.4404,3395.9017,0.0,565.9836166666666,1435.9632031580918,1435.9632031580918,833.3333333333334,0.0,0.0,36.64625315809178,8543.195512308965,9293.195512308965,632.3981946708236,0.0,0.0,632.3981946708236
F43,2025-03-20 02:20:00,2025-03-20 02:30:00,2025-03-20,2025-03-20 00:00,0.4405,3276.7246,0.0,546.1207666666667,589.3618703188015,589.3618703188015,43.241103652134825,0.0,0.0,0.0,9293.195512308965,9332.112505595886,259.6139038754321,0.0,0.0,259.6139038754321
F43,2025-03-20 02:30:00,2025-03-20 02:40:00,2025-03-20,2025-03-20 00:00,0.4545,3394.28,0.0,565.7133333333334,583.8414911857924,583.8414911857924,18.128157852459026,0.0,0.0,0.0,9332.112505595886,9348.427847663099,265.35595774394267,0.0,0.0,265.35595774394267
F43,2025-03-20 02:40:00,2025-03-20 02:50:00,2025-03-20,2025-03-20 00:00,0.4389,3587.5594,0.0,597.9265666666666,598.9096118614834,598.9096118614834,0.983045194816782,0.0,0.0,0.0,9348.427847663099,9349.312588338435,262.8614286460051,0.0,0.0,262.8614286460051
F43,2025-03-20 02:50:00,2025-03-20 03:00:00,2025-03-20,2025-03-20 00:00,0.3868,3605.7268,0.0,600.9544666666666,613.3983400657052,613.3983400657052,12.44387339903858,0.0,0.0,0.0,9349.312588338435,9360.51207439757,237.26247793741473,0.0,0.0,237.26247793741473
F43,2025-03-20 03:00:00,2025-03-20 03:10:00,2025-03-20,2025-03-20 00:00,0.3634,3522.79,0.0,587.1316666666667,618.9256006300363,618.9256006300363,31.793933963369682,0.0,0.0,0.0,9360.51207439757,9389.126614964602,224.9175632689552,0.0,0.0,224.9175632689552
F43,2025-03-20 03:10:00,2025-03-20 03:20:00,2025-03-20,2025-03-20 00:00,0.4416,3631.2618,0.0,605.2103,603.9971236104338,603.9971236104338,0.0,1.2131763895661152,0.0,0.0,9389.126614964602,9387.778641198418,266.7251297863676,0.0,0.0,266.7251297863676
F43,2025-03-20 03:20:00,2025-03-20 03:30:00,2025-03-20,2025-03-20 00:00,0.4839,3731.3543,0.0,621.8923833333333,582.387075519209,582.387075519209,0.0,39.50530781412431,0.0,0.0,9387.778641198418,9343.88385473828,281.81710584374525,0.0,0.0,281.81710584374525
F43,2025-03-20 03:30:00,2025-03-20 03:40:00,2025-03-20,2025-03-20 00:00,0.4574,3721.01,0.0,620.1683333333333,600.959305076836,600.959305076836,0.0,19.209028256497277,0.0,0.0,9343.88385473828,9322.54049000884,274.8787861421448,0.0,0.0,274.8787861421448
