group,interval_start,interval_end,owner_date,effective_version,price_yuan_kWh,actual_load_kW,actual_pv_kW,net_kWh,q0_kWh,q_eff_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
Q42,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-19,2025-03-19 00:00,0.4495,3410.51,0.0,568.4183333333333,0.0,0.0,0.0,568.4183333333333,0.0,0.0,2861.6324206605377,2230.056494734612,0.0,0.0,0.0,0.0
Q42,2025-03-20 00:10:00,2025-03-20 00:20:00,2025-03-20,2025-03-20 00:00,0.4487,3299.0689,0.0,549.8448166666667,598.9244615470104,598.9244615470104,49.07964488034372,0.0,0.0,0.0,2230.056494734612,2274.2281751269215,268.73740589614357,0.0,0.0,268.73740589614357
Q42,2025-03-20 00:20:00,2025-03-20 00:30:00,2025-03-20,2025-03-20 00:00,0.4373,3421.881,0.0,570.3135,982.9312115175755,982.9312115175755,412.6177115175756,0.0,0.0,0.0,2274.2281751269215,2645.5841154927393,429.8358187966358,0.0,0.0,429.8358187966358
Q42,2025-03-20 00:30:00,2025-03-20 00:40:00,2025-03-20,2025-03-20 00:00,0.4311,3683.11,0.0,613.8516666666667,1423.5854735331445,1423.5854735331445,809.7338068664778,0.0,0.0,0.0,2645.5841154927393,3374.3445416725694,613.7076976401386,0.0,0.0,613.7076976401386
Q42,2025-03-20 00:40:00,2025-03-20 00:50:00,2025-03-20,2025-03-20 00:00,0.4344,3476.737,0.0,579.4561666666666,1428.506378349246,1428.506378349246,833.3333333333334,0.0,0.0,15.71687834924603,3374.3445416725694,4124.34454167257,620.5431707549125,0.0,0.0,620.5431707549125
Q42,2025-03-20 00:50:00,2025-03-20 01:00:00,2025-03-20,2025-03-20 00:00,0.4238,3302.6695,0.0,550.4449166666666,1434.2092951527284,1434.2092951527284,833.3333333333334,0.0,0.0,50.431045152728416,4124.34454167257,4874.34454167257,607.8178992857263,0.0,0.0,607.8178992857263
Q42,2025-03-20 01:00:00,2025-03-20 01:10:00,2025-03-20,2025-03-20 00:00,0.4296,3426.94,0.0,571.1566666666666,1431.649388801448,1431.649388801448,833.3333333333334,0.0,0.0,27.159388801447903,4874.34454167257,5624.34454167257,615.036577429102,0.0,0.0,615.036577429102
Q42,2025-03-20 01:10:00,2025-03-20 01:20:00,2025-03-20,2025-03-20 00:00,0.4989,3609.5343,0.0,601.5890499999999,597.872223787549,597.872223787549,0.0,3.716826212450883,0.0,0.0,5624.34454167257,5620.2147347698465,298.27845244760823,0.0,0.0,298.27845244760823
Q42,2025-03-20 01:20:00,2025-03-20 01:30:00,2025-03-20,2025-03-20 00:00,0.5083,3668.9025,0.0,611.48375,594.0289596091945,594.0289596091945,0.0,17.454790390805442,0.0,0.0,5620.2147347698465,5600.820523224507,301.94492016935357,0.0,0.0,301.94492016935357
Q42,2025-03-20 01:30:00,2025-03-20 01:40:00,2025-03-20,2025-03-20 00:00,0.4468,3589.3,0.0,598.2166666666667,579.7397909004395,579.7397909004395,0.0,18.47687576622718,0.0,0.0,5600.820523224507,5580.290661262033,259.02773857431634,0.0,0.0,259.02773857431634
Q42,2025-03-20 01:40:00,2025-03-20 01:50:00,2025-03-20,2025-03-20 00:00,0.4284,3503.6157,0.0,583.9359499999999,1416.0465659867596,1416.0465659867596,832.1106159867596,0.0,0.0,0.0,5580.290661262033,6329.190215650116,606.6343488687278,0.0,0.0,606.6343488687278
Q42,2025-03-20 01:50:00,2025-03-20 02:00:00,2025-03-20,2025-03-20 00:00,0.4436,3545.9703,0.0,590.99505,597.5551074156919,597.5551074156919,6.560057415691858,0.0,0.0,0.0,6329.190215650116,6335.094267324239,265.0754456496009,0.0,0.0,265.0754456496009
Q42,2025-03-20 02:00:00,2025-03-20 02:10:00,2025-03-20,2025-03-20 00:00,0.454,3590.66,0.0,598.4433333333333,618.6201895341919,618.6201895341919,20.17685620085865,0.0,0.0,0.0,6335.094267324239,6353.253437905012,280.85356604852313,0.0,0.0,280.85356604852313
Q42,2025-03-20 02:10:00,2025-03-20 02:20:00,2025-03-20,2025-03-20 00:00,0.4404,3395.9017,0.0,565.9836166666666,602.6298698247585,602.6298698247585,36.646253158091895,0.0,0.0,0.0,6353.253437905012,6386.235065747294,265.39819467082367,0.0,0.0,265.39819467082367
Q42,2025-03-20 02:20:00,2025-03-20 02:30:00,2025-03-20,2025-03-20 00:00,0.4405,3276.7246,0.0,546.1207666666667,589.3618703188015,589.3618703188015,43.241103652134825,0.0,0.0,0.0,6386.235065747294,6425.152059034216,259.6139038754321,0.0,0.0,259.6139038754321
Q42,2025-03-20 02:30:00,2025-03-20 02:40:00,2025-03-20,2025-03-20 00:00,0.4545,3394.28,0.0,565.7133333333334,583.8414911857924,583.8414911857924,18.128157852459026,0.0,0.0,0.0,6425.152059034216,6441.4674011014295,265.35595774394267,0.0,0.0,265.35595774394267
Q42,2025-03-20 02:40:00,2025-03-20 02:50:00,2025-03-20,2025-03-20 00:00,0.4389,3587.5594,0.0,597.9265666666666,598.9096118614834,598.9096118614834,0.983045194816782,0.0,0.0,0.0,6441.4674011014295,6442.352141776764,262.8614286460051,0.0,0.0,262.8614286460051
Q42,2025-03-20 02:50:00,2025-03-20 03:00:00,2025-03-20,2025-03-20 00:00,0.3868,3605.7268,0.0,600.9544666666666,1446.7316733990385,1446.7316733990385,833.3333333333334,0.0,0.0,12.44387339903858,6442.352141776764,7192.352141776764,559.5958112707481,0.0,0.0,559.5958112707481
Q42,2025-03-20 03:00:00,2025-03-20 03:10:00,2025-03-20,2025-03-20 00:00,0.3634,3522.79,0.0,587.1316666666667,1452.2589339633696,1452.2589339633696,833.3333333333334,0.0,0.0,31.793933963369568,7192.352141776764,7942.352141776764,527.7508966022885,0.0,0.0,527.7508966022885
Q42,2025-03-20 03:10:00,2025-03-20 03:20:00,2025-03-20,2025-03-20 00:00,0.4416,3631.2618,0.0,605.2103,603.9971236104338,603.9971236104338,0.0,1.2131763895661152,0.0,0.0,7942.352141776764,7941.00416801058,266.7251297863676,0.0,0.0,266.7251297863676
Q42,2025-03-20 03:20:00,2025-03-20 03:30:00,2025-03-20,2025-03-20 00:00,0.4839,3731.3543,0.0,621.8923833333333,582.387075519209,582.387075519209,0.0,39.50530781412431,0.0,0.0,7941.00416801058,7897.109381550442,281.81710584374525,0.0,0.0,281.81710584374525
Q42,2025-03-20 03:30:00,2025-03-20 03:40:00,2025-03-20,2025-03-20 00:00,0.4574,3721.01,0.0,620.1683333333333,600.959305076836,600.959305076836,0.0,19.209028256497277,0.0,0.0,7897.109381550442,7875.766016821,274.8787861421448,0.0,0.0,274.8787861421448
Q42,2025-03-20 03:40:00,2025-03-20 03:50:00,2025-03-20,2025-03-20 00:00,0.4575,3699.7385,0.0,616.6230833333333,617.6169879704601,617.6169879704601,0.993904637126775,0.0,0.0,0.0,7875.766016821,7876.660530994414,282.5597719964855,0.0,0.0,282.5597719964855
Q42,2025-03-20 03:50:00,2025-03-20 04:00:00,2025-03-20,2025-03-20 00:00,0.4629,3674.7825,0.0,612.4637499999999,608.6089349480554,608.6089349480554,0.0,3.854815051944456,0.0,0.0,7876.660530994414,7872.37740315892,281.72507598745483,0.0,0.0,281.72507598745483
Q42,2025-03-20 04:00:00,2025-03-20 04:10:00,2025-03-20,2025-03-20 00:00,0.4426,3623.58,0.0,603.93,596.4085891630274,596.4085891630274,0.0,7.521410836972564,0.0,0.0,7872.37740315892,7864.020280006728,263.97044156355594,0.0,0.0,263.97044156355594
Q42,2025-03-20 04:10:00,2025-03-20 04:20:00,2025-03-20,2025-03-20 00:00,0.4023,3538.7697,0.0019,589.7946333333332,1457.7623830338744,1457.7623830338744,833.3333333333334,0.0,0.0,34.63441636720779,7864.020280006728,8614.020280006727,586.4578066945277,0.0,0.0,586.4578066945277
Q42,2025-03-20 04:20:00,2025-03-20 04:30:00,2025-03-20,2025-03-20 00:00,0.4075,3488.7843,0.0,581.4640499999999,1454.0309304652928,1454.0309304652928,833.3333333333334,0.0,0.0,39.23354713195954,8614.020280006727,9364.020280006727,592.5176041646068,0.0,0.0,592.5176041646068
Q42,2025-03-20 04:30:00,2025-03-20 04:40:00,2025-03-20,2025-03-20 00:00,0.452,3513.51,0.0,585.585,624.0710982079923,624.0710982079923,38.48609820799231,0.0,0.0,0.0,9364.020280006727,9398.65776839392,282.08013639001257,0.0,0.0,282.08013639001257
Q42,2025-03-20 04:40:00,2025-03-20 04:50:00,2025-03-20,2025-03-20 00:00,0.4646,3598.3779,0.0271,599.7251333333334,618.4410995052019,618.4410995052019,18.71596617186856,0.0,0.0,0.0,9398.65776839392,9415.5021379486,287.3277348301168,0.0,0.0,287.3277348301168
Q42,2025-03-20 04:50:00,2025-03-20 05:00:00,2025-03-20,2025-03-20 00:00,0.4561,3700.4359,0.0,616.7393166666666,625.8354664692126,625.8354664692126,9.096149802546051,0.0,0.0,0.0,9415.5021379486,9423.688672770892,285.4435562566079,0.0,0.0,285.4435562566079
Q42,2025-03-20 05:00:00,2025-03-20 05:10:00,2025-03-20,2025-03-20 00:00,0.4379,3753.57,0.0,625.595,617.8535352123372,617.8535352123372,0.0,7.741464787662835,0.0,0.0,9423.688672770892,9415.087045229044,270.55806306948244,0.0,0.0,270.55806306948244
Q42,2025-03-20 05:10:00,2025-03-20 05:20:00,2025-03-20,2025-03-20 00:00,0.4177,3716.9811,0.3776,619.4339166666666,1434.9976046605507,1434.9976046605507,815.5636879938841,0.0,0.0,0.0,9415.087045229044,10149.09436442354,599.398499466712,0.0,0.0,599.398499466712
Q42,2025-03-20 05:20:00,2025-03-20 05:30:00,2025-03-20,2025-03-20 00:00,0.464,3707.0664,0.0,617.8444,609.9908507144345,609.9908507144345,0.0,7.853549285565464,0.0,0.0,10149.09436442354,10140.368198550688,283.0357547314976,0.0,0.0,283.0357547314976
Q42,2025-03-20 05:30:00,2025-03-20 05:40:00,2025-03-20,2025-03-20 00:00,0.4802,3642.69,0.0,607.115,619.5863638050736,619.5863638050736,12.471363805073565,0.0,0.0,0.0,10140.368198550688,10151.592425975254,297.52537189919633,0.0,0.0,297.52537189919633
Q42,2025-03-20 05:40:00,2025-03-20 05:50:00,2025-03-20,2025-03-20 00:00,0.352,3457.8398,5.2594,575.4300666666667,1439.9201075829224,1439.9201075829224,720.4528600274958,0.0,0.0,144.03718088875985,10151.592425975254,10800.0,506.8518778691886,0.0,0.0,506.8518778691886
