group,date,update_hour,segment_index,interval_start,q_nominal_kWh,state_nominal_kWh
Q42,2025-02-01,0,0,2025-02-01 00:10:00,455.7359170017879,5573.657228960253
Q42,2025-02-01,0,1,2025-02-01 00:20:00,1271.7646187497476,5573.657228960253
Q42,2025-02-01,0,2,2025-02-01 00:30:00,1306.1060520077149,6300.0
Q42,2025-02-01,0,3,2025-02-01 00:40:00,1309.5896046093233,7050.0
Q42,2025-02-01,0,4,2025-02-01 00:50:00,475.7465591124011,7800.0
Q42,2025-02-01,0,5,2025-02-01 01:00:00,501.909523814466,7800.0
Q42,2025-02-01,0,6,2025-02-01 01:10:00,500.9540259215924,7800.0
Q42,2025-02-01,0,7,2025-02-01 01:20:00,486.9273603812024,7800.0
Q42,2025-02-01,0,8,2025-02-01 01:30:00,490.0843154913688,7800.0
Q42,2025-02-01,0,9,2025-02-01 01:40:00,498.4686633364116,7800.0
Q42,2025-02-01,0,10,2025-02-01 01:50:00,1348.5081006304508,7800.0
Q42,2025-02-01,0,11,2025-02-01 02:00:00,1370.7643091339396,8550.0
Q42,2025-02-01,0,12,2025-02-01 02:10:00,496.8615928685187,9300.0
Q42,2025-02-01,0,13,2025-02-01 02:20:00,514.8206343596333,9300.0
Q42,2025-02-01,0,14,2025-02-01 02:30:00,530.3478004869163,9300.0
Q42,2025-02-01,0,15,2025-02-01 02:40:00,1359.121987110564,9300.0
Q42,2025-02-01,0,16,2025-02-01 02:50:00,548.2874690539056,10050.0
Q42,2025-02-01,0,17,2025-02-01 03:00:00,557.5160193937859,10050.0
Q42,2025-02-01,0,18,2025-02-01 03:10:00,551.6359897408255,10050.0
Q42,2025-02-01,0,19,2025-02-01 03:20:00,550.3496987848387,10050.0
Q42,2025-02-01,0,20,2025-02-01 03:30:00,548.8317068090373,10050.0
Q42,2025-02-01,0,21,2025-02-01 03:40:00,526.6274516586809,10050.0
Q42,2025-02-01,0,22,2025-02-01 03:50:00,527.7176381872251,10050.0
Q42,2025-02-01,0,23,2025-02-01 04:00:00,1395.3484016320472,10050.0
Q42,2025-02-01,0,24,2025-02-01 04:10:00,557.0000194604846,10800.0
Q42,2025-02-01,0,25,2025-02-01 04:20:00,558.75181410148,10800.0
Q42,2025-02-01,0,26,2025-02-01 04:30:00,568.2782531872493,10800.0
Q42,2025-02-01,0,27,2025-02-01 04:40:00,566.1102635142184,10800.0
Q42,2025-02-01,0,28,2025-02-01 04:50:00,571.9123466315883,10800.0
Q42,2025-02-01,0,29,2025-02-01 05:00:00,554.8908933326021,10800.0
Q42,2025-02-01,0,30,2025-02-01 05:10:00,573.9069038813299,10800.0
Q42,2025-02-01,0,31,2025-02-01 05:20:00,605.9423115256784,10800.0
Q42,2025-02-01,0,32,2025-02-01 05:30:00,599.4171462504426,10800.0
Q42,2025-02-01,0,33,2025-02-01 05:40:00,584.5876262533734,10800.0
Q42,2025-02-01,0,34,2025-02-01 05:50:00,0.0,10800.0
Q42,2025-02-01,0,35,2025-02-01 06:00:00,0.0,10172.891253110562
Q42,2025-02-01,0,36,2025-02-01 06:10:00,0.0,9547.615712663212
Q42,2025-02-01,0,37,2025-02-01 06:20:00,0.0,8897.130689974289
Q42,2025-02-01,0,38,2025-02-01 06:30:00,0.0,8251.248790866202
Q42,2025-02-01,0,39,2025-02-01 06:40:00,0.0,7608.581574051885
Q42,2025-02-01,0,40,2025-02-01 06:50:00,0.0,6961.15087568054
