date,interval,start_slot,end_slot,emergency_kWh,emergency_cost_yuan
2025-02-06,08:00-08:10,48,49,0.9996272617216846,5.83932264934722
2025-02-09,06:00-06:10,36,37,9.452330536326372,44.27471623215272
2025-02-09,10:40-10:50,64,65,189.58686824914489,757.3995386553338
2025-02-11,06:00-06:10,36,37,0.08544223446324395,0.40021142622583467
2025-02-11,21:20-21:40,128,130,28.398134527399222,135.8514659625411
2025-02-18,05:50-06:00,35,36,22.58626904435266,102.75623101728243
2025-02-19,06:20-06:30,38,39,40.95759479740218,179.37378641522287
2025-02-20,06:00-06:10,36,37,23.297083333333376,109.12353833333353
2025-02-24,06:00-06:10,36,37,8.842916666666724,41.42022166666693
2025-02-25,06:20-06:30,38,39,24.366700898480303,106.7139665848945
2025-02-27,09:50-10:20,59,62,232.37402199800297,1151.6227679870378
2025-03-02,20:30-20:40,123,124,417.27545847947755,2910.9135983528354
2025-03-02,20:50-21:00,125,126,16.336589013684353,76.22652433785119
2025-03-05,05:50-06:00,35,36,3.286666666666747,14.952690000000366
2025-03-08,07:30-08:00,45,48,206.1673074621168,790.3878797739051
2025-03-10,20:20-20:40,122,124,782.2359656372754,5444.705421398938
2025-03-13,09:30-10:50,57,65,1035.0700343825752,4972.777573017978
2025-03-13,20:20-20:40,122,124,1106.8834195890033,7632.359302526366
2025-03-16,05:50-06:00,35,36,1.6400000000001,7.461180000000455
2025-03-18,08:40-10:00,52,60,1374.3026955669548,6975.169300573335
2025-03-23,20:30-20:40,123,124,15.239623740678553,106.31161521497359
2025-04-02,09:10-10:20,55,62,930.6198005422674,4536.007877556855
2025-04-08,09:00-09:40,54,58,104.15124999999671,513.4415774999832
2025-04-28,20:30-21:00,123,126,619.0553946666665,4239.828353494666
2025-05-01,20:20-21:30,122,129,1950.445116666666,12881.559554549995
2025-05-02,20:30-21:50,123,131,1298.4911014999977,7944.223591113985
2025-05-03,20:30-21:50,123,131,944.552883333329,5185.908733608302
2025-05-04,20:30-21:50,123,131,1170.1207166666625,7404.746135133304
2025-05-05,20:30-20:40,123,124,675.0782636039215,4709.345966900956
2025-05-06,20:30-21:00,123,126,139.68140225283298,865.1812466123442
2025-05-06,21:20-21:50,128,131,115.06390824196589,527.8564899403748
2025-05-07,20:30-20:40,123,124,682.0900906961509,4758.260472696349
2025-05-08,20:00-20:10,120,121,35.999250000000075,243.22893262500048
2025-05-11,19:10-19:30,115,117,41.18071666666674,277.36103945833383
2025-05-19,20:20-20:30,122,123,67.00333333333344,451.9039816666674
2025-05-22,20:20-20:30,122,123,2.57000000000005,17.333365000000338
2025-05-29,19:10-19:20,115,116,17.817433333333383,119.77769558333367
2025-06-01,10:00-10:50,60,65,535.828572734707,2487.119112244446
2025-06-01,18:50-20:40,113,124,6328.994875872635,42864.41339249905
2025-06-01,20:50-21:50,125,131,290.90655732660525,1341.6838051171997
2025-06-02,19:00-21:40,114,130,2797.2353847749714,18450.578047645366
2025-06-03,18:50-19:10,113,115,90.638153282144,611.2765784172167
2025-06-03,19:30-19:50,117,119,96.30071894652815,649.0986336870812
2025-06-03,20:20-20:40,122,124,193.83748144607011,1346.9812187029972
2025-06-03,20:50-21:50,125,131,223.80743104846843,1007.4133507709051
2025-06-04,19:00-19:20,114,116,84.90138958804243,572.6827339995489
2025-06-04,20:20-20:40,122,124,107.32284220182407,737.9552476512266
2025-06-04,21:20-21:40,128,130,32.81662765167748,158.2492347944043
2025-06-05,18:50-19:10,113,115,92.57602754489483,623.5645577448064
2025-06-05,19:50-20:10,119,121,65.2125559891366,440.5272489669252
2025-06-05,20:30-20:40,123,124,11.025691475713302,76.91522373457599
2025-06-06,20:10-20:40,121,124,1342.0545550365096,9189.395837977947
2025-06-06,21:10-21:20,127,128,1.4183343594873534,6.645605641377995
2025-06-09,18:50-19:00,113,114,7.081493802834871,47.67969777448719
2025-06-10,20:00-20:10,120,121,1.4622408403566851,9.879630237869943
2025-06-16,19:10-19:20,115,116,5.2245764748938655,35.122215352474015
2025-06-16,20:00-20:10,120,121,16.46933890321168,111.2750882995497
2025-06-17,19:20-19:30,116,117,15.625677892637441,105.34050751321531
2025-06-19,19:10-19:30,115,117,36.18710501180476,243.75620115220443
2025-06-24,09:30-10:50,57,65,1598.0185876563996,7677.391837215965
2025-06-26,19:00-19:10,114,115,2.6978648169953203,18.24161296011386
2025-06-26,19:40-19:50,118,119,15.482159176027835,104.29556528931151
2025-06-30,18:50-19:00,113,114,50.79875000000004,342.0279837500003
2025-06-30,19:30-19:40,117,118,14.5562158874543,98.18167616087925
2025-07-01,18:50-20:10,113,121,626.8928325606405,4226.719429711147
2025-07-01,20:20-21:50,122,131,1168.4478101850818,7057.190658565341
2025-07-02,09:10-09:50,55,59,151.22422165356517,725.5607050816702
2025-07-02,18:50-20:10,113,121,780.907486437132,5264.9443177385565
2025-07-02,20:20-21:40,122,130,2009.7041085913368,13058.533642399329
2025-07-03,08:30-10:30,51,63,1753.8121794093554,8825.870677899964
2025-07-03,18:50-19:00,113,114,31.47680198606099,211.93330777214865
2025-07-03,19:40-21:50,118,131,4248.365535051034,28242.8458082946
2025-07-04,06:10-07:20,37,44,887.8886660754736,3739.3323318778316
2025-07-04,20:30-21:20,123,128,660.062303097638,4092.581083898037
2025-07-04,21:40-21:50,130,131,66.88850674317526,259.66118317700636
2025-07-05,20:30-20:40,123,124,473.5739524222748,3303.6518920977887
2025-07-06,18:50-19:10,113,115,51.59309468908532,347.9475004564257
2025-07-06,19:20-19:40,116,118,97.95752817623395,660.584686105283
2025-07-06,20:00-21:00,120,126,1866.3059065685952,12661.005589107224
2025-07-07,19:00-19:20,114,116,69.36279610100314,467.5204288912178
2025-07-07,19:40-20:10,118,121,95.4694080967646,643.5585391826565
2025-07-09,19:30-19:40,117,118,2.6602730894409206,17.94354198827901
2025-07-10,19:00-19:10,114,115,8.74940606142502,59.15910908432528
2025-07-13,19:50-20:00,119,120,26.009067257160154,175.3271223805166
2025-07-14,18:50-19:00,113,114,1.6155313675650405,10.877372697815417
2025-07-16,20:00-20:10,120,121,20.515406953467163,138.6123470811009
2025-07-17,20:30-20:40,123,124,25.901652945716933,180.6899309493213
2025-07-21,20:30-20:40,123,124,1.7409394794940454,12.14479380895046
2025-07-22,19:50-20:10,119,121,6.97696567740104,47.04751493402362
2025-07-29,18:50-19:00,113,114,14.381131357038612,96.82815742694098
2025-08-03,19:00-20:10,114,121,160.22306278402823,1080.38729876178
2025-08-04,18:50-19:00,113,114,35.73999999999978,240.6374199999985
2025-08-04,19:50-20:10,119,121,6.020016666666379,40.62944760833139
2025-08-05,19:40-19:50,118,119,13.17739999999992,88.76955509999947
2025-08-05,20:00-20:10,120,121,0.8708999999998923,5.884235849999272
2025-08-06,20:30-20:40,123,124,221.51571970154214,1545.293660637958
2025-08-07,20:00-20:10,120,121,8.447933333333367,57.078461566666896
2025-08-10,20:20-20:30,122,123,8.75333333333333,59.036856666666644
2025-08-11,19:00-19:40,114,118,127.93086666666636,862.2760698416646
2025-08-11,20:00-20:10,120,121,3.536183333333156,23.892222691665467
2025-08-12,19:00-19:40,114,118,126.97742587215771,855.2782635179278
2025-08-12,20:30-21:00,123,126,175.67361956857656,1166.2601259625067
2025-08-13,18:50-19:00,113,114,16.62333333333345,111.92490333333411
2025-08-13,19:10-19:30,115,117,93.36583333333328,628.941439583333
2025-08-13,20:30-20:40,123,124,4.449583333333294,31.04029333333306
2025-08-14,18:50-19:20,113,116,59.903616666666494,404.34546439166553
2025-08-14,20:30-20:40,123,124,45.60573333333343,318.145595733334
2025-08-17,19:00-19:50,114,119,101.92616666666652,686.8116832166656
2025-08-18,19:00-19:10,114,115,11.030183333333298,74.5805846083331
2025-08-18,19:50-20:00,119,120,28.198333333333267,190.08496499999956
2025-08-18,20:20-20:40,122,124,79.6382166666665,541.5994502999988
2025-08-19,19:20-19:40,116,118,44.33124999999961,298.8959287499974
2025-08-19,20:00-20:10,120,121,36.364900000000034,245.69944685000021
2025-08-20,09:00-09:30,54,57,431.1529833333321,2160.5870021916603
2025-08-20,19:30-20:10,117,121,151.62216666666632,1022.325542508331
2025-08-22,20:30-20:40,123,124,54.21854499999495,378.22856991996474
2025-08-24,19:50-20:00,119,120,0.8266666666664833,5.572559999998764
2025-08-25,19:30-19:40,117,118,24.84951666666666,167.60998991666662
2025-08-25,20:30-20:40,123,124,555.9755194999987,3878.4852240319906
2025-08-26,20:30-20:40,123,124,14.006550000000061,97.70969280000043
2025-08-27,18:50-19:00,113,114,18.319999999999936,123.34855999999958
2025-08-28,18:50-19:00,113,114,42.22000000000003,284.2672600000002
2025-08-28,19:50-20:10,119,121,48.061566666666636,324.1870510166665
2025-08-31,19:00-19:20,114,116,24.42011666666633,164.3542702416644
2025-08-31,20:00-20:10,120,121,20.87606666666659,141.0491444333328
2025-09-04,19:40-19:50,118,119,12.607065731757075,84.92749830198153
2025-09-08,19:30-21:50,117,131,5584.523034299336,36345.37044608586
2025-09-09,19:30-19:40,117,118,2.352616666666563,15.868399416665968
2025-09-09,20:30-20:40,123,124,380.243933809639,2652.5816822560414
2025-09-09,21:20-21:30,128,129,60.19600480844192,282.0483805299546
2025-09-10,08:30-09:40,51,58,901.761370322076,4605.132489791946
2025-09-10,20:10-20:40,121,124,2121.3658840178778,14465.119961719784
2025-09-15,19:40-19:50,118,119,1.1717666666667128,7.893606150000311
2025-09-15,20:30-20:40,123,124,55.86551264106333,389.71781618405777
2025-09-16,19:10-19:20,115,116,8.238266666666732,55.3817476666671
2025-09-22,19:50-20:00,119,120,10.844415238798888,73.10220312474331
2025-09-23,20:20-20:30,122,123,6.375,42.9961875
2025-09-28,19:20-19:30,116,117,5.868333333333339,39.56136916666671
2025-09-29,06:00-06:10,36,37,12.397600000000011,58.07035840000005
2025-09-29,20:30-20:40,123,124,5.620383333333393,39.20779413333375
2025-09-30,20:00-20:10,120,121,4.9144166666668525,33.204256208334584
2025-10-08,20:20-21:30,122,129,924.2197312749399,6178.777753464239
2025-10-12,06:00-06:10,36,37,11.723987414122917,54.91515704775174
2025-10-14,09:20-09:40,56,58,108.44013909354908,518.807595553713
2025-10-16,20:30-20:40,123,124,27.670248565310658,193.02765399160717
2025-10-27,06:00-06:10,36,37,13.72557827246112,64.29060862820789
2025-11-04,06:00-06:10,36,37,16.181933333333404,75.79617573333367
2025-11-06,10:00-10:40,60,64,229.45475384527876,1102.3560922789934
2025-11-13,20:30-20:40,123,124,7.5974999999994,53.00015999999581
2025-11-19,05:50-06:00,35,36,1.3850000000001046,6.301057500000477
2025-11-26,06:00-06:10,36,37,32.99316666666664,154.53999266666654
2025-11-30,06:00-06:10,36,37,6.062833333333401,28.398311333333652
2025-12-01,07:50-08:10,47,49,93.72793333333323,545.669855066666
2025-12-01,09:10-10:40,55,64,2867.766259833334,13911.180950591504
2025-12-02,06:00-06:10,36,37,83.66853333333336,391.90341013333347
2025-12-02,07:50-08:20,47,50,182.96896666666692,1065.2752376166682
2025-12-02,09:10-10:50,55,65,3595.7802183333374,17314.594358993352
2025-12-02,20:30-20:40,123,124,387.18034016666473,2700.970053002653
2025-12-02,21:10-21:20,127,128,9.220818500000155,43.204145081750724
2025-12-03,07:50-08:00,47,48,16.613750000000095,96.50096687500054
