target,day_index,date,training_days,sufficient,ar1_ok,ar1_constant_bypass,ar1_fit_failure,ar1_insufficient_history,ma1_ok,ma1_constant_bypass,ma1_fit_failure,ma1_insufficient_history,arma11_ok,arma11_constant_bypass,arma11_fit_failure,arma11_insufficient_history,reasons
load,7,2025-01-08,0,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,8,2025-01-09,1,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,9,2025-01-10,2,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,10,2025-01-11,3,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,11,2025-01-12,4,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,12,2025-01-13,5,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,13,2025-01-14,6,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,14,2025-01-15,7,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,15,2025-01-16,8,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,16,2025-01-17,9,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,17,2025-01-18,10,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,18,2025-01-19,11,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,19,2025-01-20,12,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,20,2025-01-21,13,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,21,2025-01-22,14,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,22,2025-01-23,15,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,23,2025-01-24,16,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,24,2025-01-25,17,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,25,2025-01-26,18,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,26,2025-01-27,19,False,0,0,0,144,0,0,0,144,0,0,0,144,
load,27,2025-01-28,20,False,0,0,0,144,0,0,0,144,0,0,0,144,
