target,series,lag_days,slots_with_valid_pairs,zero_variance_or_short_slots,mean_correlation,min_correlation,max_correlation
load,naive_residual_kW,1,144,0,0.3706597976944509,0.1141415095735343,0.5445984659327238
load,naive_residual_kW,2,144,0,0.3126631205539805,0.09731016592396452,0.47334927209167915
load,naive_residual_kW,7,144,0,-0.285403242305368,-0.41478238753458385,-0.11424625116180051
load,issued_error_kW,1,144,0,0.16218036498247687,0.0019169105302861641,0.2604638073142654
load,issued_error_kW,2,144,0,0.14989266885240177,-0.000683776825995024,0.2903389663896445
load,issued_error_kW,7,144,0,-0.4032930236653001,-0.5253821824645822,-0.2920071867022551
pv,naive_residual_kW,1,101,43,-0.3545534174633861,-0.5339731690626265,0.5375420246544639
pv,naive_residual_kW,2,101,43,0.013393618083149973,-0.35359830861438124,0.4563752831190083
pv,naive_residual_kW,7,101,43,-0.01755721320732242,-0.22744360902255642,0.21341886980801314
pv,issued_error_kW,1,101,43,0.10602205963138103,-0.227068338836755,0.9882147725102485
pv,issued_error_kW,2,101,43,0.08729091660475276,-0.26260956218266673,0.9827138176889278
pv,issued_error_kW,7,101,43,0.06420407163505731,-0.1235391166602772,0.9116100936099487
