slot,interval,load_kW,pv_kW,price_yuan_kWh,grid_lp_kWh,charge_lp_kWh,discharge_lp_kWh,unused_lp_kWh,state_start_lp_kWh,state_end_lp_kWh,charge_decycled_kWh,discharge_decycled_kWh,unused_decycled_kWh,grid_milp_kWh,charge_milp_kWh,discharge_milp_kWh,unused_milp_kWh,state_end_milp_kWh
0,00:00-00:10,2404.3697,0.0,0.4248,617.0717812757205,216.34349794238713,0.0,0.0,6000.0,6194.709148148148,216.34349794238713,0.0,0.0,617.0717812757205,216.34349794238713,0.0,0.0,6194.709148148148
1,00:10-00:20,2406.5763,0.0,0.4245,1234.4293833333331,833.3333333333333,0.0,0.0,6194.709148148148,6944.709148148148,833.3333333333333,0.0,0.0,1234.4293833333331,833.3333333333333,0.0,0.0,6944.709148148148
2,00:20-00:30,2408.53,0.0,0.4269,401.4216666666667,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,401.4216666666667,0.0,0.0,0.0,6944.709148148148
3,00:30-00:40,2606.2237,0.0,0.4272,434.37061666666665,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,434.37061666666665,0.0,0.0,0.0,6944.709148148148
4,00:40-00:50,2754.444,0.0,0.4271,459.07399999999996,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,459.07399999999996,0.0,0.0,0.0,6944.709148148148
5,00:50-01:00,2673.75,0.0,0.4285,445.625,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,445.625,0.0,0.0,0.0,6944.709148148148
6,01:00-01:10,2455.302,0.0,0.4311,409.217,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,409.217,0.0,0.0,0.0,6944.709148148148
7,01:10-01:20,2521.5309,0.0,0.4302,420.25515,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,420.25515,0.0,0.0,0.0,6944.709148148148
8,01:20-01:30,2714.97,0.0,0.4279,452.49499999999995,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,452.49499999999995,0.0,0.0,0.0,6944.709148148148
9,01:30-01:40,2517.6478,0.0,0.4312,419.6079666666667,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,419.6079666666667,0.0,0.0,0.0,6944.709148148148
10,01:40-01:50,2572.2155,0.0,0.4333,428.7025833333333,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,428.7025833333333,0.0,0.0,0.0,6944.709148148148
11,01:50-02:00,2902.32,0.0,0.4311,483.72,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,483.72,0.0,0.0,0.0,6944.709148148148
12,02:00-02:10,2866.8569,0.0,0.4293,477.80948333333333,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,477.80948333333333,0.0,0.0,0.0,6944.709148148148
13,02:10-02:20,2810.9403,0.0,0.4324,468.49005,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,468.49005,0.0,0.0,0.0,6944.709148148148
14,02:20-02:30,2870.89,0.0,0.4367,478.4816666666666,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,478.4816666666666,0.0,0.0,0.0,6944.709148148148
15,02:30-02:40,2816.0837,0.0,0.4348,469.34728333333334,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,469.34728333333334,0.0,0.0,0.0,6944.709148148148
16,02:40-02:50,2797.8571,0.0,0.4335,466.3095166666667,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,466.3095166666667,0.0,0.0,0.0,6944.709148148148
17,02:50-03:00,2796.24,0.0,0.4357,466.03999999999996,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,466.03999999999996,0.0,0.0,0.0,6944.709148148148
18,03:00-03:10,2650.1249,0.0,0.4374,441.68748333333326,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,441.68748333333326,0.0,0.0,0.0,6944.709148148148
19,03:10-03:20,2698.7717,0.0,0.4371,449.79528333333326,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,449.79528333333326,0.0,0.0,0.0,6944.709148148148
20,03:20-03:30,2892.59,0.0,0.4356,482.09833333333336,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,482.09833333333336,0.0,0.0,0.0,6944.709148148148
21,03:30-03:40,2848.5039,0.0,0.4353,474.75065,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,474.75065,0.0,0.0,0.0,6944.709148148148
22,03:40-03:50,2894.0586,0.0,0.436,482.34309999999994,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,482.34309999999994,0.0,0.0,0.0,6944.709148148148
23,03:50-04:00,3013.38,0.0,0.4378,502.23,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,502.23,0.0,0.0,0.0,6944.709148148148
24,04:00-04:10,2870.754,0.0,0.4401,478.45899999999995,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,478.45899999999995,0.0,0.0,0.0,6944.709148148148
25,04:10-04:20,2925.2862,0.0,0.4389,487.54769999999996,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,487.54769999999996,0.0,0.0,0.0,6944.709148148148
26,04:20-04:30,3093.45,0.0,0.4364,515.5749999999999,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,515.5749999999999,0.0,0.0,0.0,6944.709148148148
27,04:30-04:40,2847.3578,0.0015,0.4393,474.55938333333336,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,474.55938333333336,0.0,0.0,0.0,6944.709148148148
28,04:40-04:50,2829.5625,0.0,0.4422,471.59375,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,471.59375,0.0,0.0,0.0,6944.709148148148
29,04:50-05:00,3059.43,0.0,0.4395,509.905,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,509.905,0.0,0.0,0.0,6944.709148148148
30,05:00-05:10,2923.1631,0.021,0.4333,487.19034999999997,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,487.19034999999997,0.0,0.0,0.0,6944.709148148148
31,05:10-05:20,2939.9741,0.0,0.4439,489.9956833333333,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,489.9956833333333,0.0,0.0,0.0,6944.709148148148
32,05:20-05:30,3231.66,0.0,0.4301,538.6099999999999,0.0,0.0,0.0,6944.709148148148,6944.709148148148,0.0,0.0,0.0,538.6099999999999,0.0,0.0,0.0,6944.709148148148
33,05:30-05:40,3334.4986,0.2921,0.3713,1389.0344166666664,833.3333333333333,0.0,0.0,6944.709148148148,7694.709148148148,833.3333333333333,0.0,0.0,1389.0344166666664,833.3333333333333,0.0,0.0,7694.709148148148
34,05:40-05:50,3210.228,0.0,0.5708,0.0,0.0,535.038,0.0,7694.709148148148,7100.222481481482,0.0,535.038,0.0,0.0,0.0,535.038,0.0,7100.222481481482
35,05:50-06:00,3031.18,0.0,0.9099,0.0,0.0,505.1966666666666,0.0,7100.222481481482,6538.892851851852,0.0,505.1966666666666,0.0,0.0,0.0,505.1966666666666,0.0,6538.892851851852
36,06:00-06:10,2982.9885,4.0682,0.9368,0.0,0.0,496.4867166666666,0.0,6538.892851851852,5987.240944444445,0.0,496.4867166666666,0.0,0.0,0.0,496.4867166666666,0.0,5987.240944444445
37,06:10-06:20,2929.0392,0.0,0.8758,0.0,0.0,488.1732,0.0,5987.240944444445,5444.826277777778,0.0,488.1732,0.0,0.0,0.0,488.1732,0.0,5444.826277777778
38,06:20-06:30,2903.48,39.0,0.8759,0.0,0.0,477.4133333333333,0.0,5444.826277777778,4914.367018518519,0.0,477.4133333333333,0.0,0.0,0.0,477.4133333333333,0.0,4914.367018518519
39,06:30-06:40,3109.1773,267.5189,0.8601,0.0,0.0,473.6097333333333,0.0,4914.367018518519,4388.133981481482,0.0,473.6097333333333,0.0,0.0,0.0,473.6097333333333,0.0,4388.133981481482
40,06:40-06:50,3416.706,556.7771,0.8442,0.0,0.0,476.65481666666665,0.0,4388.133981481482,3858.5175185185185,0.0,476.65481666666665,0.0,0.0,0.0,476.65481666666665,0.0,3858.5175185185185
41,06:50-07:00,3664.99,849.0,0.8334,0.0,0.0,469.3316666666666,0.0,3858.5175185185185,3337.037888888889,0.0,469.3316666666666,0.0,0.0,0.0,469.3316666666666,0.0,3337.037888888889
42,07:00-07:10,3774.7493,1182.9292,0.8092,0.0,0.0,431.97001666666665,0.0,3337.037888888889,2857.0712037037038,0.0,431.97001666666665,0.0,0.0,0.0,431.97001666666665,0.0,2857.0712037037038
