start_minute,end_minute,price_yuan_kWh,load_kW,pv_kW,grid_kWh,charge_kWh,discharge_kWh,unused_kWh,state_start_kWh,state_end_kWh
0,10,0.4248,3439.8466,0.0,1406.6410999999998,833.3333333333333,0.0,0.0,6000.0,6750.0
10,20,0.4245,3437.9792,0.0,1406.329866666667,833.3333333333333,0.0,3.410605131648481e-13,6750.0,7500.0
20,30,0.4269,3444.3031,0.0,1407.3838500000002,833.3333333333333,0.0,2.2737367544323206e-13,7500.0,8250.0
30,40,0.4272,3454.4437,0.0,1409.0739499999981,833.3333333333333,0.0,-1.7053025658242404e-12,8250.0,9000.0
40,50,0.4271,3458.8273,0.0,1409.8045500000007,833.3333333333333,0.0,9.094947017729282e-13,9000.0,9750.0
50,60,0.4285,3459.8401,0.0,576.6400166666681,2.021099337273174e-12,0.0,-5.431704468921656e-13,9750.0,9750.000000000002
60,70,0.4311,3467.1582,0.0,577.85969999999,0.0,8.185452315956354e-12,-1.8189894035458565e-12,9750.000000000002,9749.999999999993
70,80,0.4302,3467.9632,0.0,577.9938666666661,0.0,0.0,-5.684341886080801e-13,9749.999999999993,9749.999999999993
80,90,0.4279,3466.9683,0.0,911.1613833333449,333.33333333334343,0.0,1.5347723092418164e-12,9749.999999999993,10050.000000000002
90,100,0.4312,3482.4927,0.0,580.4154500000021,2.021099337273174e-12,0.0,1.3895057943753061e-13,10050.000000000002,10050.000000000004
100,110,0.4333,3495.0841,0.0,582.5140166666661,0.0,0.0,-5.684341886080801e-13,10050.000000000004,10050.000000000004
110,120,0.4311,3498.4443,0.0,583.0740499999993,0.0,0.0,-6.821210263296962e-13,10050.000000000004,10050.000000000004
120,130,0.4293,3505.2295,0.0,584.2049166666657,0.0,0.0,-9.094947017729282e-13,10050.000000000004,10050.000000000004
130,140,0.4324,3512.6387,0.0,585.4397833333333,0.0,0.0,0.0,10050.000000000004,10050.000000000004
140,150,0.4367,3516.8685,0.0,586.1447499999995,0.0,0.0,-4.547473508864641e-13,10050.000000000004,10050.000000000004
150,160,0.4348,3517.9246,0.0,586.3207666666658,0.0,0.0,-7.958078640513122e-13,10050.000000000004,10050.000000000004
160,170,0.4335,3518.5518,0.0,586.4253000000008,0.0,0.0,7.958078640513122e-13,10050.000000000004,10050.000000000004
