month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,unused_kWh,emergency_events
2025-02,1149570.7079766884,83411.86531624083,1232982.5732929292,13948.220717666652,90593.60271862346,52
2025-03,1043145.4373867476,201124.7411519148,1244270.1785386624,32048.360112370912,156776.51155679012,53
2025-04,860771.5923681853,206257.10749000008,1067028.6998581854,32192.501576179002,192486.6580280551,52
2025-05,842822.9871576362,316171.1423167368,1158994.129474373,49565.372354333325,203716.3559434976,55
2025-06,1124705.7557802917,561388.1619765258,1686093.9177568175,94827.2559472739,96275.00202572017,74
2025-07,1274714.2671029454,581818.7687718222,1856533.0358747677,104389.27763769371,106325.72817278616,86
2025-08,1174372.7228223048,207533.08403021106,1381905.806852516,31238.421239999996,212906.64486685206,63
2025-09,1053888.079048129,213686.6702168769,1267574.7492650058,34432.777525927966,248393.82526954735,56
2025-10,1046869.8776715467,177393.4856334569,1224263.3633050036,29398.641728999966,179274.13596193414,59
2025-11,1173523.4697626184,184199.38846036984,1357722.8582229882,30496.049580987645,53122.435729629615,66
2025-12,1521051.6163350472,379947.48184623604,1900999.098181283,66786.67762976133,26256.093862757174,83
