month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,unused_kWh,emergency_events
2025-02,1201328.704308426,4648.949599347934,1205977.653907774,798.3504123868895,155775.34603179258,22
2025-03,1075603.4909506699,71232.61349559017,1146836.10444626,11025.869338595225,189815.08293029247,36
2025-04,863646.1377608682,147406.11153808684,1011052.2492989551,22730.5698421804,183737.72396487693,39
2025-05,819614.803944252,352658.3258619367,1172273.1298061886,56804.06225541164,189979.47007455176,60
2025-06,1050616.2495901226,911473.2015789167,1962089.4511690394,159843.30066492886,65083.36690119047,107
2025-07,1202694.7000619213,989308.8852278858,2192003.585289807,179165.03744845354,82356.9726151161,97
2025-08,1199988.4333317871,111435.33271262934,1311423.7660444165,16691.761140886894,236621.04386163197,51
2025-09,1139376.1503261547,46993.964455166955,1186370.1147813217,8349.958263172613,343925.2665896438,21
2025-10,1060095.70205934,175161.51155126514,1235257.213610605,30324.080337514573,185430.44468084953,39
2025-11,1154741.9628186116,278353.8881701318,1433095.8509887434,45428.991863386495,41775.253466674025,73
2025-12,1467830.3739038743,717004.6894484023,2184835.0633522766,126140.58031599023,10100.969587882151,106
