date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_events,solver_seconds,mip_gap
2025-01-01,6000.0,6000.0,0.0,92035.17001666666,0.0,0.0,0.0,0.0,366613.56615685835,366613.56615685835,1,0.0,0.0
2025-01-02,6000.0,6000.0,92035.17001666666,2483.2580333333335,1633.1887833333321,0.0,0.0,73322.71323137166,9532.153857958336,82854.86708932999,24,0.0,0.0
2025-01-03,6000.0,6000.0,92460.20464166667,0.0,46955.263275000005,0.0,0.0,73698.98006998,0.0,73698.98006998,0,0.0,0.0
2025-01-04,6000.0,6000.0,76808.45021666666,78.17444444444448,32121.022294444447,0.0,0.0,60677.48282410888,167.13696222222228,60844.61978633111,1,0.0,0.0
2025-01-05,6000.0,6000.0,69186.58461666666,21849.125683333332,0.0,0.0,0.0,54302.582310132086,92539.39509008959,146841.97740022166,1,0.0,0.0
2025-01-06,6000.0,6000.0,73420.02987,17212.45123,0.0,0.0,0.0,57938.444524572995,72795.134290185,130733.57881475799,1,0.0,0.0
2025-01-07,6000.0,6000.0,76212.31451666667,16354.58643333333,0.0,0.0,0.0,60330.76214209111,67054.2382859111,127385.0004280022,1,0.0,0.0
2025-01-08,6000.0,6000.0,91468.90332857142,1597.6991214285722,3540.6011333333327,0.0,0.0,73140.41657844144,5619.163973215478,78759.5805516569,20,0.0,0.0
2025-01-09,6000.0,6000.0,91565.69224761904,1747.2645404761906,2221.400671428568,0.0,0.0,73274.87428706,6030.060199964288,79304.93448702428,17,0.0,0.0
2025-01-10,6000.0,6000.0,50901.68021904762,1129.2754309523812,6540.288933333332,0.0,0.0,38168.57107693357,4762.933517352383,42931.50459428596,19,0.0,0.0
2025-01-11,6000.0,6000.0,50673.12213809524,1255.6869023809522,7062.922423809525,0.0,0.0,38079.924468725,4898.355413646429,42978.279882371426,20,0.0,0.0
2025-01-12,6000.0,6000.0,91520.05261666665,1566.3189261904754,2220.483142857143,0.0,0.0,73218.5364902131,5349.671733636902,78568.20822384999,23,0.0,0.0
2025-01-13,6000.0,6000.0,90813.33389523809,1167.9848000000002,3707.361728571429,0.0,0.0,72615.92638527,4092.1087535440474,76708.03513881404,21,0.0,0.0
2025-01-14,6000.0,6000.0,90555.2211,1550.474661904762,2825.3828285714276,0.0,0.0,72347.30704345,5341.994819344047,77689.30186279405,19,0.0,0.0
2025-01-15,6000.0,6000.0,90123.29047619046,1615.188298809524,1668.1358416666665,0.0,0.0,72065.04134854166,6757.993358558333,78823.0347071,24,0.0,0.0
2025-01-16,6000.0,6000.0,90533.57445119046,1439.1603297619044,2898.5833309523805,0.0,0.0,72377.08254467309,6160.267075729164,78537.34962040227,23,0.0,0.0
2025-01-17,6000.0,6000.0,50185.07411666666,785.8662904761906,8281.82694047619,0.0,0.0,37666.679334985,2755.0427321684538,40421.72206715345,17,0.0,0.0
2025-01-18,6000.0,6000.0,50121.92508809523,790.9920285714288,7670.4081,0.0,0.0,37569.30545564357,2496.3629337702396,40065.66838941381,18,0.0,0.0
2025-01-19,6000.0,6000.0,89529.76589285715,1578.434021428572,2425.0604476190474,0.0,0.0,71488.34124783285,6454.631721957145,77942.97296978999,23,0.0,0.0
2025-01-20,6000.0,6000.0,89068.81534523808,1201.3785297619047,2203.117324999999,0.0,0.0,71156.01163960881,5152.535292469642,76308.54693207846,16,0.0,0.0
2025-01-21,6000.0,6000.0,89213.45438095237,768.2959583333333,6505.84565595238,0.0,0.0,71274.29426190798,2569.3055749309524,73843.59983683893,13,0.0,0.0
2025-01-22,6000.0,6000.0,88541.96735714286,1795.8118269841277,1439.0148174603185,0.0,0.0,70865.60422866904,6854.55856573135,77720.1627944004,17,0.0,0.0
2025-01-23,6000.0,6000.0,88610.3699531746,2153.5010658730152,1197.94541904762,0.0,0.0,70894.07741721143,7073.087145128568,77967.16456233998,22,0.0,0.0
2025-01-24,6000.0,6000.0,49380.521996825395,799.3011396825398,10350.409986507937,0.0,0.0,36969.982218365716,2737.772472298016,39707.75469066373,14,0.0,0.0
2025-01-25,6000.0,6000.0,49510.58912936508,551.9857111111107,11622.999373809522,0.0,0.0,37008.43301325619,2228.177483021428,39236.610496277615,18,0.0,0.0
2025-01-26,6000.0,6000.0,87433.79086507935,1995.0722222222207,1729.873053968254,0.0,0.0,70011.46298408016,6117.963290396028,76129.42627447618,23,0.0,0.0
2025-01-27,6000.0,6000.0,87257.78670476191,856.3089619047607,3919.178883333333,0.0,0.0,69792.43432897681,2879.937625107534,72672.37195408436,17,0.0,0.0
2025-01-28,6000.0,6000.0,86641.42327142856,2125.96981190476,1786.9937166666668,0.0,0.0,69206.57690331532,7540.241510695627,76746.81841401094,22,0.0,0.0
2025-01-29,6000.0,6000.0,87345.93242916666,379.61912797619084,6340.350507142857,0.0,0.0,69799.58432809607,1158.2385237416677,70957.82285183773,11,0.0,0.0
2025-01-30,6000.0,6000.0,86517.05666607142,718.9731553571442,3493.4470380952393,0.0,0.0,69080.0863677818,3230.1062026657783,72310.19257044756,18,0.0,0.0
2025-01-31,6000.0,6000.0,48212.013192261904,680.3850845238098,10128.075226785713,0.0,0.0,35918.32947288738,2829.827956489584,38748.157429376966,20,0.0,0.0
2025-02-01,6000.0,6000.0,48282.438657142855,157.02714642857148,14061.289870238095,0.0,0.0,35926.71333165743,643.1596638663693,36569.87299552381,7,0.0,0.0
2025-02-02,6000.0,6000.0,85392.81489523809,65.09477678571443,7101.631722023809,0.0,0.0,68129.67676245053,293.41777929910813,68423.09454174964,4,0.0,0.0
2025-02-03,6000.0,6000.0,84537.08954761905,255.82114702380855,4575.994194642858,0.0,0.0,67470.82903383643,863.4704193217221,68334.29945315815,13,0.0,0.0
2025-02-04,6000.0,6000.0,84476.89216488093,951.6908874999996,4233.719102380953,0.0,0.0,67353.6289581763,3757.391499876189,71111.02045805249,10,0.0,0.0
2025-02-05,6000.0,6000.0,84223.46772142858,563.8248452380952,4038.8655833333337,0.0,0.0,67237.60832951029,2076.772494604762,69314.38082411507,12,0.0,0.0
2025-02-06,6000.0,6000.0,84731.13958511906,224.50874404761848,4684.5911125,0.0,0.0,67689.54918421869,911.3789374226155,68600.9281216413,16,0.0,0.0
2025-02-07,6000.0,6000.0,47360.80446845238,216.24367202380938,15771.368473809522,0.0,0.0,35234.72007451595,1172.8890678377961,36407.609142353744,7,0.0,0.0
2025-02-08,6000.0,6000.0,46972.99085654762,110.33730654761916,15506.165446428568,0.0,0.0,34898.66356237297,675.7461066925598,35574.409669065535,6,0.0,0.0
2025-02-09,6000.0,6000.0,82718.50879940475,941.2936410714282,4104.3864738095235,0.0,0.0,66115.3144494572,3057.387345463987,69172.70179492119,13,0.0,0.0
2025-02-10,6000.0,6000.0,83186.04373273808,82.4829488095238,8941.889098214288,0.0,0.0,66422.92221420471,433.7954984223217,66856.71771262703,6,0.0,0.0
2025-02-11,6000.0,6000.0,82435.31082559522,72.48214999999993,7287.195842261904,0.0,0.0,65747.99740471138,412.4474771666665,66160.44488187804,5,0.0,0.0
2025-02-12,6000.0,6000.0,81617.83423511904,233.76786785714313,6584.865969642855,0.0,0.0,65160.67201520779,1113.1244943952388,66273.79650960304,12,0.0,0.0
2025-02-13,6000.0,6000.0,81082.53483214285,81.22060535714309,9834.276420833336,0.0,0.0,64785.591844043985,458.09176481339426,65243.68360885738,7,0.0,0.0
2025-02-14,6000.0,6000.0,45227.889513690476,127.41368630952414,15553.501383333332,0.0,0.0,33483.15492249107,601.2497176723234,34084.4046401634,8,0.0,0.0
2025-02-15,6000.0,6000.0,44566.12674761904,258.8728261904763,15544.908473809523,0.0,0.0,32917.05659365209,1232.620201533929,34149.67679518601,11,0.0,0.0
2025-02-16,6000.0,6000.0,78237.8747095238,1007.7000446428575,3868.195654166667,0.0,0.0,62332.76233790059,3996.853202041072,66329.61553994167,19,0.0,0.0
2025-02-17,6000.0,6000.0,77998.59401249999,204.66458630952377,7019.395432142856,0.0,0.0,62035.95987709357,1061.46302715,63097.42290424357,7,0.0,0.0
2025-02-18,6000.0,6000.0,77275.8422315476,258.6014904761913,5443.055938690477,0.0,0.0,61430.021325584996,1291.5562661008978,62721.57759168589,14,0.0,0.0
2025-02-19,6000.0,6000.0,76969.49824761905,682.7007672619056,4772.871631547618,0.0,0.0,61157.1035408822,2688.1665475919685,63845.270088474164,20,0.0,0.0
2025-02-20,6000.0,6000.0,76650.9089345238,370.1917994047616,6027.967000595238,0.0,0.0,60933.50868102619,1737.1383207059516,62670.64700173213,8,0.0,0.0
2025-02-21,6000.0,6000.0,43383.351904761905,454.4451130952378,18277.53498452381,0.0,0.0,31993.179928163274,1836.7710058639866,33829.95093402726,15,0.0,0.0
2025-02-22,6000.0,6000.0,42729.96675773809,500.90641726190427,15386.110291666666,0.0,0.0,31497.801790949583,2070.743770730057,33568.54556167964,16,0.0,0.0
2025-02-23,6000.0,6000.0,75095.5071190476,780.1715785714291,4343.825014285714,0.0,0.0,59672.15905824881,3354.008843853872,63026.16790210268,16,0.0,0.0
2025-02-24,6000.0,6000.0,74792.75092738094,357.7643690476192,6947.481679761905,0.0,0.0,59289.47603381059,1713.9813015842271,61003.45733539482,12,0.0,0.0
2025-02-25,6000.0,6000.0,74342.20901130952,431.17865238095294,8952.064430357143,0.0,0.0,58980.536842325775,1665.4529507380985,60645.98979306387,15,0.0,0.0
2025-02-26,6000.0,6000.0,73955.59344761905,627.3802880952373,5768.125702380952,0.0,0.0,58570.781741297855,2775.729307909818,61346.51104920768,14,0.0,0.0
2025-02-27,6000.0,6000.0,73412.12287738096,536.0116988095231,6991.550376190478,0.0,0.0,58157.24728356785,2765.44347616577,60922.690759733625,13,0.0,0.0
2025-02-28,6000.0,6000.0,41848.1167,410.2376779761907,18965.760827976188,0.0,0.0,30802.527754059876,1734.6887175267866,32537.216471586667,15,0.0,0.0
2025-03-01,6000.0,6000.0,41214.28381309523,472.8786250000003,18028.396504761902,0.0,0.0,30335.357547664164,2234.2905322952397,32569.648079959403,14,0.0,0.0
2025-03-02,6000.0,6000.0,72000.08898869046,3171.6601857142855,2813.442107738094,0.0,0.0,56988.51021539833,14303.801512974998,71292.31172837332,14,0.0,0.0
2025-03-03,6000.0,6000.0,72251.93930178572,3095.169414285714,3329.962082738095,0.0,0.0,57171.921855779874,14035.85399909881,71207.77585487868,15,0.0,0.0
2025-03-04,6000.0,6000.0,72663.7344125,803.9608148809523,4268.23729404762,0.0,0.0,57650.19733749696,3044.703014336309,60694.900351833276,16,0.0,0.0
2025-03-05,6000.0,6000.0,73426.21873869047,423.86664404761865,7719.613366071428,0.0,0.0,58318.98587891256,2022.5552684005931,60341.54114731315,12,0.0,0.0
2025-03-06,6000.0,6000.0,73058.02302797619,521.3739928571424,7638.7428875,0.0,0.0,58136.38903696726,2120.63916053363,60257.02819750089,11,0.0,0.0
2025-03-07,6000.0,6000.0,40825.98373154762,357.62490833333374,20261.323106547617,0.0,0.0,30063.662957592496,1182.0554156214307,31245.71837321393,11,0.0,0.0
2025-03-08,6000.0,6000.0,40347.18724702381,292.1266291666669,21576.17435952381,0.0,0.0,29752.487540459046,1037.4048147755966,30789.89235523464,11,0.0,0.0
2025-03-09,6000.0,6000.0,72077.2878625,326.839226785715,9070.602039285715,0.0,0.0,57299.02936509904,1609.0370795553608,58908.066444654396,10,0.0,0.0
2025-03-10,6000.0,6000.0,71319.6541065476,688.0661970238097,3965.648853571429,0.0,0.0,56555.57870798756,2804.18514491756,59359.76385290512,19,0.0,0.0
2025-03-11,6000.0,6000.0,70874.57883214286,825.5111738095222,7761.1712059523825,0.0,0.0,56168.30764635946,3243.2652726991,59411.57291905856,11,0.0,0.0
2025-03-12,6000.0,6000.0,70560.44956428571,641.7736404761906,8766.688521428572,0.0,0.0,55854.76946854993,2282.6226446422643,58137.3921131922,15,0.0,0.0
2025-03-13,6000.0,6000.0,69935.3450625,1872.4054577380948,4262.132503571429,0.0,0.0,55342.00740769583,8269.531862877971,63611.539270573805,12,0.0,0.0
2025-03-14,6000.0,6000.0,39282.09197440476,405.3705255952383,23658.036516666667,0.0,0.0,28827.924224771963,1788.1562201991082,30616.08044497107,11,0.0,0.0
2025-03-15,6000.0,6000.0,38927.11106369047,764.7188517857145,18767.704765476192,0.0,0.0,28586.686893636128,3093.3219774735117,31680.008871109643,10,0.0,0.0
2025-03-16,6000.0,6000.0,68753.29594404761,655.133820238096,6057.3828309523815,0.0,0.0,54355.536592250646,2389.769819526491,56745.30641177714,19,0.0,0.0
2025-03-17,6000.0,6000.0,68532.11452916666,263.1050148809529,10937.088110714285,0.0,0.0,54088.583828266186,1384.8472953541686,55473.43112362036,14,0.0,0.0
2025-03-18,6000.0,6000.0,67778.40116130954,944.0288107142857,7596.471605357143,0.0,0.0,53356.97184106142,4287.821064689287,57644.79290575071,11,0.0,0.0
2025-03-19,6000.0,6000.0,67911.25464999999,469.5268119047606,8915.31101190476,0.0,0.0,53498.857924537144,2145.000153971422,55643.858078508565,10,0.0,0.0
2025-03-20,6000.0,6000.0,67455.98682261904,954.2536416666678,6201.278647619048,0.0,0.0,53277.15385763845,3985.6693682452424,57262.823225883694,14,0.0,0.0
2025-03-21,6000.0,6000.0,38019.25233869048,581.3689589285709,26567.156780952377,0.0,0.0,27854.125320106607,2469.9326480374975,30324.0579681441,11,0.0,0.0
2025-03-22,6000.0,6000.0,37866.19468095237,350.4301458333333,22335.425093452377,0.0,0.0,27760.8733651575,1167.1440407773812,28928.01740593488,13,0.0,0.0
2025-03-23,6000.0,6000.0,66305.63094583333,793.8022666666667,8329.713095833333,0.0,0.0,52233.051852919045,3510.2674664092265,55743.31931932827,12,0.0,0.0
2025-03-24,6000.0,6000.0,65842.74481130952,869.0995232142858,8713.347251190477,0.0,0.0,51858.83776332857,3090.0863128151796,54948.92407614375,13,0.0,0.0
2025-03-25,6000.0,6000.0,65947.10715357141,1181.7635142857155,6178.745951190477,0.0,0.0,51906.0347226141,4895.765395761019,56801.80011837512,20,0.0,0.0
2025-03-26,6000.0,6000.0,65891.1253154762,384.7776702380953,10683.348119047621,0.0,0.0,51858.21933253667,1303.1996078479158,53161.41894038458,18,0.0,0.0
2025-03-27,6000.0,6000.0,65421.7036702381,925.9318744047616,7630.646144642858,0.0,0.0,51563.22433012958,3334.2858232110107,54897.51015334059,13,0.0,0.0
2025-03-28,6000.0,6000.0,36771.72588571429,634.1730619047614,26584.01818095238,0.0,0.0,26912.162752695716,2276.0567441720223,29188.219496867736,13,0.0,0.0
2025-03-29,6000.0,6000.0,36652.29241666666,577.0144345238093,29522.09766785714,0.0,0.0,26799.147986252203,2328.550347748213,29127.698334000415,16,0.0,0.0
2025-03-30,6000.0,6000.0,64281.05397023809,886.8044898809515,9822.23876011905,0.0,0.0,50499.634562181425,3130.468986047022,53630.10354822845,17,0.0,0.0
2025-03-31,6000.0,6000.0,64035.354348214285,1144.2223708333336,8228.187235714286,0.0,0.0,50260.6310244622,4630.483584267262,54891.11460872946,17,0.0,0.0
2025-04-01,6000.0,6000.0,63733.721251190465,1416.414710714287,4941.284445238094,0.0,0.0,49944.530184268326,5536.861673047624,55481.39185731595,19,0.0,0.0
2025-04-02,6000.0,6000.0,63424.44563273809,2492.8516809523812,5481.961913690477,0.0,0.0,49678.21594522524,11447.430289456846,61125.646234682084,12,0.0,0.0
