hour,emergency_kWh,emergency_cost_yuan
0,31945.4973,68125.28996914167
1,31065.622633333332,66910.903271175
2,29769.462279166666,64554.12819889166
3,28165.52683095238,61475.254786870835
4,27746.703153571427,60957.08246101696
5,26916.558201190477,71602.25818152887
6,32349.3874,140318.63139811964
7,41189.7346797619,174356.36281577498
8,45097.64992559524,243440.195552136
9,39095.856817857144,191753.33564067737
10,20326.63632797619,89884.42319554553
11,10969.925069047616,26085.32267181339
12,8508.248630952381,24339.01517010893
13,19742.110651190476,87882.58675108572
14,39426.23144821428,186162.05259455714
15,44595.95082440476,165417.67341482738
16,43468.80893154762,191817.4998739232
17,36122.586991071425,186163.16408124877
18,36060.24652083333,229721.68129114254
19,35706.34556666667,240707.3110938369
20,36597.51625535714,231497.7879099869
21,35745.31222083333,147837.7338867875
22,35127.01794583333,73431.57968014792
23,33448.4324125,71064.11106106875
