month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,unused_kWh,emergency_events
2025-02,1535427.164875418,46394.93920635149,1581822.1040817695,10964.036734523808,250588.5881315476,321
2025-03,1455134.863140508,109400.77257928184,1564535.63571979,26278.782697619048,366190.33260238095,423
2025-04,1251357.5353440028,122916.85532258275,1374274.3906665854,31252.337001785716,439745.58677678567,473
2025-05,1207451.639151599,328682.2320558777,1536133.8712074766,73551.71545535715,467249.2575988095,389
2025-06,1394230.2250444682,680466.6298102646,2074696.8548547328,164341.79325297617,199179.9259095238,345
2025-07,1573179.558322802,711075.8335221857,2284255.391844988,184984.65954226188,264031.3540005952,287
2025-08,1594557.1963487114,146508.47325215506,1741065.6696008665,35211.63001071429,516053.2275297619,451
2025-09,1530752.341787331,77850.36459114999,1608602.7063784811,17491.604070833335,585982.0712898809,190
2025-10,1473787.6306506826,145880.76789598807,1619668.3985466708,35677.93527083333,436302.9479642857,394
2025-11,1522829.016316414,230056.52910072467,1752885.5454171388,55194.90844880952,191298.31818511905,536
2025-12,1831408.102109945,496271.98761485174,2327680.089724797,134237.96653214286,69894.63346130952,465
