hour,emergency_kWh,emergency_cost_yuan
4,2929.560526785715,6449.027839656784
5,8184.7201762797595,26262.61374622862
6,13893.92505182738,60853.79086420071
7,12632.29033520832,57449.11823985114
8,44216.09096443435,236249.51906928746
9,68627.70501735118,336429.34666631516
10,33254.734765755944,159474.1355791289
11,372.3338026130925,890.6291861202852
14,194.4911270595244,761.8760666907647
15,1070.4533547619046,3979.6426534749994
16,978.0292601190472,4347.973966683629
17,798.1819640416669,4229.070538297555
18,5573.681415058125,37138.03118659945
19,85710.2922662813,577720.3403894716
20,308416.1959777385,2083678.5199716415
21,28028.288763094708,128488.15787142316
