date,interval,charge_kWh,discharge_kWh
2025-03-20,00:00-04:00,2247.3980925951228,338.6256333333333
2025-03-20,04:00-08:00,1079.9745833333332,5387.870616666668
2025-03-20,08:00-12:00,4729.144100000005,2777.3772166666663
2025-03-20,12:00-16:00,4358.01306255144,670.1993500000001
2025-03-20,16:00-20:00,104.14769999999987,6075.883316666666
2025-03-20,20:00-24:00,7830.978774071544,1234.5758791666667
2025-06-21,00:00-04:00,316.461666666667,306.3817
2025-06-21,04:00-08:00,772.2818899380144,1501.265360666667
2025-06-21,08:00-12:00,10322.212416666667,0.0
2025-06-21,12:00-16:00,0.0,0.0
2025-06-21,16:00-20:00,81.66296666666659,5860.194033333334
2025-06-21,20:00-24:00,2081.8281812554005,2636.4805833333335
2025-09-23,00:00-04:00,721.3236193415645,135.19438333333335
2025-09-23,04:00-08:00,573.3371430041151,7266.5252833333325
2025-09-23,08:00-12:00,4130.0146985596675,1451.0598833333343
2025-09-23,12:00-16:00,5615.302883333333,640.3114565843622
2025-09-23,16:00-20:00,116.63038333333282,5820.714383333334
2025-09-23,20:00-24:00,9768.748830658435,1538.8569767489766
2025-12-21,00:00-04:00,4222.438339300419,419.04211666666674
2025-12-21,04:00-08:00,1859.91685,1723.8919499999997
2025-12-21,08:00-12:00,5138.062449999999,7620.784589833334
2025-12-21,12:00-16:00,7883.6678786008215,2344.24465
2025-12-21,16:00-20:00,151.27118333333362,5970.768583333333
2025-12-21,20:00-24:00,5957.7864,2301.8878889670887
