date,next_date,fixed_day_end_kWh,free_day_end_kWh,delta_day_end_kWh,fixed_next_emergency_kWh,free_next_emergency_kWh,delta_next_emergency_kWh,fixed_next_emergency_cost_yuan,free_next_emergency_cost_yuan,delta_next_emergency_cost_yuan
2025-02-01,2025-02-02,7269.76577278695,2729.5796900631467,-4540.186082723803,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-02,2025-02-03,7129.7726504980155,2592.7886263024925,-4536.984024195523,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,2025-02-04,6298.396052752799,1670.9596816936446,-4627.436371059154,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,2025-02-05,6557.857982118015,1827.112651523065,-4730.745330594949,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,2025-02-06,6375.790636107738,1743.0075372189879,-4632.78309888875,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,2025-02-07,6441.355769666296,1743.9511937583168,-4697.404575907979,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,2025-02-08,6550.013888855438,1910.5593546216217,-4639.454534233817,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-08,2025-02-09,6584.947409231337,1897.1746645652693,-4687.772744666067,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-09,2025-02-10,6620.367931235481,2028.0999118192897,-4592.268019416191,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,2025-02-11,6538.441540633133,1885.756771064487,-4652.684769568646,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,2025-02-12,6555.912287229041,1987.5519279209175,-4568.360359308123,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,2025-02-13,6484.364071057755,1849.7596169643507,-4634.604454093404,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-13,2025-02-14,6513.634385005302,1856.9242248530686,-4656.710160152234,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,2025-02-15,6471.869410520874,1863.6178046127966,-4608.251605908077,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-15,2025-02-16,5992.877046101223,1284.249861540396,-4708.627184560826,25.71394984221945,25.71394984221945,0.0,116.98561480717738,116.98561480717738,0.0
2025-02-16,2025-02-17,6170.321346236437,1449.7456891619897,-4720.575657074448,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,2025-02-18,6175.79592040535,1470.5151664984548,-4705.280753906895,2.404578615352193,2.404578615352193,0.0,10.939630410544803,10.939630410544803,0.0
2025-02-18,2025-02-19,6452.124655292502,1799.594589478329,-4652.530065814173,1.3742213641319267,1.3742213641319267,0.0,6.252020096118201,6.252020096118201,0.0
2025-02-19,2025-02-20,5914.22819394251,1200.0,-4714.22819394251,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,2025-02-21,6453.068415087706,1792.6925587007204,-4660.375856386985,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,2025-02-22,6442.716351457579,1703.9784778190506,-4738.737873638528,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-22,2025-02-23,6161.187400814081,1456.3127176840278,-4704.874683130053,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-23,2025-02-24,6036.653208279107,1305.8688876788365,-4730.784320600271,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,2025-02-25,6144.254512107104,1420.6971152763676,-4723.557396830736,30.75640980227729,30.75640980227729,0.0,139.92628639546052,139.92628639546052,0.0
2025-02-25,2025-02-26,6123.427212234344,1388.7002197511836,-4734.72699248316,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,2025-02-27,6167.202382618756,1469.403390823494,-4697.798991795262,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,2025-02-28,6398.547682128132,1740.8468802113564,-4657.700801916775,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,2025-03-01,6416.908257428585,1732.8664206094838,-4684.041836819101,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,2025-03-02,6388.515022694478,1647.2459881878376,-4741.26903450664,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,2025-03-03,5812.363131983408,1200.0,-4612.363131983408,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,2025-03-04,5981.891288653128,1264.4888764248672,-4717.402412228261,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,2025-03-05,6051.712449469428,1314.2814305225536,-4737.431018946874,3.286666666666747,3.286666666666747,0.0,14.952690000000366,14.952690000000366,0.0
2025-03-05,2025-03-06,6207.694424206292,1501.4596033760215,-4706.23482083027,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,2025-03-07,6245.872426251826,1489.0239915850414,-4756.848434666785,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,2025-03-08,6618.315345864207,1860.2533850248503,-4758.061960839357,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-08,2025-03-09,6453.425180505491,1773.907410665515,-4679.517769839976,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,2025-03-10,6303.979497662709,1582.5711635844407,-4721.408334078268,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,2025-03-11,6429.316328115558,1658.388640768951,-4770.927687346606,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,2025-03-12,6710.97307391004,2081.619335212804,-4629.353738697236,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,2025-03-13,6305.521082990219,1520.0841489830195,-4785.436934007199,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,2025-03-14,6199.368568911731,1490.6656341009723,-4708.702934810759,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,2025-03-15,6820.662398053062,2162.769986894054,-4657.892411159008,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,2025-03-16,6194.184765885964,1512.058356933599,-4682.126408952365,1.6400000000001,1.6400000000001,0.0,7.461180000000455,7.461180000000455,0.0
2025-03-16,2025-03-17,6631.011839074956,1891.9810310793466,-4739.030807995609,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,2025-03-18,6629.295022936175,2019.251651244732,-4610.043371691443,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,2025-03-19,6534.037559423573,1817.8586456122894,-4716.178913811284,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,2025-03-20,6709.155209581985,2081.9032433013303,-4627.251966280655,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,2025-03-21,6376.037124884051,1742.5677748691849,-4633.469350014866,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21,2025-03-22,6416.908065115409,1682.3377127332665,-4734.570352382143,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-22,2025-03-23,6911.710565340052,2217.514530532895,-4694.196034807157,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,2025-03-24,6353.674263095515,1653.4928984425915,-4700.181364652924,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,2025-03-25,6294.667431111119,1645.7884523506063,-4648.878978760513,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,2025-03-26,6288.369630362811,1559.1991674478547,-4729.170462914956,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,2025-03-27,6484.356224016547,1807.7232733985477,-4676.632950617999,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,2025-03-28,6453.366699680413,1743.9395285503322,-4709.427171130081,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,2025-03-29,6742.525303475746,2145.3042219666295,-4597.221081509117,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,2025-03-30,6512.185217398835,1769.5070795167621,-4742.678137882073,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-30,2025-03-31,6608.307833566644,1934.5265490786,-4673.781284488045,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,2025-04-01,6518.481623081518,1882.7747401821903,-4635.706882899327,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,2025-04-02,6249.685548532568,1626.5295790983264,-4623.155969434241,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,2025-04-03,6483.236448242529,1880.6717533661815,-4602.564694876348,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03,2025-04-04,6493.017567850604,1870.8752140496472,-4622.142353800957,0.0,0.0,0.0,0.0,0.0,0.0
