strategy_id,terminal_mode,scope,window,emergency_kWh,emergency_cost_yuan,planned_kWh,planned_cost_yuan
T_fixed6000,fixed6000,main,00-06,85.81165962398131,390.40014545930296,8088855.734835953,3508732.6839230666
T_fixed6000,fixed6000,main,06-10,9787.246474826668,48320.80007294819,808698.6806887325,654092.9557795177
T_fixed6000,fixed6000,main,10-24,52626.32238165673,339482.41614604025,12815448.256160917,9107848.76587127
T_fixed6000,fixed6000,diagnostic,19-21,44141.49215435831,298691.76675156143,614992.3863931336,697020.3736917807
T_fixed6000,fixed6000,diagnostic,23-24,0.0,0.0,1588690.844690335,674153.7420889412
T_free,free,main,00-06,85.81165962398131,390.40014545930296,9767802.478434693,4227594.609553097
T_free,free,main,06-10,9756.229444437759,48132.10712717649,808698.6806887325,654092.9557795177
T_free,free,main,10-24,57002.16932510803,348438.7153656842,11035269.030574773,8367817.617054354
T_free,free,diagnostic,19-21,44123.566599900325,298570.94768896396,614992.3863931337,697020.3736917808
T_free,free,diagnostic,23-24,1868.372956217093,3970.0406099625793,1199024.1780236685,509491.7420889412
