month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1997187.0003934402,606.952843333331,176486.59999229427,576428.256551646,469000.5753738333,109754.00069670167,1217019.4943217763,2860.2098116779052,1219879.7041334542,12,9
2025-03,1881623.304468862,4560.19787924691,246973.18086727778,593554.0657368312,480661.41072266665,112762.22998731278,1122872.554827271,27122.354333404444,1149994.9091606755,23,9
2025-04,1636793.331474356,1892.6992355000034,316444.6797150638,551505.3442532921,446993.5922585,104816.48912071812,953500.395323875,10536.813833188024,964037.209157063,16,4
2025-05,1638604.3462521255,8960.178953166647,357919.4104281564,535240.5753524691,432405.925542,101569.16037324692,975052.2266110905,57099.384091044536,1032151.610702135,57,14
2025-06,2137018.698655792,19520.55315933331,301714.2839219321,552236.5257211934,447404.7240113333,104935.28857337861,1333225.3183108014,125014.57307864004,1458239.8913894414,100,24
2025-07,2381673.617272944,32939.32286288886,364109.79739080253,557555.5653975308,451871.6821691666,105963.52122521607,1505078.6455077224,196350.63981815672,1701429.285325879,156,22
2025-08,2046243.1979888044,2709.3310354999876,358799.9446207428,558796.448928395,452756.7287915,106185.94809189507,1281205.761013919,17693.347578714584,1298899.1085926334,64,37
2025-09,1844988.6136516563,3890.5366008250967,356536.9065808642,548997.2306839506,445038.8542623333,104348.48465309879,1143392.6064715572,25036.484124558036,1168429.0905961152,29,18
2025-10,1875075.7180474196,135.25332633332866,287573.76930041146,591832.3758360082,479328.764796,112441.98922760085,1138070.859132306,753.9745256835612,1138824.8336579895,5,5
2025-11,2068882.6992560802,439.5006431666633,163628.3885625515,620870.3444176953,503148.9410643333,117992.4723378066,1270736.0891288347,2347.0565276683938,1273083.145656503,10,7
2025-12,2681604.0190489423,14639.123727333337,199836.02817181076,696925.640059465,564555.4616883333,132420.94863798356,1678660.5906804071,74731.1546905185,1753391.7453709256,73,23
