month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1974536.0036378712,678.8107435219872,152712.29874762264,583423.2067085826,474800.36314147845,111097.916575467,1199597.444991048,3276.965167107014,1202874.410158155,18,13
2025-03,1835349.2895644584,7107.791806167976,200999.04719739332,605137.4432010636,489997.0754944971,114957.86381949495,1092390.4951351704,45568.32211381057,1137958.817248981,45,11
2025-04,1581879.655080441,7967.088021961611,266909.7451947927,555144.7764587663,449937.37755115627,105507.51959600512,919232.8035018931,51108.84836425941,970341.6518661525,29,8
2025-05,1602164.2635292888,6856.4834952532265,317723.84450164,542335.1784224696,437848.7408662343,102883.37793849524,948895.7566820661,43230.05466179974,992125.8113438659,61,20
2025-06,2085142.6689202848,16623.433871926627,245634.88236142878,559472.6577880272,453334.60354057775,106317.77728331138,1294577.6085518887,106998.04676789709,1401575.6553197857,76,27
2025-07,2319345.3719296083,4886.797116818669,268173.72674301674,586233.1355942335,474993.95280749,111400.41942692226,1455094.1554602715,28135.41289465886,1483229.5683549305,77,32
2025-08,2014457.7452027733,4355.488776885993,328336.4645484044,561686.3684188985,455322.4632543102,106760.02164792435,1258838.583562492,28820.18195107412,1287658.765513566,61,33
2025-09,1764317.9627941956,8849.824003411179,279321.786970369,560078.7392904236,454616.60671318567,106520.83023050746,1086445.1737651275,57121.814194295715,1143566.9879594233,61,25
2025-10,1841839.6300891945,3413.23588926649,255380.9137224067,600850.3384032453,486111.97718052415,114097.47574927169,1107923.6903334132,22276.485157563176,1130200.1754909765,37,14
2025-11,2060005.665092832,662.4775693371369,154994.5572598367,620588.3413156795,502887.1638966804,117935.18567564357,1264717.9254120742,3532.6997812275904,1268250.6251933018,12,7
2025-12,2654021.8283674745,7353.184763330648,163802.8597782451,703883.1593978883,570347.9422786614,133760.3095263068,1662910.4863694222,36689.40595766704,1699599.8923270893,38,15
