strategy_id,predictor_id,alpha,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,solved,solver_seconds,mip_gap,milp_fallback,nominal_terminal_error_kWh
F10_load_shape,L1V0,0.8,2025-02-01,8801.462273333342,7267.4793949383065,44404.986029675885,0.0,8282.682272121136,16445.854814615508,14701.726990394094,3278.110702616451,23426.124455450343,0.0,23426.124455450343,0,0,True,0.02468530018813908,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-02,7267.4793949383065,7051.229832772968,92296.25090583035,0.0,10102.983652334548,21219.020576024326,17382.03127252851,4053.238865661157,58608.59949900061,0.0,58608.59949900061,0,0,True,0.022314999951049685,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-03,7051.229832772968,6301.647652037372,87993.87718958226,0.0,4271.393527749496,22001.005918393676,18495.438756560914,4255.149342568359,55411.6548317877,0.0,55411.6548317877,0,0,True,0.028554199961945415,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-04,6301.647652037372,6583.086017535085,89030.54108304999,0.0,2908.1474116174577,24601.237855182062,19673.708133749526,4646.09135593482,55853.19375991047,0.0,55853.19375991047,0,0,True,0.03243799996562302,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-05,6583.086017535085,6302.50886117778,86641.36325123633,412.90418777394143,2013.0866452929927,23922.49079529226,19629.736984908304,4573.33096674126,54291.996327743516,2011.514067696238,56303.51039543976,5,3,True,0.014018800109624863,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-06,6302.50886117778,6358.071003669606,88781.75812425447,21.052866666666773,4090.401837656978,23112.347412394043,18670.99547579653,4385.789794105687,55828.73176341482,122.98032063333395,55951.71208404815,1,1,True,0.027549999998882413,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-07,6358.071003669606,6337.344229760675,43229.08853988794,0.0,7703.081148698837,19678.851689686693,15958.523965164255,3741.0544984313656,22191.988624459424,0.0,22191.988624459424,0,0,True,0.03554139984771609,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-08,6337.344229760675,6110.707729596494,38287.10265349163,86.29375190249984,3396.107459899055,18968.942520927274,15568.816292098854,3626.7627289926013,19656.08234531871,513.362744662948,20169.44508998166,2,2,True,0.04179790010675788,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-09,6110.707729596494,6525.618540493551,88240.5370375445,0.0,3775.174697481364,23876.45601889013,18966.509645493657,4495.035562499421,55302.50275383479,0.0,55302.50275383479,0,0,True,0.02557970001362264,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-10,6525.618540493551,6441.258689482548,88145.47125605802,0.0,10046.085607195,20256.168060208514,16483.4199946788,3857.107916540719,55377.26416504754,0.0,55377.26416504754,0,0,True,0.026116300141438842,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-11,6441.258689482548,6407.298762266807,86561.08663362669,3.0007143273362544,7161.549177987999,22171.078795404464,17989.13775877178,4215.900963848424,54120.39373176872,14.055345909243016,54134.449077677964,1,1,True,0.03204139997251332,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-12,6407.298762266807,6412.38874651099,86194.81298540843,0.0,6748.103541545102,21975.7490774222,17795.775766892213,4174.8833262858,53911.581409981474,0.0,53911.581409981474,0,0,True,0.031140699982643127,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-13,6412.38874651099,6477.133940777331,85380.62172406187,0.0,10234.86885202603,19778.96410804986,15962.690252680679,3751.5286611028396,53434.97356618698,0.0,53434.97356618698,0,0,True,0.027512999949976802,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-14,6477.133940777331,6441.353889278574,37380.206405714984,0.0,4127.051535842495,18334.500523972125,14883.147470766304,3487.1331047045805,19447.422811926874,0.0,19447.422811926874,0,0,True,0.043229399947449565,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-15,6441.353889278574,5943.110749291899,35265.06934156189,384.35334865335716,3455.68635152909,17695.07402460093,14781.428785914764,3411.8883786728447,18176.982863022447,2261.1575623423914,20438.14042536484,7,1,True,0.05369609990157187,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-16,5943.110749291899,6083.382956854941,81606.23242807163,47.6010002727694,1700.2095144508648,23421.051721509473,18844.80690761594,4435.972606330498,50510.836372134494,242.61063383875006,50753.44700597324,3,2,True,0.02586719999089837,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-17,6083.382956854941,6190.74490009539,82632.68591557788,0.0,7532.406258274911,20104.161798525805,16187.745307889501,3809.054547395859,51235.720217133465,0.0,51235.720217133465,0,0,True,0.021683699917048216,0.0,False,0.0
F10_load_shape,L1V0,0.8,2025-02-18,6190.74490009539,6467.721183855577,80987.30318198261,3.4557843233105814,4514.377172919731,21766.92291930897,17381.9289092561,4108.017726292686,50028.91405828914,15.72209077890149,50044.63614906804,1,1,True,0.021517599932849407,0.0,False,0.0
