strategy_id,predictor_id,alpha,date,issue_time,slot,start_time,end_time,price_yuan_kWh,load_kW,pv_kW,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,residual_adjustment_kWh,protected_net_kWh,residual_days,fallback_reason,planned_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,nominal_state_end_kWh,planned_cost_yuan,emergency_cost_yuan
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:10:00,0.4248,2532.1822,0.0,2650.0303468948346,0.0,441.6717244824724,14.837720693637266,456.5094451761097,28,,1010.4402525835078,588.4098859168412,0.0,0.0,0.0,8801.462273333342,9331.031170658498,9300.0,429.23501929747414,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,0.4245,2492.4439,0.0,2690.001186918914,0.0,448.3335311531523,10.064734422711808,458.3982655758641,28,,1291.7315989091974,833.3333333333333,0.0,0.0,42.990948909197414,9331.031170658498,10081.031170658498,10050.0,548.3400637369542,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,0.4269,2464.3,0.0,2723.704748677048,0.0,453.95079144617466,15.048333333333346,468.999124779508,28,,468.99912477950807,58.28245811284137,0.0,0.0,0.0,10081.031170658498,10133.485382960056,10050.0,200.215726368372,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,0.4272,2581.7688,0.0,2712.034046532144,0.0,452.005674422024,17.067674213563578,469.0733486355876,28,,469.0733486355876,38.77854863558764,0.0,0.0,0.0,10133.485382960056,10168.386076732086,10050.0,200.38813453712302,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,0.4271,2546.4635,0.0,2700.8413499580356,0.0,450.1402249930059,28.460966666666764,478.6011916596727,28,,478.6011916596727,54.19060832633937,0.0,0.0,0.0,10168.386076732086,10217.15762422579,10050.0,204.41056895784618,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,0.4285,2436.31,0.0,2824.1821370000503,0.0,470.6970228333417,27.536666666666633,498.2336895000083,28,,498.2336895000083,92.1820228333417,0.0,0.0,0.0,10217.15762422579,10300.121444775797,10050.0,213.49313595075355,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,0.4311,2620.5011,0.0,2841.5665955950703,0.0,473.5944325991784,22.744733333333443,496.33916593251183,28,,496.33916593251183,59.58898259917851,0.0,0.0,0.0,10300.121444775797,10353.751529115058,10050.0,213.97181443350584,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,0.4302,2710.7861,0.0,2799.012323971639,0.0,466.5020539952732,22.408899999999903,488.9109539952731,28,,488.9109539952731,37.113270661939794,0.0,0.0,0.0,10353.751529115058,10387.153472710803,10050.0,210.3294924087665,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,0.4279,2676.48,0.0,2804.225862056766,0.0,467.37097700946094,30.656666666666638,498.0276436761276,28,,498.0276436761276,51.9476436761276,0.0,0.0,0.0,10387.153472710803,10433.906352019318,10050.0,213.10602872901498,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,0.4312,2830.598,0.0,2862.455457174777,0.0,477.0759095291295,19.56973333333326,496.64564286246275,28,,496.64564286246275,24.879309529129443,0.0,0.0,0.0,10433.906352019318,10456.297730595534,10050.0,214.15360120229394,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,10,2025-02-01 01:40:00,2025-02-01 01:50:00,0.4333,2688.1558,0.0,2950.0410008692916,0.0,491.6735001448819,19.181866666666735,510.85536681154866,28,,510.8553668115487,62.82940014488207,0.0,0.0,0.0,10456.297730595534,10512.844190725928,10050.0,221.35363043944406,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,11,2025-02-01 01:50:00,2025-02-01 02:00:00,0.4311,2384.42,0.0,2983.0574633496344,0.0,497.17624389160574,38.82666666666671,536.0029105582724,28,,536.0029105582724,138.59957722493914,0.0,0.0,0.0,10512.844190725928,10637.583810228372,10050.0,231.07085474167124,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,12,2025-02-01 02:00:00,2025-02-01 02:10:00,0.4293,2604.5438,0.0,2907.540067217554,0.0,484.59001120292567,22.29368320052231,506.883694403448,28,,506.883694403448,72.79306107011467,0.0,0.0,0.0,10637.583810228372,10703.097565191476,10050.0,217.60517000740023,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,13,2025-02-01 02:10:00,2025-02-01 02:20:00,0.4324,2943.3655,0.0,2917.721022607367,0.0,486.28683710122783,29.253033333333406,515.5398704345612,28,,515.5398704345612,24.978953767894552,0.0,0.0,0.0,10703.097565191476,10725.578623582582,10050.0,222.91943997590425,0.0
F10_load_shape,L1V0,0.8,2025-02-01,2025-02-01,14,2025-02-01 02:20:00,2025-02-01 02:30:00,0.4367,3019.32,0.0,2988.967457162397,0.0,498.16124286039945,25.4168259766069,523.5780688370064,28,,523.5780688370064,20.358068837006385,0.0,0.0,0.0,10725.578623582582,10743.900885535888,10050.0,228.6465426611207,0.0
