day_index,date,n_train_days,n_rows,trained,branch,n_trees,model_file,model_sha256,constant_new_columns,correction_min_kW,correction_max_kW,train_first,train_last,prediction_min_kW,prediction_max_kW
1,2025-01-02,0,0,False,feature_history_fallback,0,,,,,,,,,
2,2025-01-03,0,0,False,feature_history_fallback,0,,,,,,,,,
3,2025-01-04,0,0,False,feature_history_fallback,0,,,,,,,,,
4,2025-01-05,0,0,False,feature_history_fallback,0,,,,,,,,,
5,2025-01-06,0,0,False,feature_history_fallback,0,,,,,,,,,
6,2025-01-07,0,0,False,feature_history_fallback,0,,,,,,,,,
7,2025-01-08,0,0,False,insufficient_history,0,,,,,,,,,
8,2025-01-09,1,0,False,insufficient_history,0,,,,,,,,,
9,2025-01-10,2,0,False,insufficient_history,0,,,,,,,,,
10,2025-01-11,3,0,False,insufficient_history,0,,,,,,,,,
11,2025-01-12,4,0,False,insufficient_history,0,,,,,,,,,
12,2025-01-13,5,0,False,insufficient_history,0,,,,,,,,,
13,2025-01-14,6,0,False,insufficient_history,0,,,,,,,,,
14,2025-01-15,7,0,False,insufficient_history,0,,,,,,,,,
15,2025-01-16,8,0,False,insufficient_history,0,,,,,,,,,
16,2025-01-17,9,0,False,insufficient_history,0,,,,,,,,,
17,2025-01-18,10,0,False,insufficient_history,0,,,,,,,,,
18,2025-01-19,11,0,False,insufficient_history,0,,,,,,,,,
19,2025-01-20,12,0,False,insufficient_history,0,,,,,,,,,
20,2025-01-21,13,0,False,insufficient_history,0,,,,,,,,,
21,2025-01-22,14,2016,True,fitted,100,models/support12/pv_2025-01-22.txt,4f54435c85ec2d37c5b02aa37d7f5ccad2a38c194ad520b4a01efe3032bc88d7,support_valid,-64.3210875961295,208.63830077662487,2025-01-08,2025-01-21,0.0,7199.806591802634
22,2025-01-23,15,2160,True,fitted,100,models/support12/pv_2025-01-23.txt,cc15abeb660edca6230cb0c8065ab1b31bce8968d1139114551687c6019f0cab,support_valid,-28.928041853072703,561.9006052747317,2025-01-08,2025-01-22,0.0,6418.712316893445
23,2025-01-24,16,2304,True,fitted,100,models/support12/pv_2025-01-24.txt,1340f382fff5417beeb3dc88cd94f81a7c49a6da719addf797d5db1f4d1b34f0,support_valid,-4.301664317821709,484.1776104593111,2025-01-08,2025-01-23,0.0,6048.771510459311
24,2025-01-25,17,2448,True,fitted,100,models/support12/pv_2025-01-25.txt,5eb44a4f57074eba0765abfec1f2835bc6bfe9b6461d0f4ad5aa0b2f42ea7b49,support_valid,-456.1487794628396,185.70734918853793,2025-01-08,2025-01-24,0.0,6440.111987392069
25,2025-01-26,18,2592,True,fitted,100,models/support12/pv_2025-01-26.txt,ee38fe377d62def5961c8174826a48c879aed1fed06712cb2aafdedcd3e20a99,support_valid,-273.2919762414437,218.40708432642197,2025-01-08,2025-01-25,0.0,6673.501912120111
26,2025-01-27,19,2736,True,fitted,100,models/support12/pv_2025-01-27.txt,afa270f0fdaabc6117ccba90d8f43d7233e4361d89d0092a7443a0fb7aded658,support_valid,-413.77700786116463,433.4299433897508,2025-01-08,2025-01-26,0.0,6221.6949372256395
27,2025-01-28,20,2880,True,fitted,100,models/support12/pv_2025-01-28.txt,464b9a8045b58bd42071588802cfa2d7f5f9587a9edf25e86bd5c25247756faa,support_valid,-441.83540685226376,541.3725164027777,2025-01-08,2025-01-27,0.0,6411.945429871926
28,2025-01-29,21,3024,True,fitted,100,models/support12/pv_2025-01-29.txt,bfa0bd3c75ac4291ff4c9341e5f0b88e6ff82ae8d20ffc4dca442bfe9f23d3a8,support_valid,-442.16805757718254,559.1065308578925,2025-01-08,2025-01-28,0.0,6324.364399702695
29,2025-01-30,22,3168,True,fitted,100,models/support12/pv_2025-01-30.txt,7ea15754add02bf16f390cb06e2c44dbd3298c359c6ce573a4b3422e4f730a02,support_valid,-535.307043941927,-36.61459974716104,2025-01-08,2025-01-29,0.0,6281.43109829949
30,2025-01-31,23,3312,True,fitted,100,models/support12/pv_2025-01-31.txt,045c0c8050dd3ee8e9dcc41f4581752a836383280af67675ff14aad484c880d0,support_valid,-392.4255510764562,556.7419608038717,2025-01-08,2025-01-30,0.0,6598.0443111142185
31,2025-02-01,24,3456,True,fitted,100,models/support12/pv_2025-02-01.txt,61c67ed287ccbece215784ab48934d1d80a9f65e6a12d36bb2bc581fc0b0b0db,support_valid,-443.11835892914223,457.2669349459673,2025-01-08,2025-01-31,0.0,6398.871590508916
32,2025-02-02,25,3600,True,fitted,100,models/support12/pv_2025-02-02.txt,254172c98be32ddc76179ec543fea1c2276358fdcc5dbcc79bccb26089bd8a55,support_valid,-516.3092919620113,386.2390457582419,2025-01-08,2025-02-01,0.0,6503.023352169935
33,2025-02-03,26,3744,True,fitted,100,models/support12/pv_2025-02-03.txt,4c32c53732013efa521ab43e537d6ddab4c600a1dd6f07582528adf7eaf3dcfe,support_valid,-491.3487023611601,239.3905361301818,2025-01-08,2025-02-02,0.0,6618.005771761699
34,2025-02-04,27,3888,True,fitted,100,models/support12/pv_2025-02-04.txt,df8e24ac7ffefc4987c56307cf7c2c61db602a8b1ebeb998bdb81761c9db5edb,support_valid,-386.4675794722969,525.2631707019021,2025-01-08,2025-02-03,0.0,6627.19035395935
35,2025-02-05,28,4032,True,fitted,100,models/support12/pv_2025-02-05.txt,7c848143516f7be0fb03995d7fdda3c3323081ee29355a6df3e412caac34a081,support_valid,15.123345204249066,637.4290719248572,2025-01-08,2025-02-04,0.0,6759.721923874148
36,2025-02-06,29,4176,True,fitted,100,models/support12/pv_2025-02-06.txt,0054716f4c7e59857d4ee548b4cd3e25e65869a4c122946094df117978dba73e,support_valid,-487.4707949893237,481.99318887478114,2025-01-08,2025-02-05,0.0,6584.581952350724
37,2025-02-07,30,4320,True,fitted,100,models/support12/pv_2025-02-07.txt,947912449a31b43d4de33a8686deabc2ab784a6418e6eeb03a5cd94d844b3b87,support_valid,-382.20276345520716,273.2976995551116,2025-01-08,2025-02-06,0.0,6424.4793302156095
38,2025-02-08,31,4464,True,fitted,100,models/support12/pv_2025-02-08.txt,ca1f1654ed5dd5e9e8b4bf32629e06517bb7da0aa34ca57e034a3295cf076f50,support_valid,-562.2930322442904,380.00169671420787,2025-01-08,2025-02-07,0.0,6714.716397015343
39,2025-02-09,32,4608,True,fitted,100,models/support12/pv_2025-02-09.txt,f770d8a2f9b4bd0e81a1d68058e7226287e1a79d27d4003150e776c879d15b80,support_valid,-587.4509547267678,478.9776250611894,2025-01-08,2025-02-08,0.0,6636.534775120858
40,2025-02-10,33,4752,True,fitted,100,models/support12/pv_2025-02-10.txt,254a56c572078ddb9aef5e4d75ab61336b0de1c742bb82423461cd0327b5ef87,support_valid,-205.4011764044874,561.8255572593062,2025-01-08,2025-02-09,0.0,6551.386373290195
41,2025-02-11,34,4896,True,fitted,100,models/support12/pv_2025-02-11.txt,034c83be6fca10d85c62e7f4f56ba0e804ada9fdeaf133f08a81f55df6d2df0b,support_valid,-583.13281253017,124.17071861335678,2025-01-08,2025-02-10,0.0,6792.252136288751
42,2025-02-12,35,5040,True,fitted,100,models/support12/pv_2025-02-12.txt,81ab820a8c19e480e3d2b13d1770d48ada364c78cdc5455e3e7c46b6e8f020f6,support_valid,-631.2557969083483,80.55733669311539,2025-01-08,2025-02-11,0.0,6631.493196441467
43,2025-02-13,36,5184,True,fitted,100,models/support12/pv_2025-02-13.txt,0e3845192f7f0091cce4a3f290fe3ddf900c39d27db4276f407dfcb1db7ed540,support_valid,-546.8200437374211,451.913423218404,2025-01-08,2025-02-12,0.0,6888.405388885141
44,2025-02-14,37,5328,True,fitted,100,models/support12/pv_2025-02-14.txt,d0336528bd82790612d9fe9b5cd836bf4120da989db76da7941215789316196d,support_valid,-395.91515300246704,401.61142998752996,2025-01-08,2025-02-13,0.0,7326.932151032682
45,2025-02-15,38,5472,True,fitted,100,models/support12/pv_2025-02-15.txt,415350d37985dbeb4cdb3067b7fc621ea07afe9485387132963e2d21bbfb2351,support_valid,-374.8833310436206,717.8655379147473,2025-01-08,2025-02-14,0.0,7165.703308928894
46,2025-02-16,39,5616,True,fitted,100,models/support12/pv_2025-02-16.txt,5c5f6a0ef520a13fd70aa62494e7d95a111e5847ff6f5552fcbf38212a594f11,support_valid,-516.288605423065,442.5558763888484,2025-01-08,2025-02-15,0.0,7107.359939638429
47,2025-02-17,40,5760,True,fitted,100,models/support12/pv_2025-02-17.txt,0c6768ff5bc8e47a427b87a3fc35d93b4dd1d6e7159d35077aa30e91f3df4e24,support_valid,-216.56402942667756,574.8323043027331,2025-01-08,2025-02-16,0.0,7007.858754708724
48,2025-02-18,41,5904,True,fitted,100,models/support12/pv_2025-02-18.txt,c8c8ff1ae8962928b95aeb2808d3e009509d655a01ed3fac94f62bf3a91bdb45,support_valid,-667.8075934805435,280.5121743802241,2025-01-08,2025-02-17,0.0,6979.382247844272
49,2025-02-19,42,6048,True,fitted,100,models/support12/pv_2025-02-19.txt,d71d2ccbd76b2f54806147abe09026ad54db552d3fe4540bdb52a93ac457813c,support_valid,-623.8336198115597,504.3845407787102,2025-01-08,2025-02-18,0.0,7101.382710194887
50,2025-02-20,43,6192,True,fitted,100,models/support12/pv_2025-02-20.txt,008a7451aecff20be67f46d0bb3a643f053ca1b9db33775acbda9d99d997a167,support_valid,-579.8371929307929,593.7934234743013,2025-01-08,2025-02-19,0.0,7253.875307069206
51,2025-02-21,44,6336,True,fitted,100,models/support12/pv_2025-02-21.txt,f8d1be11bd8bb61fe1b513eb3d9406d22a52fbfbcc5d1d7e20548cd6c0624213,support_valid,-513.3166368818048,426.1848264596381,2025-01-08,2025-02-20,0.0,7248.774905420843
52,2025-02-22,45,6480,True,fitted,100,models/support12/pv_2025-02-22.txt,b3c9f7932b7aa49bd60ee5f10fbb735bf8bcd9e085e4e858a9b3c0c5718cd507,support_valid,-212.84945274311244,312.9435761718005,2025-01-08,2025-02-21,0.0,7406.667743694524
53,2025-02-23,46,6624,True,fitted,100,models/support12/pv_2025-02-23.txt,fd2f3b6fef42d15547c2ab07fda0b60fbe5ac50e6783e853a6fe3185ad698373,support_valid,9.535071359923457,759.5563542193518,2025-01-08,2025-02-22,0.0,7508.29277087413
54,2025-02-24,47,6768,True,fitted,100,models/support12/pv_2025-02-24.txt,368002f7e1d7cb24baaa09600c4f31110c926cafefa4bd4be907b81546cb552e,support_valid,-310.7577365123037,628.4975733602643,2025-01-08,2025-02-23,0.0,7241.802026612749
55,2025-02-25,48,6912,True,fitted,100,models/support12/pv_2025-02-25.txt,e8f427a3cbe9d14669d1e826fba4488ddbef4adbf7326a66d212f380b5615f6f,support_valid,-619.3727429069253,332.6953551383815,2025-01-08,2025-02-24,0.0,7411.745441566273
56,2025-02-26,49,7056,True,fitted,100,models/support12/pv_2025-02-26.txt,6ad9abde00de4dfb4c8e66593b3fc6cbfe5be0311998195c15867232631a8abe,support_valid,-366.5141050396904,126.03278173922968,2025-01-08,2025-02-25,0.0,8101.694064022369
57,2025-02-27,50,7200,True,fitted,100,models/support12/pv_2025-02-27.txt,11d96e6e61e6d4cad564a3a38370b858cf57b27a50aaa57f4ceb1bc5f58e0102,support_valid,-499.8241052242757,564.3179220013457,2025-01-08,2025-02-26,0.0,7829.7909655291605
58,2025-02-28,51,7344,True,fitted,100,models/support12/pv_2025-02-28.txt,c20361df02d3f8fb9cb7389deb2092d48bf336d9876256c8e19466ca8be9a1ab,support_valid,-597.1568428065092,648.1482888843295,2025-01-08,2025-02-27,0.0,7782.6229615787315
59,2025-03-01,52,7488,True,fitted,100,models/support12/pv_2025-03-01.txt,36e9e3687311734c1424d5e1c4b35e244c517c5ffee7caa0f6442a86e4373fa2,support_valid,-621.773814026804,684.4804941728044,2025-01-08,2025-02-28,0.0,7813.1781552681605
60,2025-03-02,53,7632,True,fitted,100,models/support12/pv_2025-03-02.txt,743f07d64795854639c11d50854a4e0e326cccdc2ddf5668f424ed018079b3b8,support_valid,-137.78346822462652,586.6801732206661,2025-01-08,2025-03-01,0.0,7587.304071726147
61,2025-03-03,54,7776,True,fitted,100,models/support12/pv_2025-03-03.txt,647d74fea823da9548d2321933ad0600aeadf31757f3ed96c50c812fdc9e007b,support_valid,-179.99479425983313,527.8542738305248,2025-01-08,2025-03-02,0.0,6678.603249417727
62,2025-03-04,55,7920,True,fitted,100,models/support12/pv_2025-03-04.txt,0feddaf01f1cbb6b75f626a94db237c2c0281aecb40cdca10304f3acfb0b5c00,support_valid,-241.30476785934454,557.589442755775,2025-01-08,2025-03-03,0.0,6888.644005414489
63,2025-03-05,56,8064,True,fitted,100,models/support12/pv_2025-03-05.txt,46756589e20fdaa5c2656ef90c3d847863bfeccfa31c84c7be919dc3c7a3e9a6,support_valid,-315.3672264051346,390.02902778582074,2025-01-08,2025-03-04,0.0,7162.631258261553
64,2025-03-06,56,8064,True,fitted,100,models/support12/pv_2025-03-06.txt,0e3c1d2ccb5ca6cc5d612bd0c755d3cf6e8aa81e5de792a39ddda79428a86630,support_valid,-560.2468677537915,533.4380701077795,2025-01-09,2025-03-05,0.0,7414.9915036762895
65,2025-03-07,56,8064,True,fitted,100,models/support12/pv_2025-03-07.txt,d73e7597ff8c55349588b04eaae8774cce8fd5cf345eb49bc830d3fdc0f096d0,support_valid,-828.5239386425663,304.4884598050378,2025-01-10,2025-03-06,0.0,7191.263370544482
66,2025-03-08,56,8064,True,fitted,100,models/support12/pv_2025-03-08.txt,459d26135cab0ac3b6823f346d8d4151d0dd6a23da2fb3ff481862afc09ec9d2,support_valid,-849.0738683243595,314.93495906367224,2025-01-11,2025-03-07,0.0,7158.436572244743
67,2025-03-09,56,8064,True,fitted,100,models/support12/pv_2025-03-09.txt,eb96c027dc173a396131a9a483de5e3e3f82c586cf7cab55320b7f89de042445,support_valid,-585.984268104228,144.18559313484687,2025-01-12,2025-03-08,0.0,7478.3056785511235
68,2025-03-10,56,8064,True,fitted,100,models/support12/pv_2025-03-10.txt,a482b97e7e77e9351b52f2b88304a000e657883801518200da1a119432a9bd03,support_valid,-630.9793207486463,201.02262289995738,2025-01-13,2025-03-09,0.0,7879.067029927968
69,2025-03-11,56,8064,True,fitted,100,models/support12/pv_2025-03-11.txt,8da0de79fab81bd558776490d23a02d72ed781b34cb8f0fc73b690cebfa34a8b,support_valid,-875.4697733470045,285.16754746264405,2025-01-14,2025-03-10,0.0,6881.120810043854
70,2025-03-12,56,8064,True,fitted,100,models/support12/pv_2025-03-12.txt,881ca2d406104a7700cb1b655065ed0fd639f54c2df024f573e402152f03e6d0,support_valid,-473.21332745074517,546.951729518237,2025-01-15,2025-03-11,0.0,7688.3629215507035
71,2025-03-13,56,8064,True,fitted,100,models/support12/pv_2025-03-13.txt,e736aefccefabcb8f2944e3bc979b11dafe948e5ee651f235f7dc391ca86c299,support_valid,-537.5872974401574,183.5135379324905,2025-01-16,2025-03-12,0.0,7738.709301473858
72,2025-03-14,56,8064,True,fitted,100,models/support12/pv_2025-03-14.txt,a7a83a537d890d50f458c67c6d0bf99fb208c6698601c5158745f3847f734ea3,support_valid,-295.1161880748891,507.7783878561405,2025-01-17,2025-03-13,0.0,7240.4092070102915
73,2025-03-15,56,8064,True,fitted,100,models/support12/pv_2025-03-15.txt,630cb1762a6cdec492198c1b5847c09fed81d16c9ee513ee326f5a1ab1c70537,support_valid,-552.7655043125799,437.8282768318884,2025-01-18,2025-03-14,0.0,7954.642721616578
74,2025-03-16,56,8064,True,fitted,100,models/support12/pv_2025-03-16.txt,58bbd666edc037fafbd544a75c43a80ef02309c18f1585570b692509b3d37e94,support_valid,-439.419589167172,750.3714572182096,2025-01-19,2025-03-15,0.0,7453.666291991845
75,2025-03-17,56,8064,True,fitted,100,models/support12/pv_2025-03-17.txt,170fa5ff3d018ea1c8521b6ce80e1fee7623b0c3e43c9bfc4645677f6acba4c5,"support_midpoint_h,support_valid",-624.0555516213333,871.0289513609025,2025-01-20,2025-03-16,0.0,7780.403111164815
76,2025-03-18,56,8064,True,fitted,100,models/support12/pv_2025-03-18.txt,8fae649bb8bc49ae067afb41f15fef3df1fc7e9d749e9d052a1cf9a0ba62fba7,"support_midpoint_h,support_valid",-544.6105832404478,182.22240748854622,2025-01-21,2025-03-17,0.0,8105.438492145575
77,2025-03-19,56,8064,True,fitted,100,models/support12/pv_2025-03-19.txt,0f956215a3ee1e57b9dcd32bf38e7aed5d747e2e2e280adc9a6385b4a387063c,"support_midpoint_h,support_valid",-744.0481478238222,917.0066927008775,2025-01-22,2025-03-18,0.0,8073.730358415505
78,2025-03-20,56,8064,True,fitted,100,models/support12/pv_2025-03-20.txt,220edcb1a126624349f7f4769e5d22fe82a709681f1a701e1a9cf30c522755b7,"support_midpoint_h,support_valid",-819.9123656798295,621.773743054144,2025-01-23,2025-03-19,0.0,7803.858894091195
79,2025-03-21,56,8064,True,fitted,100,models/support12/pv_2025-03-21.txt,74f5e7d37df28f18aecc541addddff16acc3167ee27c3a2b5c5592a4b260a468,"support_midpoint_h,support_valid",-185.27748148669804,848.9987498856657,2025-01-24,2025-03-20,0.0,8250.735656375598
80,2025-03-22,56,8064,True,fitted,100,models/support12/pv_2025-03-22.txt,398c78a4ee902437ff1a4fb4a2e6060040feaa13223f389f9090cc5469dcb75e,"support_midpoint_h,support_valid",-534.3137339910324,529.2038312043499,2025-01-25,2025-03-21,0.0,8394.95738882428
