weekday,hour,n,mae_kW,bias_kW
0,0,288,152.15634226886235,11.795546890957455
0,1,288,154.48974606245886,14.02981781746074
0,2,288,148.77927462074285,6.05612219517507
0,3,288,143.69776094667583,7.4120961533209275
0,4,288,136.35100483737372,2.122649092679132
0,5,288,137.9787733009053,6.689606675648475
0,6,288,135.1458297672569,1.5293776893581803
0,7,288,133.63211381669592,3.049524903871969
0,8,288,138.28289937862124,9.846343429419015
0,9,288,136.31571470307426,10.610333030023687
0,10,288,140.38541788891243,6.570285556070833
0,11,288,141.11209337984948,5.528323054977158
0,12,288,137.60691844768465,5.163723611739828
0,13,288,151.70043758362374,4.351435707091298
0,14,288,153.51547350942255,3.7949757842881473
0,15,288,153.03832262964994,3.9326035802385206
0,16,288,152.37972797478824,9.14127263683151
0,17,288,171.42371659759226,4.715324055778208
0,18,288,153.50782704091978,-1.4975326204807782
0,19,288,143.48006144407705,6.145166494558026
0,20,288,150.78596876175322,13.089921106921382
0,21,288,144.4971571034735,13.097426818851204
0,22,288,151.40230549145,7.3949114389069575
0,23,288,164.5641381073188,9.58523235022645
1,0,288,160.45854071682533,-10.54503884347688
1,1,288,159.8058043008129,-11.913984043478527
1,2,288,152.23911519278556,-8.829339154608043
1,3,288,149.55300397938825,-2.2890181867771244
1,4,288,157.854480050138,-7.4188638208786415
1,5,288,135.1479369514925,-6.8586260279222495
1,6,288,130.36180006733613,-3.4671516195895595
1,7,288,144.4908075189031,0.17262736440224874
1,8,288,138.2786091594552,3.729828982541095
1,9,288,144.1638830719472,1.4382555402496753
1,10,288,143.8523092894652,-5.81507770268567
1,11,288,136.0451267541261,1.1418808543511874
1,12,288,141.46407845390303,-4.281573793552614
1,13,288,173.52491488700085,-12.149381265412337
1,14,288,166.00011856560457,-14.93584061276891
1,15,288,147.18039383790307,-12.699941585392017
1,16,288,164.03791284244141,-16.41813652958321
1,17,288,160.42319420293572,-17.14865070273588
1,18,288,146.67526986433285,-6.973490231168942
1,19,288,151.88703853002482,-7.86150864726232
1,20,288,161.4042469135494,-12.610460573176287
1,21,288,170.3411716401673,-11.449269255000774
1,22,288,158.25764496890577,-12.125470046353449
1,23,288,171.94181643461232,-15.295781920493479
2,0,288,124.85075533100488,3.6363491381817505
2,1,288,130.48223080394703,3.6328523298021986
2,2,288,120.96160243590892,12.326028905550345
2,3,288,116.61956143148993,11.33816927985707
2,4,288,127.56966919662,12.877777276214053
2,5,288,124.25325686508813,17.09670378608544
2,6,288,126.4178599285175,23.4267195810201
2,7,288,129.42626438637643,14.167213489083647
2,8,288,104.03290306207484,14.19451389299746
2,9,288,115.91129926580558,11.849547514507726
2,10,288,120.75978119424332,16.594316641501894
2,11,288,129.4101896979638,8.634082123829138
2,12,288,126.1749279392993,9.735653261605385
2,13,288,125.9662149232157,5.095228397930795
2,14,288,132.9855570934459,-2.264100667404244
2,15,288,137.0436166421721,-3.444383373357182
2,16,288,138.14201523865256,5.212465781825295
2,17,288,135.02271694905266,-4.126291657614104
2,18,288,144.8704909336176,-1.5678712617825694
2,19,288,141.48302740606084,-14.753248593807875
2,20,288,136.95995872793912,-3.400740253047821
2,21,288,123.94952511759584,-1.7894487540274706
2,22,288,139.10450036145392,-0.5123109399181973
2,23,288,124.44182150414524,10.349563931226639
3,0,282,133.42792533852878,1.7163724499241846
3,1,282,124.09020657901192,-1.1971719825693274
3,2,282,130.2916995146578,8.398031887367988
3,3,282,122.40592897603156,6.000641652158652
3,4,282,117.41575045077634,-0.5374434525390822
3,5,282,121.40836726499388,4.759016453195583
3,6,282,119.90654474093273,12.152159222856751
3,7,282,123.26073298053873,10.927834357993735
3,8,282,142.15268357594928,15.406698506481014
3,9,282,113.82459690332493,7.669035889291146
3,10,282,105.58019073213116,11.563851877289496
3,11,282,117.6551458395288,-1.464356775501409
3,12,282,118.44341397793475,-4.17350621096916
3,13,282,126.68305646304746,12.53197834303918
3,14,282,127.27098596428458,4.556247759948343
3,15,282,125.52913203516681,5.528407379395042
3,16,282,128.39649306679703,-1.8594729817346172
3,17,282,145.14529420941645,1.9492256298698043
3,18,282,152.1690962717783,2.5958116969471794
3,19,282,129.0398813158017,9.126668892299124
3,20,282,142.80644566412946,2.9132242033433937
3,21,282,143.9168471340397,0.2617888675888593
3,22,282,148.59197545849236,-4.386535986664101
3,23,282,139.4898090719737,-12.192075059196835
4,0,282,122.69297519414265,-13.72778717818356
4,1,282,141.06549118180493,-12.766149228257648
4,2,282,123.47325398816719,-14.31729977669764
4,3,282,134.35873491469837,-18.051495284652596
4,4,282,117.98928965328037,-15.01177496748034
4,5,282,121.14836028046342,-11.767917442161473
4,6,282,118.91732583732798,-9.51244208297865
4,7,282,148.3551799807112,-11.613004704517598
4,8,282,127.48254921297136,-13.808572765905227
4,9,282,133.3492310771561,-8.612604228465278
4,10,282,122.46333110799559,-6.1963435233754645
4,11,282,126.9532759486895,-3.166688958285615
4,12,282,132.4353674601945,-4.866059485331023
4,13,282,130.9898434850467,-9.085344513610025
4,14,282,134.35121120594565,-9.071682719926804
4,15,282,143.01195593583543,-10.902875309650627
4,16,282,132.69570784180542,-9.994391048251652
4,17,282,150.71747233300172,-18.578450309922015
4,18,282,148.13982483564678,-11.181805678350425
4,19,282,147.72295646708238,-13.896171968241383
4,20,282,157.2753430436274,-12.662678178997632
4,21,282,170.51270635159338,-16.401992190220703
4,22,282,158.53315456173198,-17.23133768744907
4,23,282,145.58385216570144,-11.556247371910446
5,0,288,130.76186770594435,2.646253017926349
5,1,288,115.39605918025148,0.3362768497087198
5,2,288,123.89838517996486,-2.9019839882725558
5,3,288,125.70960824281686,0.8813896073560178
5,4,288,119.23563499716867,-2.640246434144621
5,5,288,124.22851831105147,-5.0080160177297035
5,6,288,130.90482396609292,-4.26167354918725
5,7,288,125.90102269694373,-1.7351128774881284
5,8,288,122.98959169903189,-3.7428139869431902
5,9,288,113.7413933611262,2.149340611775773
5,10,288,111.76840228003374,9.274526554881227
5,11,288,124.85580559202339,-2.568025905447445
5,12,288,139.10911258151373,8.720039515660627
5,13,288,131.6377647283785,6.833448121480931
5,14,288,121.11857637884006,7.34280089457068
5,15,288,125.61406784062602,-0.9387641973113274
5,16,288,139.41455164916064,3.0053161618442457
5,17,288,132.77787369103868,-4.92116547504926
5,18,288,119.04732662711243,3.21704412380951
5,19,288,136.4918735538348,2.822453486456903
5,20,288,131.87546566459332,6.353738489456218
5,21,288,143.7575198378899,2.5279122228869033
5,22,288,139.05501593900973,-1.772739563874688
5,23,288,133.3247090652428,13.166957070929286
6,0,288,140.0122026552216,29.72927297032293
6,1,288,144.04029550886546,24.46081537482436
6,2,288,137.6469749013049,27.576291213706686
6,3,288,129.3203775847233,26.25853536909709
6,4,288,133.11060404462006,24.485383394550624
6,5,288,134.00261845715556,20.740775053366526
6,6,288,137.5841221064519,27.0200894788807
6,7,288,136.79005883111202,19.81777715798993
6,8,288,130.1213034049385,25.398346671760905
6,9,288,140.2517134201391,24.451917842307665
6,10,288,141.65700213660733,21.925537574201883
6,11,288,149.86645604949342,26.71348963713064
6,12,288,146.6236246643837,21.445248243287732
6,13,288,128.85682687714436,24.6494456127265
6,14,288,147.2594347901213,23.077781607868637
6,15,288,154.7725624498772,21.706546663365824
6,16,288,146.77775463575503,24.897102136484037
6,17,288,148.30721752750546,32.94588710763919
6,18,288,168.9334879265464,24.909299337539924
6,19,288,162.6105016615287,28.50390418134259
6,20,288,160.24404524502728,29.323188040907187
6,21,288,141.31939282834648,31.305878053048268
6,22,288,154.85703535735578,19.381330446540442
6,23,288,152.65098150027382,19.701670376623937
