comparison,month,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_emergency_kWh,delta_planned_kWh
F10_load_shape minus F00_original (pre-registered load comparison),2025-02,-3896.4743451548275,-4121.301317199133,224.82697204421584,47.341609211500554,-5458.398814272834
F10_load_shape minus F00_original (pre-registered load comparison),2025-03,687.3053584159352,3137.6221758546308,-2450.3168174385355,-334.41961656722196,4132.497336732224
F10_load_shape minus F00_original (pre-registered load comparison),2025-04,-1501.6070226293523,821.8842808005866,-2323.491303429888,-347.8882064875588,1439.50193670718
F10_load_shape minus F00_original (pre-registered load comparison),2025-05,811.9861139041604,-589.1566858872538,1401.1427997914361,238.88474112814583,-1249.6585038793273
F10_load_shape minus F00_original (pre-registered load comparison),2025-06,14856.221470367396,6551.101004052209,8305.120466315158,1255.2976408320046,8446.466955712065
F10_load_shape minus F00_original (pre-registered load comparison),2025-07,6121.052791056689,-2382.7836457076482,8503.836436764417,1527.7589191079978,-1759.9570751697756
F10_load_shape minus F00_original (pre-registered load comparison),2025-08,-1744.2376851541921,172.91881814529188,-1917.156503299433,-288.10947581286837,-845.1384319905192
F10_load_shape minus F00_original (pre-registered load comparison),2025-09,-2573.9288656718563,-3270.201175738126,696.2723100661678,111.69068244119899,-4493.719580290839
F10_load_shape minus F00_original (pre-registered load comparison),2025-10,1878.03960280912,4404.2896221545525,-2526.2500193453543,-386.15938197726973,5563.722366552101
F10_load_shape minus F00_original (pre-registered load comparison),2025-11,-91.32891524233855,-246.16995038324967,154.84103514117646,21.726798688508325,-2.842931338585913
F10_load_shape minus F00_original (pre-registered load comparison),2025-12,749.5768846292049,409.6042888255324,339.9725958038107,81.97907636511627,231.29168920079246
F01_pv_support minus F00_original (pre-registered PV comparison),2025-02,-465.7353824735619,-648.2614460499026,182.5260635762097,-2.9896807684317537,-829.420227332972
F01_pv_support minus F00_original (pre-registered PV comparison),2025-03,-2170.7834324862342,2107.2618937902153,-4278.045326276399,-567.6824739858257,2141.455075883772
F01_pv_support minus F00_original (pre-registered PV comparison),2025-04,2000.178620880586,5531.04523874179,-3530.86661786116,-515.9866638212798,9032.788160004653
F01_pv_support minus F00_original (pre-registered PV comparison),2025-05,-2415.5285624236567,-1819.1067494408926,-596.4218129826259,-101.8815484782508,-2885.3127961554565
F01_pv_support minus F00_original (pre-registered PV comparison),2025-06,772.0255133172031,2775.37129251007,-2003.345779192532,-272.85845256846005,2854.145489377901
F01_pv_support minus F00_original (pre-registered PV comparison),2025-07,-92.03946489235386,-4327.693546699593,4235.654081807341,707.8584462121999,-6088.4896715790965
F01_pv_support minus F00_original (pre-registered PV comparison),2025-08,-9621.932890739059,-139.77415149635635,-9482.158739242896,-1396.470929045944,-1475.0478027483914
F01_pv_support minus F00_original (pre-registered PV comparison),2025-09,347.6151833855547,-1616.3352882110048,1963.9504715964358,288.2283171130075,-1877.8620446475688
F01_pv_support minus F00_original (pre-registered PV comparison),2025-10,-1386.3542751215864,-158.74480891320854,-1227.609466208387,-280.3543428871226,-240.37462484603748
F01_pv_support minus F00_original (pre-registered PV comparison),2025-11,-1432.7077660679352,-1437.9883526549675,5.280586587138714,0.7569648204040504,-1998.999510558555
F01_pv_support minus F00_original (pre-registered PV comparison),2025-12,252.34158040955663,-542.3631185446866,794.7046989542869,128.60234022318764,-972.4005955113098
F11_joint minus F00_original (pre-registered joint comparison),2025-02,-4594.103823395679,-5024.030400558142,429.92657716238864,52.33929401555429,-6612.601638625609
F11_joint minus F00_original (pre-registered joint comparison),2025-03,-556.0998517125845,5465.303555672523,-6021.403407384805,-859.9284838554486,6656.538417878095
F11_joint minus F00_original (pre-registered joint comparison),2025-04,-260.26263486559037,6494.706726252451,-6754.9693611179755,-988.5600978606035,10747.02373056789
F11_joint minus F00_original (pre-registered joint comparison),2025-05,-1996.2028792602941,-3040.234351891326,1044.031472631039,177.30097846237186,-4763.265535052866
F11_joint minus F00_original (pre-registered joint comparison),2025-06,15597.719464177266,8819.344499725616,6778.374964451927,1063.2745021166575,10513.257309606764
