date,day_index,start_slot,end_slot,valid,duration_h,midpoint_h
2025-01-01,0,0,143,0,24.0,12.0
2025-01-02,1,0,143,0,24.0,12.0
2025-01-03,2,0,143,0,24.0,12.0
2025-01-04,3,0,143,0,24.0,12.0
2025-01-05,4,0,143,0,24.0,12.0
2025-01-06,5,0,143,0,24.0,12.0
2025-01-07,6,0,143,0,24.0,12.0
2025-01-08,7,36,106,1,11.833333333333332,11.916666666666666
2025-01-09,8,36,106,1,11.833333333333332,11.916666666666666
2025-01-10,9,36,106,1,11.833333333333332,11.916666666666666
2025-01-11,10,36,106,1,11.833333333333332,11.916666666666666
2025-01-12,11,36,106,1,11.833333333333332,11.916666666666666
2025-01-13,12,36,106,1,11.833333333333332,11.916666666666666
2025-01-14,13,36,106,1,11.833333333333332,11.916666666666666
2025-01-15,14,36,106,1,11.833333333333332,11.916666666666666
2025-01-16,15,36,106,1,11.833333333333332,11.916666666666666
2025-01-17,16,36,106,1,11.833333333333332,11.916666666666666
2025-01-18,17,36,106,1,11.833333333333332,11.916666666666666
2025-01-19,18,34,105,1,12.0,11.666666666666666
2025-01-20,19,34,108,1,12.5,11.916666666666666
2025-01-21,20,34,108,1,12.5,11.916666666666666
2025-01-22,21,34,108,1,12.5,11.916666666666666
2025-01-23,22,34,108,1,12.5,11.916666666666666
2025-01-24,23,34,108,1,12.5,11.916666666666666
2025-01-25,24,34,108,1,12.5,11.916666666666666
2025-01-26,25,34,108,1,12.5,11.916666666666666
2025-01-27,26,34,108,1,12.5,11.916666666666666
2025-01-28,27,34,108,1,12.5,11.916666666666666
2025-01-29,28,34,108,1,12.5,11.916666666666666
2025-01-30,29,34,108,1,12.5,11.916666666666666
2025-01-31,30,34,108,1,12.5,11.916666666666666
2025-02-01,31,34,108,1,12.5,11.916666666666666
2025-02-02,32,34,108,1,12.5,11.916666666666666
2025-02-03,33,34,108,1,12.5,11.916666666666666
2025-02-04,34,34,108,1,12.5,11.916666666666666
2025-02-05,35,34,108,1,12.5,11.916666666666666
2025-02-06,36,34,108,1,12.5,11.916666666666666
2025-02-07,37,34,108,1,12.5,11.916666666666666
2025-02-08,38,34,108,1,12.5,11.916666666666666
2025-02-09,39,33,109,1,12.833333333333332,11.916666666666666
2025-02-10,40,33,109,1,12.833333333333332,11.916666666666666
2025-02-11,41,33,109,1,12.833333333333332,11.916666666666666
2025-02-12,42,33,109,1,12.833333333333332,11.916666666666666
2025-02-13,43,33,109,1,12.833333333333332,11.916666666666666
2025-02-14,44,33,109,1,12.833333333333332,11.916666666666666
2025-02-15,45,33,109,1,12.833333333333332,11.916666666666666
2025-02-16,46,33,109,1,12.833333333333332,11.916666666666666
2025-02-17,47,33,109,1,12.833333333333332,11.916666666666666
2025-02-18,48,33,109,1,12.833333333333332,11.916666666666666
2025-02-19,49,33,109,1,12.833333333333332,11.916666666666666
2025-02-20,50,33,109,1,12.833333333333332,11.916666666666666
2025-02-21,51,33,109,1,12.833333333333332,11.916666666666666
2025-02-22,52,33,109,1,12.833333333333332,11.916666666666666
2025-02-23,53,33,109,1,12.833333333333332,11.916666666666666
2025-02-24,54,33,109,1,12.833333333333332,11.916666666666666
2025-02-25,55,33,109,1,12.833333333333332,11.916666666666666
2025-02-26,56,33,109,1,12.833333333333332,11.916666666666666
2025-02-27,57,31,111,1,13.5,11.916666666666666
2025-02-28,58,31,111,1,13.5,11.916666666666666
2025-03-01,59,31,111,1,13.5,11.916666666666666
2025-03-02,60,31,111,1,13.5,11.916666666666666
2025-03-03,61,31,111,1,13.5,11.916666666666666
2025-03-04,62,31,111,1,13.5,11.916666666666666
2025-03-05,63,31,111,1,13.5,11.916666666666666
2025-03-06,64,31,111,1,13.5,11.916666666666666
2025-03-07,65,31,111,1,13.5,11.916666666666666
2025-03-08,66,31,111,1,13.5,11.916666666666666
2025-03-09,67,31,111,1,13.5,11.916666666666666
2025-03-10,68,31,111,1,13.5,11.916666666666666
2025-03-11,69,31,111,1,13.5,11.916666666666666
2025-03-12,70,31,111,1,13.5,11.916666666666666
2025-03-13,71,31,111,1,13.5,11.916666666666666
2025-03-14,72,30,112,1,13.833333333333332,11.916666666666666
2025-03-15,73,30,112,1,13.833333333333332,11.916666666666666
2025-03-16,74,30,112,1,13.833333333333332,11.916666666666666
2025-03-17,75,30,112,1,13.833333333333332,11.916666666666666
2025-03-18,76,30,112,1,13.833333333333332,11.916666666666666
