date,interval,start_slot,end_slot,emergency_kWh,emergency_cost_yuan
2025-02-06,08:00-08:10,48,49,0.14588477559721014,0.852185916651103
2025-02-16,05:50-06:00,35,36,21.441929697843193,97.55005916033761
2025-02-18,05:50-06:00,35,36,10.168845958544352,46.26316468839754
2025-02-19,05:50-06:00,35,36,3.522693210066109,16.02649275919576
2025-02-19,06:20-06:30,38,39,37.99164949424471,166.38442896004472
2025-02-20,06:00-06:10,36,37,34.36262403731973,160.9545309908056
2025-02-23,06:00-06:10,36,37,2.2711885468203263,10.63824715330641
2025-02-24,06:00-06:20,36,38,45.39702512123927,204.6505719178847
2025-02-25,06:20-06:30,38,39,24.580113283031324,107.64860612303568
2025-02-27,09:50-10:20,59,62,132.9681225326857,655.7364385043026
2025-03-02,20:10-20:40,121,124,1874.641225029451,12789.123595030658
2025-03-02,20:50-21:00,125,126,23.031009137891125,107.46268863739999
2025-03-03,20:30-20:50,123,125,73.02951958758592,495.67538493025296
2025-03-03,21:00-21:30,126,129,41.37684290845088,192.99422023619542
2025-03-10,20:30-20:40,123,124,566.5556691602519,3952.2923480619174
2025-03-13,09:50-10:50,59,65,828.8596898421603,3988.0206634692836
2025-03-13,20:20-20:40,122,124,845.2997141977387,5868.108001514982
2025-03-16,05:50-06:00,35,36,1.6400000000001,7.461180000000455
2025-03-18,09:20-10:00,56,60,224.75019787838957,1087.1152620268563
2025-03-31,20:30-20:40,123,124,26.93044372385509,187.8667754176131
2025-04-02,08:40-10:20,52,62,1449.7464342280298,7196.259515824175
2025-04-08,09:10-09:40,55,58,65.02852035273033,317.5532582198951
2025-04-27,20:20-20:40,122,124,736.4434351348964,5131.282402875641
2025-04-28,19:50-20:40,119,124,3134.5241185403274,21282.66400552202
2025-04-28,20:50-21:00,125,126,32.5922221174706,152.07530840011782
2025-04-29,20:30-20:40,123,124,136.25421947230097,950.5094350387717
2025-05-01,20:20-21:30,122,129,1399.8408214751798,9185.593027302031
2025-05-02,20:20-21:50,122,131,1492.3087329068421,9271.034881143321
2025-05-03,20:30-21:50,123,131,1012.2318877707446,5663.689859147209
2025-05-04,20:30-21:50,123,131,1107.5883478223657,6976.163758712378
2025-05-05,20:20-20:40,122,124,1017.8724065155262,7038.5281122273
2025-05-05,21:00-21:30,126,129,106.26600210041677,492.48710835722
2025-05-06,20:30-21:50,123,131,846.6661972394032,5225.95885640876
2025-05-07,20:20-20:50,122,125,1030.081886599635,7123.606129904572
2025-05-07,21:10-21:50,127,131,84.53109422238542,383.3564105487872
2025-05-08,20:00-20:10,120,121,35.999250000000075,243.22893262500048
2025-05-11,19:20-19:30,116,117,27.561666666666724,185.80697583333372
2025-05-19,20:20-20:30,122,123,67.00333333333344,451.9039816666674
2025-05-22,20:20-20:30,122,123,2.57000000000005,17.333365000000338
2025-05-29,19:10-19:20,115,116,16.39062975252409,110.18600851134322
2025-06-01,10:00-11:00,60,66,714.3401849469694,2911.1155625944957
2025-06-01,18:50-20:40,113,124,8591.407530757382,58118.503527273846
2025-06-01,21:00-21:50,126,131,254.7085413626182,1163.3680266793692
2025-06-02,08:50-09:30,53,57,386.9353840497699,1940.1170140778077
2025-06-02,19:10-21:30,115,129,6386.976461275236,42695.86914802352
2025-06-03,09:00-10:20,54,62,1037.0223999893728,5065.4754112377495
2025-06-03,18:50-20:40,113,124,3597.200261751869,24449.289795564306
2025-06-03,20:50-21:50,125,131,328.8384750292853,1482.9030400780375
2025-06-04,18:50-19:20,113,116,119.0523166666668,802.7569449416676
2025-06-04,19:30-21:40,117,130,2214.224838696202,14502.91292707281
2025-06-05,18:50-19:10,113,115,164.295907342757,1108.4985249980516
2025-06-05,19:30-20:10,117,121,169.0609356849602,1140.8828173903028
2025-06-05,20:20-21:00,122,126,1118.6794877875263,7670.066007150914
2025-06-05,21:20-21:50,128,131,131.62524610069175,575.7258627994087
2025-06-06,06:50-07:40,41,46,277.86148053305914,1099.5457214395906
2025-06-06,19:50-20:40,119,124,3106.292731678084,21067.936386208632
2025-06-06,21:00-21:20,126,128,165.9965430009603,765.6756983482578
2025-06-06,21:30-21:50,129,131,73.65490209342518,308.5820648788877
2025-06-07,20:20-20:50,122,125,962.1109986596987,6635.520041933659
2025-06-07,21:30-21:50,129,131,81.60592780671857,336.7941309971471
2025-06-17,19:20-19:30,116,117,4.690657120548622,31.622064978178535
2025-06-19,19:20-19:30,116,117,8.560390824605406,57.709874744077354
2025-06-24,09:50-10:50,59,65,1125.1380033251085,5388.897730931998
2025-06-30,18:50-19:00,113,114,25.57236907394656,172.17876097488218
2025-07-01,18:50-20:10,113,121,462.59604817819866,3118.9698099299835
2025-07-01,20:20-20:40,122,124,507.2941873059478,3522.031641319966
2025-07-01,20:50-21:50,125,131,317.26640367106575,1413.8928749501847
2025-07-02,18:50-20:10,113,121,688.0514129742833,4638.6640453728205
2025-07-02,20:20-21:40,122,130,1212.3924515555946,7777.7022413937275
2025-07-03,08:20-10:30,50,63,2019.9742663483926,10261.969329515188
2025-07-03,18:50-21:50,113,131,3877.948234061226,25407.212543160127
2025-07-04,05:10-07:20,31,44,2388.313146314623,9338.43840634259
2025-07-04,20:20-21:20,122,128,1702.8259307641056,10919.210769927977
2025-07-04,21:30-21:50,129,131,158.10914181537652,665.0662185124679
2025-07-05,05:10-07:30,31,45,2470.5430044808772,9661.399926124051
2025-07-05,20:00-20:50,120,125,2395.797554879844,16260.646364550064
2025-07-05,21:00-21:50,126,131,332.94480589938576,1521.3928367746964
2025-07-06,08:30-09:40,51,58,1027.30122242417,5229.72797692689
2025-07-06,09:50-10:10,59,61,195.78462166666665,973.8856397674999
2025-07-06,18:50-21:50,113,131,5954.34702242223,40024.188389641786
2025-07-07,19:00-19:20,114,116,143.4101567476689,967.2498615552718
2025-07-07,19:30-20:10,117,121,226.95519343744388,1530.2017697847605
2025-07-07,20:20-21:50,122,131,718.830004187599,4321.083290172723
2025-07-08,18:50-19:00,113,114,10.391527953242075,69.9661577091789
2025-07-13,19:10-19:20,115,116,10.96792921343149,73.73190413729318
2025-08-03,19:30-20:10,117,121,119.73457655228367,807.3068091783684
2025-08-04,18:50-19:00,113,114,17.041818095784492,114.74256123891699
2025-08-04,20:00-20:10,120,121,3.1374275917187333,21.198029523447623
2025-08-05,19:40-19:50,118,119,15.470091557249702,104.21427177541261
2025-08-06,20:30-20:40,123,124,535.3477876543493,3734.5861666767405
2025-08-07,20:00-20:10,120,121,8.841975186597438,59.74080534824559
2025-08-10,20:20-20:30,122,123,10.298637250621368,69.45915893681581
2025-08-11,19:00-19:40,114,118,112.64229908724008,759.0623824730299
2025-08-11,20:00-20:10,120,121,2.005646854291399,13.551152971019837
2025-08-12,19:10-19:40,115,118,117.37643290662004,790.5893319936241
2025-08-12,19:50-20:00,119,120,2.1802995308200934,14.697399137258252
