month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1988654.7411226553,312.8500766573919,167149.20478932429,579175.4897461627,471236.7754028407,110277.19068604303,1210383.7705504966,1466.7047261739617,1211850.4752766707,13,10
2025-03,1857127.0438751506,4506.114311465775,221289.3597070917,600232.6136320248,486206.4816191667,114046.20376533215,1105846.8565411707,28676.120119325158,1134522.976660496,24,10
2025-04,1592398.863137916,5554.588949845756,274978.8463130482,554797.568210292,449552.56143557857,105430.04142498241,926313.1472406274,35030.34392588062,961343.491166508,22,6
2025-05,1609354.4254958634,8246.912256405023,327185.37780106557,539422.3851544161,435816.8901698799,102366.33742320607,958643.1783910677,52368.87740738792,1011012.0557984555,57,14
2025-06,2113024.8511764244,31045.851975557463,289595.4398707458,549875.9230942855,445393.8259963827,104475.79519791553,1318655.0829081612,199491.9470853176,1518147.0299934787,122,24
2025-07,2352338.533391203,26822.044266301375,326220.02564681397,570612.6424265684,462491.3499325451,108449.19201293966,1485305.827112997,157696.63199756923,1643002.4591105662,152,21
2025-08,2013765.3676185226,3414.427217411993,326055.4459388801,563942.1794439354,456930.6948135475,107164.29514589884,1260652.076271498,22619.67495817396,1283271.751229672,61,34
2025-09,1813219.546974813,2904.553238058485,322260.63068081444,556813.991622494,451334.38934043667,105829.66464452016,1124480.711689201,19348.13469710114,1143828.8463863023,21,15
2025-10,1862368.0543440508,969.8329474397565,275172.19494099566,594718.906469563,481686.80515240127,112992.6467750009,1129903.7920688735,6149.770816494814,1136053.5628853682,14,9
2025-11,2055545.7258726556,672.4525587165398,149979.2274151782,623750.5013610749,505483.95832821407,118539.93439479797,1261559.7949422996,3497.2867187241195,1265057.0816610237,12,8
2025-12,2677066.4814927327,15718.196858851752,196407.65257042175,696894.9000711396,564554.8105233101,132417.80228748178,1675153.3782542506,80207.72701059566,1755361.1052648465,74,20
