strategy_id,month,delta_cost_yuan
C2_pv_original,2025-02,0.0
C2_pv_original,2025-03,0.0
C2_pv_original,2025-04,0.0
C2_pv_original,2025-05,0.0
C2_pv_original,2025-06,0.0
C2_pv_original,2025-07,0.0
C2_pv_original,2025-08,0.0
C2_pv_original,2025-09,0.0
C2_pv_original,2025-10,0.0
C2_pv_original,2025-11,0.0
C2_pv_original,2025-12,0.0
C3_joint_original,2025-02,0.0
C3_joint_original,2025-03,0.0
C3_joint_original,2025-04,0.0
C3_joint_original,2025-05,0.0
C3_joint_original,2025-06,0.0
C3_joint_original,2025-07,0.0
C3_joint_original,2025-08,0.0
C3_joint_original,2025-09,0.0
C3_joint_original,2025-10,0.0
C3_joint_original,2025-11,0.0
C3_joint_original,2025-12,0.0
G2_pv_gate,2025-02,135.21148422802798
G2_pv_gate,2025-03,580.7827069847845
G2_pv_gate,2025-04,-120.09221568866633
G2_pv_gate,2025-05,503.56386651215144
G2_pv_gate,2025-06,11.77773148054257
G2_pv_gate,2025-07,-1740.3810553282965
G2_pv_gate,2025-08,221.02627195813693
G2_pv_gate,2025-09,50.09282890893519
G2_pv_gate,2025-10,-132.43055229331367
G2_pv_gate,2025-11,52.86064062779769
G2_pv_gate,2025-12,28.218102884711698
G3_joint_gate,2025-02,112.96761632454582
G3_joint_gate,2025-03,8.98880235129036
G3_joint_gate,2025-04,697.8880457489286
G3_joint_gate,2025-05,402.6220307792537
G3_joint_gate,2025-06,344.4223828557879
G3_joint_gate,2025-07,88.12140241102315
G3_joint_gate,2025-08,371.63997108256444
G3_joint_gate,2025-09,19.436487783445045
G3_joint_gate,2025-10,-59.70088190259412
G3_joint_gate,2025-11,88.39861768693663
G3_joint_gate,2025-12,-46.92708519427106
