month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1947372.6080536202,3820.907512519204,127051.86981790187,592413.1335114391,482151.15982986806,112813.6644433515,1178261.5596924447,22091.85790427266,1200353.4175967174,65,31
2025-03,1807755.2322826104,8671.009511719561,173607.11062905632,612669.9062024709,496168.4415038638,116396.81745400975,1073144.9628165562,54235.03011256671,1127379.9929291229,57,22
2025-04,1557322.782165613,10556.884525908234,244429.6831542999,557048.9318383853,451328.54730116384,105852.50955063454,903982.7436518439,68492.8448701543,972475.5885219981,36,9
2025-05,1567016.834368078,7828.151930917635,282835.5295989796,549119.42412339,443920.4323900405,104236.43490012131,924640.8163422708,49471.731997068295,974112.5483393392,55,21
2025-06,2046590.3711348223,20194.487599605938,209042.5287018932,568209.3580162807,460460.194167079,107983.17959797021,1266107.9997897136,126815.4439273912,1392923.4437171048,114,40
2025-07,2247242.4434997523,12499.427844866716,200165.5711850308,603538.2949107555,488781.2542678339,114662.85774305712,1402741.5854290288,78279.47027098754,1481021.0557000164,109,39
2025-08,1957490.215473503,8492.912359998234,274389.7753469145,567596.3940860813,460115.9058661611,107883.62894929273,1223911.4890432933,56218.87020261868,1280130.359245912,92,48
2025-09,1727808.0335860087,11494.849290143573,242410.67206585032,574269.5686408095,465761.22508050746,109178.20409524847,1061130.36510793,75271.63516653568,1136402.0002744657,70,32
2025-10,1799659.7595898719,6153.002512968036,214173.96618252256,612293.8566918317,495788.6518048475,116317.0136474996,1079434.1802315495,39994.2947175552,1119428.4749491047,56,22
2025-11,2025165.2091749324,1111.7777468596676,118276.40363503993,631146.2510413415,511118.0757379224,119905.52240834777,1239573.9376659764,6450.766390677192,1246024.7040566534,23,15
2025-12,2608625.753179857,10658.0323847751,118794.3799404862,719219.1612818011,582766.6918909884,136673.77078273438,1626835.8024641445,55442.01971716211,1682277.8221813065,49,19
