predictor,month,n,mae_kW,bias_kW
P0,2025-02,28,112.32169167987685,22.21427334034014
P0,2025-03,31,151.81021515661854,8.592036490816009
P0,2025-04,30,177.42013059643585,-9.000461067873678
P0,2025-05,31,184.49240605545327,-35.301486423355996
P0,2025-06,30,215.29308973036535,-34.11550778322773
P0,2025-07,31,184.67255616232325,40.72197561118228
P0,2025-08,31,193.80207419340928,8.577939295120213
P0,2025-09,30,150.99833577013052,-31.590472529392024
P0,2025-10,31,134.22007330109204,-3.811900402640565
P0,2025-11,30,90.79780190626825,-10.804782180564072
P0,2025-12,31,77.27917781841779,17.387229872567698
P1,2025-02,28,112.13281452275353,7.688845125399133
P1,2025-03,31,153.35238215305674,4.61041139579
P1,2025-04,30,180.18048990709428,1.543799994373809
P1,2025-05,31,185.2504298270977,-19.916155186187293
P1,2025-06,30,210.0647048474275,-5.451261447298983
P1,2025-07,31,184.49343403423083,40.41032971556819
P1,2025-08,31,191.90102019256096,-4.6160586749405965
P1,2025-09,30,147.42111370767242,-18.6979776036531
P1,2025-10,31,134.79835294419587,4.337868104653333
P1,2025-11,30,90.1352580044102,-7.264941864673718
P1,2025-12,31,77.18223504479263,18.34851109196603
