month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1945853.7944008126,7001.266710499995,120072.02609609054,616632.7410222221,497729.37807366665,1176372.8439035043,41401.50334610164,1217774.3472496062,80,40,-15208.226043323055
2025-03,1819144.7726327942,17204.959190911497,186780.1760367474,648401.8290559213,525149.9397356296,1078281.0869883953,105966.58240672646,1184247.6693951217,90,32,-60022.509143540636
2025-04,1565960.9925381336,14254.603817012869,248431.93298456792,600284.5493188354,486230.48494825664,908542.0371658563,91846.52176069393,1000388.5589265502,69,27,-66640.14093163516
2025-05,1564298.473231578,18658.011068499978,284492.3152006173,587651.0743831275,475997.37025033333,921057.5791542925,120718.14513651603,1041775.7242908085,84,18,-117218.40518356452
2025-06,2032244.9196028856,39618.66584799997,208125.5608759488,598657.1494294924,484912.29103788885,1247229.6589298379,245269.32612421803,1492498.9850540557,189,35,-193594.93270276184
2025-07,2243887.0634538964,55066.371954840295,238412.05048995645,609063.8179058628,493341.6925037489,1394178.1394966438,323256.71475450904,1717434.8542511528,238,37,-139098.18162361486
2025-08,1968372.049596504,12847.511915347712,279449.7417092634,619247.1343995885,501590.1788636666,1228096.2449235008,85277.6431248564,1313373.888048357,115,48,-68531.91880415869
2025-09,1772633.20668272,20679.57117973864,293326.53280353395,592580.0210566224,480977.64324769756,1086319.3629145122,129928.97432996857,1216248.3372444806,129,52,-51326.4120205252
2025-10,1826863.5618091947,7786.3312328518205,235840.8006216583,645724.6062906416,522049.1049035864,1096744.8358263238,48690.30218082451,1145435.1380071482,78,38,-78828.22529785545
2025-11,2017708.509364753,4851.254702499968,107215.89880349796,670376.0909495885,543004.6336691667,1230682.610739612,28670.614896602216,1259353.2256362145,56,28,-98369.63258677372
2025-12,2592283.8429958844,29752.680202751028,121790.47417962969,717477.0731561728,581267.9603705,1612202.5261538464,163595.0590106646,1775797.585164511,136,39,-125201.51301677199
