strategy_id,date,issue_time,slot,start_time,end_time,price_yuan_kWh,load_kW,pv_kW,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,residual_adjustment_kWh,protected_net_kWh,theta,theta_preset,residual_days,fallback_reason,planned_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,nominal_state_end_kWh,planned_cost_yuan,emergency_cost_yuan
B_fixed_q90,2025-02-01,2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:10:00,0.4248,2532.1822,0.0,2725.9526,0.0,454.3254333333333,33.095600000000104,487.4210333333334,0.90,0.90,28,,1041.3518407407314,619.3214740740648,0.0,0.0,0.0,8801.462273333342,9358.8516,9300.0,442.3662619466627,0.0
B_fixed_q90,2025-02-01,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,0.4245,2492.4439,0.0,2680.0361,0.0,446.6726833333333,50.94676666666669,497.61945,0.90,0.90,28,,1330.9527833333332,833.3333333333333,0.0,0.0,82.21213333333321,9358.8516,10108.8516,10050.0,564.9894565249999,0.0
B_fixed_q90,2025-02-01,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,0.4269,2464.3,0.0,2659.84,0.0,443.3066666666667,40.86833333333334,484.175,0.90,0.90,28,,484.175,73.45833333333331,0.0,0.0,0.0,10108.8516,10174.9641,10050.0,206.6943075,0.0
B_fixed_q90,2025-02-01,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,0.4272,2581.7688,0.0,2861.9215,0.0,476.9869166666666,42.4796833333333,519.4666,0.90,0.90,28,,519.4666,89.17180000000002,0.0,0.0,0.0,10174.9641,10255.218719999999,10050.0,221.91613152,0.0
B_fixed_q90,2025-02-01,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,0.4271,2546.4635,0.0,2905.6089,0.0,484.26815,45.3493666666667,529.6175166666667,0.90,0.90,28,,529.6175166666667,105.20693333333338,0.0,0.0,0.0,10255.218719999999,10349.90496,10050.0,226.19964136833335,0.0
B_fixed_q90,2025-02-01,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,0.4285,2436.31,0.0,2809.25,0.0,468.2083333333333,62.049999999999955,530.2583333333332,0.90,0.90,28,,530.2583333333332,124.20666666666659,0.0,0.0,0.0,10349.90496,10461.69096,10050.0,227.21569583333329,0.0
B_fixed_q90,2025-02-01,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,0.4311,2620.5011,0.0,2942.6338,0.0,490.43896666666666,37.26134999999999,527.7003166666666,0.90,0.90,28,,527.7003166666666,90.95013333333327,0.0,0.0,0.0,10461.69096,10543.54608,10050.0,227.49160651499997,0.0
B_fixed_q90,2025-02-01,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,0.4302,2710.7861,0.0,2923.2679,0.0,487.2113166666666,52.30199999999991,539.5133166666665,0.90,0.90,28,,539.5133166666665,87.71563333333319,0.0,0.0,0.0,10543.54608,10622.49015,10050.0,232.09862882999994,0.0
B_fixed_q90,2025-02-01,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,0.4279,2676.48,0.0,2787.63,0.0,464.605,50.13666666666677,514.7416666666668,0.90,0.90,28,,514.7416666666668,68.6616666666668,0.0,0.0,0.0,10622.49015,10684.28565,10050.0,220.25795916666672,0.0
B_fixed_q90,2025-02-01,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,0.4312,2830.598,0.0,2965.6344,0.0,494.27239999999995,44.104016666666666,538.3764166666666,0.90,0.90,28,,538.3764166666666,66.61008333333331,0.0,0.0,0.0,10684.28565,10744.234725,10050.0,232.14791086666665,0.0
