strategy_id,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,theta,theta_preset,residual_days,fallback_reason,solver_seconds,mip_gap,milp_fallback
S_adaptive_W14,2025-02-01,8801.462273333342,9961.223528703711,49135.479789506164,0.0,10033.908083127573,19366.3718063786,14642.976033333334,25477.469988709257,0.0,25477.469988709257,0,0,0.80,adaptive,14,,0.05766529985703528,0.0,False
S_adaptive_W14,2025-02-02,9961.223528703711,10800.0,94852.71265679011,0.0,11578.021418518527,21913.234021604927,16994.820733333334,60299.41984195066,0.0,60299.41984195066,0,0,0.80,adaptive,14,,0.03716220008209348,0.0,False
S_adaptive_W14,2025-02-03,10800.0,10800.0,92271.97573127571,0.0,7907.107911316877,21831.32273662551,17683.37141666667,58316.39530620795,0.0,58316.39530620795,0,0,0.80,adaptive,14,,0.03778019989840686,1.2476693005421201e-16,False
S_adaptive_W14,2025-02-04,10800.0,10800.0,94009.73554609052,0.0,8444.335647530863,23002.820781893002,18632.28483333333,59365.54642584629,0.0,59365.54642584629,0,0,0.80,adaptive,14,,0.021249400218948722,0.0,False
S_adaptive_W14,2025-02-05,10800.0,10800.0,95141.5708255144,0.0,10196.2119218107,22089.115370370375,17892.18345,60486.38399575255,0.0,60486.38399575255,0,0,0.80,adaptive,14,,0.04631249979138374,0.0,False
S_adaptive_W14,2025-02-06,10800.0,10800.0,90657.4204382716,10.685249999999996,6113.122255967081,22546.980082304523,18263.053866666665,57230.05395155221,62.27809162499998,57292.33204317721,2,1,0.65,adaptive,14,,0.018675199942663312,0.0,False
S_adaptive_W14,2025-02-07,10800.0,10800.0,42625.062393209875,0.0,7042.606950411526,19877.767242798353,16100.991466666665,21942.42229367957,0.0,21942.42229367957,0,0,0.65,adaptive,14,,0.04187040007673204,0.0,False
S_adaptive_W14,2025-02-08,10800.0,10800.0,37972.57651666667,125.39190550000109,2603.553508847735,20617.1168244856,16699.864627833333,19563.02656067167,766.5207183215065,20329.547278993177,1,1,0.65,adaptive,14,,0.04662100016139448,1.859619622663748e-16,False
S_adaptive_W14,2025-02-09,10800.0,10736.997944999997,83160.29880211318,1299.5488936666632,378.3448506172857,24119.94067366255,19593.853795166666,51883.40610361625,7552.546043152983,59435.95214676924,9,5,0.65,adaptive,14,,0.037439600098878145,0.0,False
S_adaptive_W14,2025-02-10,10736.997944999997,10614.251557777772,86003.8544393004,0.0,7700.237056790123,21512.902882510287,17535.92308333333,53785.84825686073,0.0,53785.84825686073,0,0,0.65,adaptive,14,,0.03632859978824854,0.0,False
S_adaptive_W14,2025-02-11,10614.251557777772,10571.351257777773,79541.54387818929,674.1787211666655,483.41795411522344,23949.040957407407,19437.333445500004,49242.882484145266,3475.2850399828267,52718.16752412809,12,4,0.65,adaptive,14,,0.0263801000546664,0.0,False
S_adaptive_W14,2025-02-12,10571.351257777773,10527.545767777772,80669.72871099999,562.1690608333352,1582.6430337448485,23273.387082921818,18890.868478166667,50045.844546822605,3651.156556123345,53697.00110294595,8,1,0.65,adaptive,14,,0.023881299886852503,0.0,False
S_adaptive_W14,2025-02-13,10527.545767777772,10541.381804259254,81594.93490720165,45.86812950000062,6272.396262139924,21191.97539506172,17153.047637166666,50913.33914928681,275.8966217470057,51189.23577103382,2,2,0.65,adaptive,14,,0.03003200003877282,1.4290867061084025e-16,False
S_adaptive_W14,2025-02-14,10541.381804259254,10535.568194259253,35631.82517534362,461.55140349999414,2233.7926333333335,21384.286199176946,17326.50407033333,18409.352680103846,2725.197419875798,21134.550099979642,4,2,0.65,adaptive,14,,0.035005500074476004,0.0,False
S_adaptive_W14,2025-02-15,10535.568194259253,10367.747654259252,35774.39099101029,236.30901666666313,2852.5711283950704,21205.66455411521,17327.626774833327,18465.58246932288,1125.800324008313,19591.38279333119,7,1,base,adaptive,14,,0.06295749987475574,0.0,False
S_adaptive_W14,2025-02-16,10367.747654259252,10274.194004259252,79206.17255864196,860.9788184999991,269.4050333333338,23708.239625308637,19287.872381499998,48775.779532812696,4730.4469047749935,53506.22643758769,9,5,base,adaptive,14,,0.024291699985042214,0.0,False
S_adaptive_W14,2025-02-17,10274.194004259252,10296.787364259253,81353.83923333333,52.47769999999696,6282.961240946507,20627.15000905349,16687.657483333336,50267.22003391775,364.38709323331176,50631.60712715106,3,2,0.65,adaptive,14,,0.025776399997994304,0.0,False
S_adaptive_W14,2025-02-18,10296.787364259253,10384.00624277777,77248.38657160493,162.9531748333336,782.5549499999996,23467.894854938266,18930.497841833327,47468.8054727251,1053.7588709706686,48522.56434369577,2,2,0.65,adaptive,14,,0.0233236001804471,0.0,False
S_adaptive_W14,2025-02-19,10384.00624277777,10190.459188888883,78174.7805965,462.7739271666737,1392.1908666666654,23895.940116666665,19529.903842999993,48175.93417969125,2468.906981503542,50644.84116119479,10,5,0.65,adaptive,14,,0.025219199946150184,0.0,False
S_adaptive_W14,2025-02-20,10190.459188888883,10210.47057981481,78674.093973,38.96673333333331,3591.6467261316916,21632.999973868307,17504.719727,48800.93779867889,182.5201789333332,48983.45797761222,1,1,0.65,adaptive,14,,0.02429959992878139,0.0,False
S_adaptive_W14,2025-02-21,10210.47057981481,10508.86857333333,35796.085822405345,0.0,6043.069565637863,20653.66331193415,16460.909088499993,18463.753317629373,0.0,18463.753317629373,0,0,0.65,adaptive,14,,0.061008699936792254,0.0,False
S_adaptive_W14,2025-02-22,10508.86857333333,10800.0,37058.1222377037,0.0,5104.958321193414,20244.119732510284,16135.718699333327,19270.066114573976,0.0,19270.066114573976,0,0,0.80,adaptive,14,,0.06908680009655654,1.8878911911673743e-16,False
S_adaptive_W14,2025-02-23,10800.0,10800.0,80631.19118333331,6.708766666666747,5037.906358436214,21411.262674897112,17343.122766666667,50009.460934313334,31.423863066667042,50040.88479738,1,1,0.65,adaptive,14,,0.016364899929612875,0.0,False
S_adaptive_W14,2025-02-24,10800.0,10800.0,78142.41955432098,171.6679209999986,6113.802892798356,21038.1629781893,17040.912012333334,47922.20279526746,994.1159487293241,48916.31874399679,5,2,0.65,adaptive,14,,0.024540300015360117,0.0,False
S_adaptive_W14,2025-02-25,10800.0,10800.0,75805.69523065843,31.095000000000027,5900.747248148143,21656.41973251029,17541.699983333332,46480.18992499775,136.18055250000012,46616.37047749775,1,1,0.65,adaptive,14,,0.024438199819996953,0.0,False
S_adaptive_W14,2025-02-26,10800.0,10800.0,72988.10657366255,992.6652250000063,1121.2859051440341,21287.567685185182,17242.929824999992,44766.36037670378,6860.542515029209,51626.902891732985,2,1,0.65,adaptive,14,,0.02858040016144514,0.0,False
S_adaptive_W14,2025-02-27,10800.0,10800.0,75892.56437366255,1005.3789281666673,5674.515452674905,22457.071837654312,18190.2281885,46468.85275117168,4877.973860543169,51346.82661171485,7,1,0.65,adaptive,14,,0.0261351999361068,0.0,False
