date,interval,start_slot,end_slot,emergency_kWh,emergency_cost_yuan
2025-02-06,07:50-08:10,47,49,22.064416666666602,128.37398120833296
2025-02-08,20:40-20:50,124,125,41.647005000001,254.5881415650061
2025-02-09,06:00-06:10,36,37,0.3636500000000069,1.7033366000000325
2025-02-09,10:30-10:50,63,65,292.43785333333796,1229.1177832316896
2025-02-09,20:20-20:40,122,124,858.5520898333338,5951.899258972586
2025-02-09,20:50-21:00,125,126,21.233787499999995,99.07685247499998
2025-02-09,21:20-21:40,128,130,19.319839166666746,94.43288558208371
2025-02-11,06:00-06:10,36,37,4.084666666666749,19.13257866666705
2025-02-11,10:00-10:40,60,64,360.46930850000143,1744.6159731890905
2025-02-11,20:30-20:40,123,124,93.10595883333258,649.5071688213282
2025-02-11,20:50-21:00,125,126,7.888328000000206,36.806938448000956
2025-02-11,21:10-21:40,127,130,67.45350183333358,320.75647034008455
2025-02-12,20:30-20:50,123,125,267.71223433333176,1854.1840898593225
2025-02-12,21:20-21:50,128,131,50.36917066666717,231.03463750866905
2025-02-13,20:30-20:40,123,124,10.266699999999787,71.6204991999985
2025-02-13,20:50-21:00,125,126,24.443666333333226,114.05414711133284
2025-02-14,20:40-20:50,124,125,194.56589599999688,1189.3813222479807
2025-02-15,20:40-21:50,124,131,236.30901666666057,1125.8003240083033
2025-02-16,05:50-06:00,35,36,27.144999999999982,123.49617749999993
2025-02-16,06:20-06:30,38,39,1.3216666666666015,5.788239166666381
2025-02-16,10:30-10:50,63,65,86.30750249999727,359.4014145487365
2025-02-16,20:30-20:40,123,124,106.46282900000062,742.6846951040044
2025-02-17,06:00-06:10,36,37,0.32590000000004693,1.5265156000002198
2025-02-17,20:30-20:40,123,124,75.24471666666636,524.9071434666646
2025-02-18,05:50-06:00,35,36,32.97666666666669,150.02734500000008
2025-02-19,05:50-06:00,35,36,23.648333333333312,107.58809249999992
2025-02-19,06:20-06:30,38,39,39.187916666666524,171.62348104166603
2025-02-19,09:50-10:40,59,64,253.17480566666558,1235.8454207598281
2025-02-19,20:30-20:40,123,124,157.56121700000324,1099.1470497920225
2025-02-19,21:00-21:20,126,128,23.93777999999993,110.20098789499968
2025-02-20,06:00-06:10,36,37,38.96673333333331,182.5201789333332
2025-02-20,21:00-21:20,126,128,5.966116000004558,27.801486744020664
2025-02-23,06:00-06:10,36,37,7.034666666666908,32.950378666667795
2025-02-24,06:00-06:20,36,38,50.38041666666663,227.99277791666645
2025-02-24,20:30-21:00,123,126,246.8278989999975,1619.4811072739822
2025-02-25,05:50-06:00,35,36,9.126666666666665,41.52176999999999
2025-02-25,06:20-06:30,38,39,31.095000000000027,136.18055250000012
2025-02-26,20:20-20:40,122,124,1389.3228138333338,9535.799622915587
2025-02-27,09:00-10:20,54,62,1214.3230408333332,5917.859034951251
2025-02-27,20:30-20:50,123,125,8.591282833333139,54.21112781199877
2025-03-02,20:20-21:00,122,126,1345.0560141666656,9141.49571893041
2025-03-02,21:20-21:40,128,130,35.75832849999961,171.9649231867481
2025-03-03,20:50-21:30,125,129,87.60035949999849,407.258356576993
2025-03-05,20:30-20:50,123,125,14.006916666665461,94.92944963332484
2025-03-06,20:30-21:10,123,127,288.20759799999905,1942.7030617479934
2025-03-08,07:20-08:00,44,48,243.57515800000556,932.2696286010212
2025-03-10,20:20-20:40,122,124,888.7004463333321,6162.755111453493
2025-03-13,09:40-10:50,58,65,951.3361959999996,4575.268379653665
2025-03-13,20:20-20:40,122,124,1234.4598048333332,8492.798232806748
2025-03-16,05:50-06:00,35,36,1.6400000000001,7.461180000000455
2025-03-18,08:40-10:00,52,60,1345.1310833333296,6823.0393427749805
2025-03-20,20:30-20:40,123,124,31.974076333331027,223.05115650131725
2025-03-23,20:30-20:40,123,124,36.09115000000054,251.77186240000378
2025-03-24,20:30-20:40,123,124,224.54725592592564,1566.4416573392573
2025-03-25,10:20-10:40,62,64,56.13639133333211,270.75510675432747
2025-04-02,08:40-10:20,52,62,1454.7520931666647,7222.364027189156
2025-04-03,20:30-20:40,123,124,181.2962160000011,1264.7224028160076
2025-04-08,09:00-09:40,54,58,104.15124999999671,513.4415774999832
2025-04-09,20:30-20:50,123,125,86.01180550000163,595.0227789846779
2025-04-14,20:40-20:50,124,125,2.8249833333319874,17.269123116658438
2025-04-28,20:10-21:00,121,126,1514.6789553333263,10306.339632933286
2025-05-01,20:10-21:30,121,129,2009.5104166666686,13243.398767633345
2025-05-02,20:20-21:50,122,131,1492.4030403333313,9089.146448086485
2025-05-03,20:30-21:50,123,131,1098.0690333333323,6133.612162383328
2025-05-04,20:20-21:50,122,131,1324.453733333328,8339.373279091633
2025-05-05,20:20-21:30,122,129,1489.8282791666638,9920.816036639564
2025-05-06,20:30-21:50,123,131,1139.4208499999972,7135.506246324981
2025-05-07,20:10-20:50,121,125,1914.2057426419715,13070.090119401208
2025-05-07,21:10-21:50,127,131,154.2286666666664,701.0553536749989
2025-05-08,20:00-20:10,120,121,35.999250000000075,243.22893262500048
2025-05-11,19:10-19:30,115,117,28.704700000000003,193.4910174166667
2025-05-17,20:30-20:50,123,125,291.8204484999997,1966.25743451933
2025-05-18,20:20-20:30,122,123,5.236666666666679,35.318698333333415
2025-05-19,20:20-20:30,122,123,67.00333333333344,451.9039816666674
2025-05-20,19:50-20:50,119,125,2997.0497991666653,20371.26141695749
2025-05-22,20:20-20:40,122,124,81.49664016666645,567.9256068026652
2025-05-23,06:50-07:00,41,42,50.90734766666577,212.13091772699627
2025-05-25,20:30-21:00,123,126,338.2321933333319,2121.5233530433234
2025-05-26,19:50-20:40,119,124,3144.5074421666645,21373.327680195485
2025-05-29,19:10-19:20,115,116,17.817433333333383,119.77769558333367
2025-06-01,09:50-10:50,59,65,683.0380291666654,3220.296583664577
2025-06-01,18:50-21:50,113,131,6947.967499333331,46346.782385605664
2025-06-02,19:00-21:30,114,129,3071.495333333337,20267.732143216686
2025-06-02,21:40-21:50,130,131,3.9574683333330767,15.362892069999003
2025-06-03,18:50-20:00,113,120,282.8709666666664,1906.8673943666647
2025-06-03,20:20-21:50,122,131,1181.035144666667,7298.094284061336
2025-06-04,18:50-19:20,113,116,96.10231666666698,648.2345949416688
2025-06-04,19:40-20:00,118,120,12.863966666666556,86.67452894999926
2025-06-04,20:20-20:50,122,125,288.3166164999991,1966.7442915039937
2025-06-04,21:10-21:40,127,130,136.67016666666674,648.1320450833337
2025-06-05,18:50-19:10,113,115,141.10163333333333,951.6704412833333
2025-06-05,19:50-20:10,119,121,73.86631666666665,498.93173272499985
2025-06-05,20:30-20:50,123,125,93.21163333333129,603.5046337166543
2025-06-06,20:00-20:40,120,124,2148.4826000000016,14605.47926945001
2025-06-06,21:10-21:20,127,128,26.939074000000005,126.22303122700004
2025-06-06,21:40-21:50,130,131,8.723599999999966,33.86501519999987
2025-06-07,20:30-20:40,123,124,327.8701561666698,2287.222209418688
2025-06-17,19:20-19:30,116,117,27.948333333333267,188.41368916666622
2025-06-19,19:10-19:30,115,117,34.05901666666648,229.48591787499873
2025-06-24,09:00-10:50,54,65,2614.949861333332,12633.117597241328
2025-06-24,19:00-19:10,114,115,1.1936999999999216,8.07120254999947
2025-06-24,20:10-20:50,121,125,1748.7765055000018,11962.870623316678
2025-06-25,18:50-19:00,113,114,1.3524999999999636,9.106382499999755
2025-06-26,19:00-19:10,114,115,4.352933333333226,29.43235873333261
2025-06-26,19:40-19:50,118,119,17.22081666666668,116.00803147500008
2025-06-30,18:50-19:00,113,114,52.151250000000005,351.1343662500001
2025-06-30,19:30-19:40,117,118,22.421066666666547,151.23009466666585
2025-07-01,08:50-10:10,53,61,1277.9221983333346,6359.81527618334
2025-07-01,18:50-20:10,113,121,668.1714666666662,4505.114543899997
2025-07-01,20:20-21:50,122,131,1411.8600988333324,8654.646263786328
2025-07-02,08:00-09:50,48,59,1845.187118666668,9838.189783699676
2025-07-02,18:50-21:50,113,131,3284.4030666666667,21561.16118845
2025-07-03,07:50-10:30,47,63,3304.7401526666704,17540.828212097687
2025-07-03,18:50-19:10,113,115,80.90331666666668,544.7970212666668
2025-07-03,19:20-21:50,116,131,7047.389018006175,46809.85311439697
2025-07-04,05:50-07:20,35,44,1615.871903833329,7050.824317898064
2025-07-04,20:30-21:20,123,128,837.7704461666622,5288.527650208635
2025-07-04,21:40-21:50,130,131,42.69486666666687,165.74147240000076
2025-07-05,06:00-07:30,36,45,1276.200238500002,5455.508123684011
2025-07-05,20:20-20:50,122,125,1028.1063499999952,7092.132746991634
2025-07-05,21:30-21:50,129,131,84.10500066666673,372.83233589033364
2025-07-06,09:20-09:40,56,58,112.54206100000422,545.0687979000205
2025-07-06,09:50-10:10,59,61,195.78462166666665,973.8856397674999
2025-07-06,18:50-19:10,113,115,90.59306666666669,610.7004052666668
2025-07-06,19:20-19:50,116,119,147.40895000000035,993.9285140750021
2025-07-06,20:00-21:00,120,126,2697.7301318333357,18283.094525290264
2025-07-07,19:00-19:20,114,116,76.93174999999997,518.6445529249999
2025-07-07,19:40-20:10,118,121,143.66554999999983,968.6730945749989
2025-07-07,21:30-21:50,129,131,61.93497483333392,255.24804002325297
2025-07-21,20:30-20:40,123,124,5.090050000000247,35.50818880000172
2025-07-22,19:20-19:30,116,117,5.91166666666652,39.85350083333235
2025-07-22,19:40-20:10,118,121,119.2742333333332,804.4733085166658
2025-07-22,20:30-20:40,123,124,9.639233333333323,67.24329173333325
2025-07-23,19:10-19:20,115,116,14.839883333333091,99.7611157083317
2025-07-23,19:30-19:50,117,119,54.19433333333336,365.26704490000014
2025-07-23,20:30-20:40,123,124,18.308583333333218,127.72067733333252
2025-07-23,20:50-21:20,125,128,95.22336999999898,437.12333769499526
