month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1965006.8398457181,6401.216059333332,139506.9868157624,611698.4898348548,493677.0928122325,1189576.5639302097,37524.64098912357,1227101.2049193333,77,40,-5881.368373595877
2025-03,1869795.6001819463,6784.220778925918,228294.48238009683,641935.1163900471,519967.44427593827,1109680.8574393129,41063.963168360286,1150744.8206076731,45,15,-93525.35793098924
2025-04,1634123.6247782982,3343.7153033333225,307005.79970683844,593326.0072357542,480594.06586096087,948539.8275968779,19919.159542539768,968458.9871394177,23,6,-98569.7127187677
2025-05,1629350.3119640637,17680.895016475286,350505.7280086598,577447.4421326981,467732.42812748556,956988.0754248496,115289.14514810583,1072277.2205729554,82,19,-86716.90890141763
2025-06,2155645.9503561645,20048.938505000002,316289.57356042386,575853.4164074074,466441.26729,1332650.4374135444,127190.68774025927,1459841.1251538037,104,27,-226252.7926030138
2025-07,2368184.735908243,32596.758194839505,342360.76999899314,598120.1457706447,484518.6811832222,1483694.7213311235,198306.6179524038,1682001.339283527,190,47,-174531.6965912406
2025-08,1985937.3810159732,14266.446176818921,299428.42278621404,613795.6685837448,497133.1284438333,1240337.4536067059,94867.21776344777,1335204.6713701535,109,44,-46701.13548236224
2025-09,1843692.058365718,11362.720687279818,356075.13055534987,582083.0591981481,471487.27795049996,1134351.5903195324,72011.12240851161,1206362.7127280443,57,23,-61212.03653696156
2025-10,1851868.5738932018,6558.622740999967,262057.3422576843,638085.5965430752,516849.3331998909,1114529.510661297,41088.50805364024,1155618.0187149371,60,26,-68645.34459006647
2025-11,2019130.2630819588,5136.790283798308,109574.43095636083,667136.1729792791,540415.9585532161,1231474.1563362754,30564.572543488775,1262038.7288797642,61,33,-95684.12934322399
2025-12,2647015.4481290453,21702.910281067903,170077.7631090865,710305.73008786,575702.0710201666,1651816.6384587307,114704.87971202984,1766521.5181707607,116,34,-134477.5800105224
