strategy_id,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,theta
A_base,2025-03-20,8157.39086166439,8155.93486240513,64547.59531255144,1816.103320833333,39123.740206365066,12312.807001780411,51436.54720814548,base
A_base,2025-06-21,2538.6363581298606,3306.3924590557854,33535.785704526745,360.087839333333,19106.65381055083,1505.2405943446656,20611.89440489549,base
A_base,2025-09-23,9867.461517592592,9975.10291259259,65308.3379919753,2128.409406584355,40472.87304342183,13479.741257797605,53952.61430121944,base
A_base,2025-12-21,6477.927864629622,6524.623568184717,93516.64874526748,617.767560499999,59839.261842958615,4236.960830216159,64076.22267317477,base
B_fixed_q80,2025-03-20,10800.0,10800.0,70059.8896211934,0.0,42714.72030278099,0.0,42714.72030278099,0.8
B_fixed_q80,2025-06-21,10800.0,10800.0,41209.64,0.0,24178.031330511665,0.0,24178.031330511665,0.8
B_fixed_q80,2025-09-23,10767.93711,10800.0,72148.11518703702,6.375,44767.7436926911,42.9961875,44810.739880191104,0.8
B_fixed_q80,2025-12-21,10800.0,10800.0,101663.40441666666,0.0,65811.12013182999,0.0,65811.12013182999,0.8
B_fixed_q90,2025-03-20,10800.0,10800.0,74447.88607839507,0.0,45588.62593705433,0.0,45588.62593705433,0.9
B_fixed_q90,2025-06-21,10800.0,10800.0,45892.7818025,0.0,27320.575060546,0.0,27320.575060546,0.9
B_fixed_q90,2025-09-23,10800.0,10800.0,77515.88572633744,0.0,48349.59517623439,0.0,48349.59517623439,0.9
B_fixed_q90,2025-12-21,10800.0,10800.0,105356.90325,0.0,68614.5852143,0.0,68614.5852143,0.9
B_fixed_q65,2025-03-20,10800.0,10800.0,66278.08525082306,568.8489609999941,40328.86445554488,3968.2903519359593,44297.15480748084,0.65
B_fixed_q65,2025-06-21,10800.0,10800.0,38136.59021666666,0.0,22002.572280181663,0.0,22002.572280181663,0.65
B_fixed_q65,2025-09-23,9823.91107037037,9916.96895537037,67428.15192777777,692.6483168888814,41675.67499412239,4511.65438659017,46187.32938071256,0.65
B_fixed_q65,2025-12-21,10800.0,10800.0,97947.82796502058,0.0,63083.9350291765,0.0,63083.9350291765,0.65
B_fixed_q50,2025-03-20,5558.763689814816,5598.817417962964,62679.96672427984,3451.2106764999926,38043.873166098885,22839.323212340696,60883.19637843958,0.5
B_fixed_q50,2025-06-21,6237.366086481491,7211.926598518524,34862.7210182572,324.7790351666661,19927.09070910309,1353.3950820259142,21280.485791129,0.5
B_fixed_q50,2025-09-23,6463.189175740733,6472.87545153177,62328.35189156378,4019.823146561723,38536.638282777,25569.491476848787,64106.12975962579,0.5
B_fixed_q50,2025-12-21,3810.056608518524,3891.9257750000056,94520.00591008228,81.89846666666608,60613.48792664282,560.4864961749959,61173.97442281782,0.5
B_adaptive,2025-03-20,10800.0,10800.0,70059.8896211934,0.0,42714.72030278099,0.0,42714.72030278099,0.80
B_adaptive,2025-06-21,10800.0,10800.0,38136.59021666666,0.0,22002.572280181663,0.0,22002.572280181663,0.65
B_adaptive,2025-09-23,10767.93711,10800.0,72148.11518703702,6.375,44767.7436926911,42.9961875,44810.739880191104,0.80
B_adaptive,2025-12-21,10800.0,10800.0,97947.82796502058,0.0,63083.9350291765,0.0,63083.9350291765,0.65
S_adaptive_W14,2025-03-20,10800.0,10800.0,71357.2790281893,0.0,43487.81649144935,0.0,43487.81649144935,0.80
S_adaptive_W14,2025-06-21,10800.0,10800.0,36715.83891666666,89.75613400000053,20852.11639709333,362.387741394669,21214.504138488,0.65
S_adaptive_W14,2025-09-23,10800.0,10800.0,74857.6848332469,0.0,46477.8260818339,0.0,46477.8260818339,0.80
S_adaptive_W14,2025-12-21,10800.0,10781.111085,93108.069459465,956.9411263333312,59633.36433898429,6103.509811467653,65736.87415045194,0.50
S_adaptive_W56,2025-03-20,10800.0,10800.0,68959.05632427982,31.974076333331027,42033.90044699802,223.05115650131725,42256.951603499336,0.80
S_adaptive_W56,2025-06-21,10800.0,10800.0,37653.1462,0.0,21674.279390628333,0.0,21674.279390628333,0.65
S_adaptive_W56,2025-09-23,10798.991579999998,10800.0,72176.11281193414,6.375,44864.52872707821,42.9961875,44907.52491457821,0.80
S_adaptive_W56,2025-12-21,10800.0,10800.0,96935.57850576132,0.0,62367.9978887389,0.0,62367.9978887389,0.65
