date,interval,start_slot,end_slot,emergency_kWh,emergency_cost_yuan,strategy_id
2025-03-20,20:10-20:40,121,124,1778.3920349999996,12142.277986066663,A_base
2025-03-20,21:20-21:50,128,131,37.71128583333359,170.52901571375128,A_base
2025-06-21,06:30-07:20,39,44,360.0878393333331,1505.2405943446656,A_base
2025-09-23,08:40-09:50,52,59,445.5558333333323,2248.165939299995,A_base
2025-09-23,20:20-20:40,122,124,1537.817738084356,10553.514992601606,A_base
2025-09-23,20:50-21:40,125,130,145.0358351666668,678.0603258960007,A_base
2025-12-21,07:50-08:00,47,48,31.452916666666734,182.69426645833371,A_base
2025-12-21,10:40-10:50,64,65,12.030993500000449,48.0638190325018,A_base
2025-12-21,20:30-20:40,123,124,574.2836503333318,4006.202744725323,A_base
2025-09-23,20:20-20:30,122,123,6.375,42.9961875,B_fixed_q80
2025-03-20,20:30-20:40,123,124,568.8489609999941,3968.290351935959,B_fixed_q65
2025-09-23,20:20-20:40,122,124,555.2147925555482,3871.702580367504,B_fixed_q65
2025-09-23,20:50-21:40,125,130,137.4335243333331,639.9518062226657,B_fixed_q65
2025-03-20,09:10-10:00,55,60,267.8237668333348,1305.04371102684,B_fixed_q50
2025-03-20,19:50-20:40,119,124,3148.288709833325,21372.711681928107,B_fixed_q50
2025-03-20,21:20-21:50,128,131,35.098199833333496,161.5678193857509,B_fixed_q50
2025-06-21,06:30-07:20,39,44,324.7790351666661,1353.3950820259145,B_fixed_q50
2025-09-23,08:30-09:50,51,59,672.345596999995,3442.90746655164,B_fixed_q50
2025-09-23,20:00-21:50,120,131,3347.477549561728,22126.584010297152,B_fixed_q50
2025-12-21,07:50-08:00,47,48,7.189583333333417,41.76069479166715,B_fixed_q50
2025-12-21,20:30-20:50,123,125,74.70888333333266,518.7258013833288,B_fixed_q50
2025-09-23,20:20-20:30,122,123,6.375,42.9961875,B_adaptive
2025-06-21,06:50-07:20,41,44,89.75613400000054,362.3877413946689,S_adaptive_W14
2025-12-21,07:50-08:00,47,48,11.875833333333505,68.98077791666765,S_adaptive_W14
2025-12-21,10:30-10:50,63,65,192.57746216666683,792.6089488455841,S_adaptive_W14
2025-12-21,20:20-20:40,122,124,752.487830833331,5241.920084705402,S_adaptive_W14
2025-03-20,20:30-20:40,123,124,31.974076333331027,223.05115650131725,S_adaptive_W56
2025-09-23,20:20-20:30,122,123,6.375,42.9961875,S_adaptive_W56
