month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1994093.1408655245,643.7199059746409,173336.0050820338,576579.7079855044,469058.52436270565,109775.58461662887,1212413.8073302396,3227.725431343007,1215641.5327615826,19,16
2025-03,1856000.5072900965,3364.947251160017,218477.89515157582,601712.4617288108,487142.56880579685,114298.19826241408,1106091.8593425415,22286.37114091071,1128378.2304834523,22,8
2025-04,1604038.6702935616,4709.5921850759805,286251.1559395474,553285.6466367189,448518.13909762853,105163.9134522973,932061.1727444036,29231.451932079246,961292.6246764828,19,4
2025-05,1631228.4281270525,5157.875214412492,346447.3085884281,536963.7195036343,433835.1897172639,101900.28191894833,968302.7131149787,32296.192710976808,1000598.9058259556,39,11
2025-06,2127443.7063761805,12850.698529402835,285981.3260318731,550678.3191259068,446358.40643552976,104663.21040542734,1324199.849667438,82487.55600825282,1406687.4056756909,65,25
2025-07,2333144.7283916934,5724.534657687151,283055.3961485589,583945.3644624643,472950.75707830914,110944.62056605858,1463872.652353467,37428.447841407964,1501301.100194875,56,22
2025-08,2032029.066031038,2915.744704413303,345275.816420131,557595.9630279785,452039.83297932486,105986.24441161175,1269748.1676943693,19098.678050598126,1288846.8457449675,55,31
2025-09,1802972.8764497694,5604.483787225386,315282.4306531223,554839.1972067673,449928.1348728948,105475.93470655396,1112996.3637016225,36252.141563946985,1149248.5052655693,29,13
2025-10,1849560.511408907,1403.9903494716227,262209.30675830756,597822.8238895425,484201.21992280474,113582.41793593258,1116978.8764912877,9270.29356256178,1126249.1700538497,17,10
2025-11,2071625.904975616,243.93820898250613,167127.40612656268,614178.9084317277,497408.8793570251,116685.54410506447,1273460.9212578782,1490.1075947767463,1274951.028852655,7,6
2025-12,2664187.814600646,7698.147804395505,174625.17234301034,702059.6094721615,568835.7556434637,133409.93379648993,1667844.2665165376,38018.42334704132,1705862.6898635789,34,11
