date,interval,start_slot,end_slot,emergency_kWh,emergency_cost_yuan
2025-02-05,07:50-08:00,47,48,9.361903051783202,54.37861387628273
2025-02-06,08:00-08:10,48,49,10.462509265555695,61.116747874743595
2025-02-16,05:50-06:00,35,36,15.108358466076993,68.73547684141728
2025-02-20,06:00-06:10,36,37,0.508917623733737,2.3837701495688237
2025-02-23,06:00-06:10,36,37,4.713203577945023,22.07664555909449
2025-02-24,06:00-06:10,36,37,0.2353506323622696,1.1023823619848707
2025-02-25,05:50-06:00,35,36,19.892519391072483,90.50101696968426
2025-02-25,06:20-06:30,38,39,26.63070912671037,116.62919062042806
2025-03-02,20:10-21:40,121,130,1667.8979499303923,11143.610256809014
2025-03-05,05:50-06:00,35,36,0.0316007013724402,0.14376739089391669
2025-03-16,05:50-06:00,35,36,1.6400000000001,7.461180000000455
2025-04-02,08:50-10:20,53,62,1417.5007173643642,7028.373356939072
2025-04-27,20:30-20:40,123,124,219.59071958338933,1531.8648598137238
2025-04-28,20:30-21:00,123,126,231.73655821305243,1577.2284072114555
2025-05-01,20:20-21:50,122,131,1291.3925704735552,8469.227927857008
2025-05-02,20:30-21:20,123,128,1227.0095906688389,7694.159440785572
2025-05-02,21:30-21:50,129,131,90.18796090676514,390.9260116632943
2025-05-03,20:40-21:50,124,131,360.4094715585062,1820.8170228914937
2025-05-04,20:30-21:30,123,129,411.1529136656335,2523.3713787303254
2025-05-04,21:40-21:50,130,131,7.198463846358618,27.944436651564153
2025-05-08,20:00-20:10,120,121,35.999250000000075,243.22893262500048
2025-05-11,19:10-19:30,115,117,41.18071666666674,277.36103945833383
2025-05-19,20:20-20:30,122,123,55.519061243544456,374.4483085570856
2025-06-01,10:20-10:50,62,65,240.05653201169372,1056.5438284064985
2025-06-01,18:50-20:40,113,124,5759.671834624532,39028.81105454414
2025-06-01,21:00-21:50,126,131,167.36235390133848,761.3423971591615
2025-06-02,19:20-19:30,116,117,45.06536033030102,303.8081266667243
2025-06-02,19:50-20:00,119,120,44.324121729575836,298.78890457907073
2025-06-02,20:10-20:40,121,124,1680.349484924583,11514.529092806348
2025-06-03,19:30-19:50,117,119,6.411675382510566,43.203578104542174
