month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1989285.4857983617,451.50328462259085,168205.36622842716,577904.4042734435,470252.45348555286,110040.71303685025,1210461.279599922,2168.832644139542,1212630.1122440617,15,12
2025-03,1855437.6418913258,5180.157007178561,219984.2460820854,600283.4706856847,485967.5843359324,114024.74532811655,1106334.430097069,33840.39125989264,1140174.8213569615,31,7
2025-04,1602117.3883141547,5699.145592231979,285147.0114828221,554202.2106318069,449262.28720824217,105338.25297520762,931530.4986192248,35642.57979391618,967173.078413141,24,6
2025-05,1626321.0302732065,5561.3651100034,341322.3630055953,538291.0279461083,434541.4605351602,102111.48729851755,965008.8523190367,35114.16224702295,1000123.0145660597,47,14
2025-06,2115243.380114776,14377.207425182316,275053.0316012771,551357.8960995083,446783.50634416,104778.40142596862,1316683.0438567856,92814.867305488,1409497.9111622737,62,23
2025-07,2347907.7855393062,3539.498781634805,296923.65114981425,578061.44268724,468357.06903277966,109845.81860569955,1475522.7983135432,20101.71412978094,1495624.5124433243,64,27
2025-08,2042857.720270578,2552.849955500911,355500.96012462873,558536.1249593513,452739.37912456755,106157.98795422043,1276842.0262576656,16567.838313107033,1293409.8645707727,55,32
2025-09,1791750.1536990043,6707.111927247785,305924.50240218977,553257.4558821177,449108.55990805535,105226.69668910683,1105498.6987519818,43346.34141827143,1148845.0401702533,46,17
2025-10,1861176.6572208563,1800.2141444836957,274255.70894075534,594991.7959934424,481404.2246021909,112988.53788847658,1122424.4952176325,11895.650687914189,1134320.1459055466,24,10
2025-11,2077161.131399658,341.46526619648046,172941.54828505346,614723.051476679,498134.4110792113,116820.57304535808,1277198.362036799,1889.7364479785024,1279088.0984847776,9,7
2025-12,2674555.5017532515,6247.013114746637,184447.29122908888,697613.0429459986,565294.7555404226,132571.83268798018,1678127.4666532017,31023.70685561206,1709151.1735088136,31,11
