strategy_id,predictor_id,alpha,improved_months,worse_months,improved_days,worse_days,worst_day,worst_day_difference_yuan,worst_month,worst_month_difference_yuan,emergency_cost_0_10h_yuan,emergency_cost_19_21h_yuan,emergency_cost_21_24h_yuan
R_q80,ridge,0.8,0,0,0,0,2025-02-01,0.0,2025-02,0.0,47017.06224063631,329539.2679209965,12732.085035916316
R_q70,ridge,0.7,5,6,237,97,2025-08-25,12523.31310928346,2025-03,28413.10671163397,129579.20330423256,667247.0227359466,30403.502110778692
R_q75,ridge,0.75,6,5,251,83,2025-08-25,8900.816259253632,2025-03,15385.658148459624,92663.6837162419,529760.4525533875,22562.270854161878
R_q85,ridge,0.85,1,10,54,280,2025-06-10,1012.0415109598471,2025-07,12394.944088393822,37175.33487335157,249156.44494756107,9501.745771733766
R_q90,ridge,0.9,0,11,39,295,2025-06-29,3944.602623515959,2025-07,58010.61876757676,19573.11676953176,120034.61641099816,5492.1807268142165
L_q80,lightgbm,0.8,0,0,0,0,2025-02-01,0.0,2025-02,0.0,46189.555344153356,314367.25385345356,10782.00652985178
L_q70,lightgbm,0.7,5,6,254,80,2025-09-08,14760.204141505295,2025-08,20833.66457094811,102019.03460535157,635402.1929904572,21273.788025796406
L_q75,lightgbm,0.75,7,4,269,65,2025-09-08,10934.783627163051,2025-04,8840.90312806808,75079.81388494134,508215.13053974696,16078.171385279515
L_q85,lightgbm,0.85,1,10,41,293,2025-06-29,1230.502858280328,2025-11,12148.113993995823,37484.16212150254,237193.58730538312,9278.737296338842
L_q90,lightgbm,0.9,0,11,26,308,2025-06-29,4085.0779171570393,2025-07,61547.745097398525,24869.32594092488,132877.80585226335,6749.014177649047
