strategy_id,predictor_id,alpha,planned_kWh,emergency_kWh,unused_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_days,emergency_events,evaluation_initial_kWh,final_kWh,mean_adjustment_kWh,max_mip_gap,solver_failures
L_q80,lightgbm,0.8,21715341.55452233,64512.15853929391,2609665.5206449376,1233563.703190815,13270950.722208492,402129.94820369035,13673080.670412183,449,126,191,8801.462273333342,6236.456532540259,42.954741514378355,3.133795252669497e-16,0
R_q80,ridge,0.8,21733060.08420842,68754.61605788153,2633990.1270251563,1231238.69746935,13290624.123764867,426758.2370113602,13717382.360776227,515,123,205,8801.462273333342,6197.843078466478,44.587818487579135,2.6570037016814806e-16,0
R_q70,ridge,0.7,21114376.2395628,145322.12480733858,2068596.6134376023,1254748.0458861128,12863593.169197662,892249.8348685438,13755843.004066205,1041,202,365,8801.462273333342,5965.672353091017,27.541734412218517,3.0503739174036323e-16,0
R_q75,ridge,0.75,21307042.124494806,113919.14709526798,2235825.615203201,1248741.9351366463,12996099.140117753,702579.5547375877,13698678.694855342,841,172,305,8801.462273333342,6005.688556894578,32.881141009061444,4.963234730981479e-16,0
R_q85,ridge,0.85,21983813.876274478,52457.53160902916,2879705.6805317374,1219905.0469355022,13465631.951722862,324405.8211031235,13790037.772825986,408,109,166,8801.462273333342,6272.6477229374905,51.3916398468207,2.994100705798092e-16,0
R_q90,ridge,0.9,22660797.12245699,26952.03976999284,3565494.492471643,1185426.978385291,13947564.100599024,163840.0250119139,14111404.12561094,224,72,102,8801.462273333342,6439.658676716492,69.63286844689142,3.8108985327740346e-16,0
L_q70,lightgbm,0.7,21101072.55074647,131183.4010183055,2037642.4879900557,1258242.2641857571,12848280.922307754,818308.3283639915,13666589.250671744,908,189,340,8801.462273333342,5983.1668956347185,25.949923150484114,2.7054697283783045e-16,0
L_q75,lightgbm,0.75,21291111.881793216,103723.83952690684,2207187.5688601295,1251198.5605612835,12978756.369087975,648632.6891864578,13627389.058274437,724,163,291,8801.462273333342,6061.559205377427,31.214510995791137,2.866984645230952e-16,0
L_q85,lightgbm,0.85,21966325.35481009,50317.67259820145,2858069.219243151,1221885.8841774273,13447970.650214763,311087.3891838955,13759058.039398659,362,105,157,8801.462273333342,6299.891294377037,49.84209049110989,2.3242955422935655e-16,0
L_q90,lightgbm,0.9,22634346.557571955,29962.26422829773,3540558.2174423276,1186874.5544466674,13925820.701759683,182920.1721326752,14108740.873892358,227,71,98,8801.462273333342,6488.0172179259625,67.99377890527286,2.9522791779535346e-16,0
