predictor_id,alpha,baseline_alpha,treatment,baseline,delta_total_cost_yuan,delta_total_pct,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_emergency_kWh,delta_emergency_days,delta_unused_kWh,delta_loss_kWh,treatment_total_cost_yuan,baseline_total_cost_yuan
ridge,0.8,0.8,R_q80,R_q80,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13717382.360776227,13717382.360776227
ridge,0.7,0.8,R_q70,R_q80,38460.643289977685,0.28037888190645516,-427030.95456720516,465491.5978571836,76567.50874945705,79,-565393.513587554,23509.348416762892,13755843.004066205,13717382.360776227
ridge,0.75,0.8,R_q75,R_q80,-18703.66592088528,-0.13635010987494917,-294524.98364711367,275821.3177262275,45164.53103738645,49,-398164.51182195544,17503.237667296315,13698678.694855342,13717382.360776227
ridge,0.85,0.8,R_q85,R_q80,72655.41204975918,0.529659450607075,175007.82795799524,-102352.4159082367,-16297.084448852373,-14,245715.5535065811,-11333.650533847744,13790037.772825986,13717382.360776227
ridge,0.9,0.8,R_q90,R_q80,394021.7648347132,2.8724267828342187,656939.9768341575,-262918.21199944627,-41802.57628788869,-51,931504.3654464865,-45811.71908405889,14111404.12561094,13717382.360776227
lightgbm,0.8,0.8,L_q80,L_q80,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13673080.670412183,13673080.670412183
lightgbm,0.7,0.8,L_q70,L_q80,-6491.419740438461,-0.04747591195366489,-422669.7999007385,416178.3801603011,66671.24247901159,63,-572023.032654882,24678.560994942207,13666589.250671744,13673080.670412183
lightgbm,0.75,0.8,L_q75,L_q80,-45691.612137746066,-0.33417203656686,-292194.353120517,246502.74098276743,39211.680987612934,37,-402477.9517848082,17634.857370468555,13627389.058274437,13673080.670412183
lightgbm,0.85,0.8,L_q85,L_q80,85977.36898647621,0.6288075895911787,177019.9280062709,-91042.55901979486,-14194.485941092462,-21,248403.6985982135,-11677.819013387663,13759058.039398659,13673080.670412183
lightgbm,0.9,0.8,L_q90,L_q80,435660.20348017476,3.186262218308418,654869.9795511905,-219209.77607101516,-34549.894310996184,-55,930892.69679739,-46689.148744147504,14108740.873892358,13673080.670412183
