month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1999289.7809341787,1247.4697936608477,179631.00202813806,575002.8733593799,467976.2967263451,109497.65363886526,1217766.8974259675,6545.79007461656,1224312.6875005842,20,13
2025-03,1857451.510359782,5564.103168449261,222165.99627090176,600921.4547081216,486389.50391745864,114135.42368386315,1107969.130127287,33487.439972241584,1141456.5700995284,49,13
2025-04,1625110.9723582808,2560.7912902256658,305331.33323617687,552935.1053374151,448324.27392508544,105107.31874763992,946094.833223829,14563.779428332535,960658.6126521615,19,4
2025-05,1635106.7931353862,7505.519745451673,352108.5640070335,537811.25507893,434117.9711717922,102016.45563809214,967503.5005298879,47498.310553617455,1015001.8110835053,63,22
2025-06,2120996.074267483,13284.624312622562,279510.5380037916,552724.9051416293,447947.9107486487,105044.48059734613,1317919.4949123522,84207.37280489467,1402126.867717247,78,26
2025-07,2349690.8543034913,5299.274930581658,299935.0993083677,580968.0765665947,470732.30615755613,110400.39722972129,1475356.9051639615,31286.61589452493,1506643.5210584865,76,33
2025-08,2045118.1503278003,3514.3528417698008,358864.64958389214,557949.6558752585,452294.6665562473,106049.92853822002,1278335.5266531138,23036.01300390785,1301371.5396570216,62,33
2025-09,1803269.5236160257,8152.7511401179745,319379.99536127737,550611.2666336994,446952.854488833,104722.55493990697,1110350.829932496,53089.91537812715,1163440.7453106232,57,26
2025-10,1857748.0175207597,1866.8470969195057,270209.63695475215,598390.1438780142,484118.50724842015,113629.9596376259,1118202.7497404364,12038.864844687512,1130241.614585124,31,13
2025-11,2074428.3631176776,437.0641096579157,169760.4592752326,617590.4284470488,500457.86847827904,117365.4726756248,1274573.5380130126,2417.4375708684806,1276990.9755838811,10,6
2025-12,2659153.840768517,7468.591097103483,169587.04647676222,701067.0036844242,568068.5545288994,133225.42864943127,1667130.4986033766,37591.08128303972,1704721.5798864162,44,13
