month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1984462.9418657403,678.8107435219872,163126.01264127085,580907.4986940696,472771.4307927446,110620.9088463786,1206695.3950813154,3276.965167107014,1209972.3602484223,18,13
2025-03,1835006.2205136737,7141.385964879504,200570.7768811875,605540.1623187545,490280.9991880555,115029.68280832609,1092181.2420487285,45768.586397901265,1137949.8284466297,45,11
2025-04,1582059.6680335028,7828.153059950695,267036.2091299506,555016.4112437585,449894.3982802556,105489.90759995983,919439.6471481868,50204.11667221683,969643.7638204036,28,7
2025-05,1602764.6750654432,6754.278085429875,318151.39636117214,542522.3599455977,437965.26812256355,102915.04356373353,949141.2567545509,42581.932558535824,991723.1893130867,61,20
2025-06,2084874.0643679418,16593.34526358192,245361.10411191915,559289.3182251125,453176.1788888412,106281.84058793807,1294407.0408965382,106824.19204039179,1401231.23293693,74,25
2025-07,2319484.2611722266,4829.011320304187,268264.1379215864,586236.8296591769,475006.9546048988,111402.23347757314,1455258.332778388,27883.11417413165,1483141.4469525195,77,33
2025-08,2014059.2923333158,4319.517737896349,327895.38754728594,561786.2164954426,455415.65823818283,106780.36145378681,1258690.3571324844,28596.768409999153,1287287.1255424835,62,33
2025-09,1764400.2189326817,8827.1845951645,279359.74079658824,560034.5639320996,454550.76845084166,106509.0973321924,1086560.7051861149,56986.84628552498,1143547.55147164,61,25
2025-10,1842197.1896106717,3397.81394584095,255760.15012104102,600797.1407690899,486095.8783669516,114090.36722879253,1108069.4199829262,22190.45638995311,1130259.8763728791,36,14
2025-11,2059788.5656689305,662.4775693371369,154765.70791598246,620627.3335521598,502914.4062132079,117942.11182335022,1264629.5267943873,3532.6997812275904,1268162.226575615,12,7
2025-12,2653783.2842707853,7386.760697657936,163626.3341042368,703875.2784908434,570368.5038599701,133761.80605574773,1662796.0795847832,36850.739827500365,1699646.8194122836,38,15
