strategy_id,date,slot,load_naive_kW,load_issued_kW,load_selected_lambda,load_trained,load_fallback_reason,load_candidate_0p001_kW,load_candidate_0p01_kW,load_candidate_0p1_kW,load_candidate_1_kW,load_candidate_10_kW,pv_naive_kW,pv_issued_kW,pv_selected_lambda,pv_trained,pv_fallback_reason,pv_candidate_0p001_kW,pv_candidate_0p01_kW,pv_candidate_0p1_kW,pv_candidate_1_kW,pv_candidate_10_kW
shared,2025-01-09,0,3622.5509,3622.5509,0.1,0,"score_days=0<7, default lambda",3622.5509,3622.5509,3622.5509,3622.5509,3622.5509,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,1,3622.7611,3622.7611,0.1,0,"score_days=0<7, default lambda",3622.7611,3622.7611,3622.7611,3622.7611,3622.7611,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,2,3708.23,3708.23,0.1,0,"score_days=0<7, default lambda",3708.23,3708.23,3708.23,3708.23,3708.23,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,3,3750.5226,3750.5226,0.1,0,"score_days=0<7, default lambda",3750.5226,3750.5226,3750.5226,3750.5226,3750.5226,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,4,3684.9038,3684.9038,0.1,0,"score_days=0<7, default lambda",3684.9038,3684.9038,3684.9038,3684.9038,3684.9038,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,5,3644.14,3644.14,0.1,0,"score_days=0<7, default lambda",3644.14,3644.14,3644.14,3644.14,3644.14,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,6,3809.298,3809.298,0.1,0,"score_days=0<7, default lambda",3809.298,3809.298,3809.298,3809.298,3809.298,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,7,3855.1226,3855.1226,0.1,0,"score_days=0<7, default lambda",3855.1226,3855.1226,3855.1226,3855.1226,3855.1226,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,8,3783.78,3783.78,0.1,0,"score_days=0<7, default lambda",3783.78,3783.78,3783.78,3783.78,3783.78,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,9,3907.3849,3907.3849,0.1,0,"score_days=0<7, default lambda",3907.3849,3907.3849,3907.3849,3907.3849,3907.3849,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,10,3968.2398,3968.2398,0.1,0,"score_days=0<7, default lambda",3968.2398,3968.2398,3968.2398,3968.2398,3968.2398,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,11,3886.77,3886.77,0.1,0,"score_days=0<7, default lambda",3886.77,3886.77,3886.77,3886.77,3886.77,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,12,3865.3901,3865.3901,0.1,0,"score_days=0<7, default lambda",3865.3901,3865.3901,3865.3901,3865.3901,3865.3901,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,13,3931.6861,3931.6861,0.1,0,"score_days=0<7, default lambda",3931.6861,3931.6861,3931.6861,3931.6861,3931.6861,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,14,4055.98,4055.98,0.1,0,"score_days=0<7, default lambda",4055.98,4055.98,4055.98,4055.98,4055.98,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,15,4164.982,4164.982,0.1,0,"score_days=0<7, default lambda",4164.982,4164.982,4164.982,4164.982,4164.982,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,16,4067.4326,4067.4326,0.1,0,"score_days=0<7, default lambda",4067.4326,4067.4326,4067.4326,4067.4326,4067.4326,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,17,3919.44,3919.44,0.1,0,"score_days=0<7, default lambda",3919.44,3919.44,3919.44,3919.44,3919.44,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,18,4068.323,4068.323,0.1,0,"score_days=0<7, default lambda",4068.323,4068.323,4068.323,4068.323,4068.323,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,19,4140.4792,4140.4792,0.1,0,"score_days=0<7, default lambda",4140.4792,4140.4792,4140.4792,4140.4792,4140.4792,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,20,4061.12,4061.12,0.1,0,"score_days=0<7, default lambda",4061.12,4061.12,4061.12,4061.12,4061.12,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,21,4138.7041,4138.7041,0.1,0,"score_days=0<7, default lambda",4138.7041,4138.7041,4138.7041,4138.7041,4138.7041,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,22,4283.3011,4283.3011,0.1,0,"score_days=0<7, default lambda",4283.3011,4283.3011,4283.3011,4283.3011,4283.3011,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,23,4330.98,4330.98,0.1,0,"score_days=0<7, default lambda",4330.98,4330.98,4330.98,4330.98,4330.98,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,24,4225.1585,4225.1585,0.1,0,"score_days=0<7, default lambda",4225.1585,4225.1585,4225.1585,4225.1585,4225.1585,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,25,4201.989,4201.989,0.1,0,"score_days=0<7, default lambda",4201.989,4201.989,4201.989,4201.989,4201.989,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,26,4273.9,4273.9,0.1,0,"score_days=0<7, default lambda",4273.9,4273.9,4273.9,4273.9,4273.9,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,27,4219.0352,4219.0352,0.1,0,"score_days=0<7, default lambda",4219.0352,4219.0352,4219.0352,4219.0352,4219.0352,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,28,4069.3885,4069.3885,0.1,0,"score_days=0<7, default lambda",4069.3885,4069.3885,4069.3885,4069.3885,4069.3885,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,29,4030.95,4030.95,0.1,0,"score_days=0<7, default lambda",4030.95,4030.95,4030.95,4030.95,4030.95,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,30,4262.9553,4262.9553,0.1,0,"score_days=0<7, default lambda",4262.9553,4262.9553,4262.9553,4262.9553,4262.9553,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
shared,2025-01-09,31,4330.5086,4330.5086,0.1,0,"score_days=0<7, default lambda",4330.5086,4330.5086,4330.5086,4330.5086,4330.5086,0.0,0.0,0.1,0,"score_days=0<7, default lambda",0.0,0.0,0.0,0.0,0.0
