strategy_id,month,total_cost_yuan,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,delta_planned_kWh
R0_naive,2025-02,1219879.7722109973,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-03,1149994.9978190907,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-04,964037.167527831,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-05,1032151.5127669331,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-06,1458239.8990227564,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-07,1701429.3868917555,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-08,1298899.1411918001,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-09,1168429.0737627076,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-10,1138824.8242045224,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-11,1273083.0954635886,0.0,0.0,0.0,0.0,0.0
R0_naive,2025-12,1753391.6162777639,0.0,0.0,0.0,0.0,0.0
R1_load_ridge,2025-02,1224312.6875005842,4432.915289586876,747.3350266481284,3685.5802629386544,3144.2847691771167,2102.6564666645136
R1_load_ridge,2025-03,1141456.5700995284,-8538.427719562314,-14903.4291491576,6365.001429595457,-24807.178622507723,-24171.768906199373
R1_load_ridge,2025-04,960658.6126521615,-3378.5548756695352,-7405.540817480651,4026.98594181117,-11113.280916335469,-11682.28755146591
R1_load_ridge,2025-05,1015001.8110835053,-17149.70168342779,-7548.690867300727,-9601.010816127062,-5810.808136760781,-3497.5411211261526
R1_load_ridge,2025-06,1402126.867717247,-56113.03130550939,-15305.78314804472,-40807.24815746494,-22203.722422667255,-16022.59497173503
R1_load_ridge,2025-07,1506643.5210584865,-194785.86583326897,-29721.79795802012,-165064.06787524896,-64174.74639133195,-31982.797919434495
R1_load_ridge,2025-08,1301371.5396570216,2472.398465221515,-2870.2508540465496,5342.649319268261,64.70553002174711,-1125.0469387820922
R1_load_ridge,2025-09,1163440.7453106232,-4988.328452084446,-33041.78476523701,28053.456313152426,-37156.92276958685,-41719.09738953994
R1_load_ridge,2025-10,1130241.614585124,-8583.209619398462,-19868.111757544102,11284.902138145611,-17364.149523848668,-17327.720075013814
R1_load_ridge,2025-11,1276990.9755838811,3907.880120292539,3837.487799225608,70.39232106676081,6132.119868442416,5545.709803778445
R1_load_ridge,2025-12,1704721.5798864162,-48670.03639134765,-11529.97776180366,-37140.058629543695,-30248.83464648886,-22450.036556145176
R2_pv_ridge,2025-02,1211850.4752766707,-8029.296934326645,-6635.79184882273,-1393.5050855039435,-9337.512469636655,-8532.383344858885
R2_pv_ridge,2025-03,1134522.976660496,-15472.021158594638,-17025.702735273866,1553.6815766790314,-25683.815186317777,-24496.235390830785
R2_pv_ridge,2025-04,961343.491166508,-2693.676361322985,-27187.226800682256,24493.550439359253,-41465.767839464126,-44394.39677183074
R2_pv_ridge,2025-05,1011012.0557984555,-21139.456968477578,-16409.01300612092,-4730.4439623565995,-30733.994342728693,-29249.90876064892
R2_pv_ridge,2025-06,1518147.0299934787,59907.1309707223,-14570.195152235683,74477.326122958,-12118.820555713028,-23993.818062793463
R2_pv_ridge,2025-07,1643002.4591105662,-58426.927781189326,-19772.876008984633,-38654.051772204664,-37889.82005288568,-29335.118831722997
R2_pv_ridge,2025-08,1283271.751229672,-15627.38996212813,-20553.701235662214,4926.311273534371,-32744.498114990303,-32477.829648059793
R2_pv_ridge,2025-09,1143828.8463863023,-24600.227376405383,-18911.903008532012,-5688.324367873585,-34276.28745004977,-31769.074030752527
R2_pv_ridge,2025-10,1136053.5628853682,-2771.261319154175,-8167.06942910701,5395.8081099529145,-12401.591537605156,-12707.683251722716
R2_pv_ridge,2025-11,1265057.0816610237,-8026.013802564936,-9176.255271487404,1150.2414689223997,-13649.111991611979,-13336.927441243548
R2_pv_ridge,2025-12,1755361.1052648465,1969.4889870826155,-3507.098110929597,5476.587098012242,-3428.2285528293287,-4537.39583192952
R3_both_ridge,2025-02,1209972.3602484223,-9907.411962575046,-10324.16731800395,416.75535542910893,-13360.704617690091,-12724.182601773879
R3_both_ridge,2025-03,1137949.8284466297,-12045.169372461038,-30691.317227716092,18646.147855255138,-46402.398012221965,-46617.05875230767
R3_both_ridge,2025-04,969643.7638204036,5606.596292572562,-34060.72689312289,39667.323185695466,-49408.405022561725,-54733.59187624394
R3_both_ridge,2025-05,991723.1893130867,-40428.32345384639,-25910.93464263773,-14517.388811208693,-39767.97578262212,-35839.65919106919
R3_both_ridge,2025-06,1401231.23293693,-57008.666085826466,-38818.23716385872,-18190.428921967818,-56353.156314539694,-52144.60487127607
R3_both_ridge,2025-07,1483141.4469525195,-218287.93993923604,-49820.37034359365,-168467.56959564224,-95845.70777811325,-62189.39105069917
R3_both_ridge,2025-08,1287287.1255424835,-11612.0156493166,-22515.420374675887,10903.404725359564,-30904.556506584457,-32183.904933266575
R3_both_ridge,2025-09,1143547.55147164,-24881.522291067755,-56831.90951161808,31950.387220550256,-77177.17733427597,-80588.40207288391
R3_both_ridge,2025-10,1130259.8763728791,-8564.94783164328,-30001.44151505432,21436.49368341121,-31813.636357559793,-32878.54798510182
R3_both_ridge,2025-11,1268162.226575615,-4920.8688879737165,-6106.523419399746,1185.6545314258706,-8862.631490807718,-9094.087644968648
R3_both_ridge,2025-12,1699646.8194122836,-53744.79686548025,-15864.396780397044,-37880.40008508305,-36209.54701901428,-27820.593053876888
