date,horizon,max_cumulative_underestimate_kWh,total_cumulative_underestimate_kWh,slots,start_slot
2025-02-01,1h,323.4215166666666,2205.527166666666,6,83
2025-02-01,4h,367.0113333333333,2072.31095,24,83
2025-02-02,1h,27.646083333333536,38.5605500000006,6,110
2025-02-03,1h,480.0864333333335,5506.952833333337,6,75
2025-02-03,4h,851.2332666666672,14633.601800000011,24,61
2025-02-04,1h,493.6206999999996,5022.152399999999,6,85
2025-02-04,4h,440.60313333333363,4306.756633333343,24,78
2025-02-05,1h,365.0069000000002,1790.3257333333343,6,69
2025-02-05,4h,35.321249999999964,55.30361666666681,24,99
2025-02-06,1h,193.09488333333323,669.1558999999996,6,80
2025-02-07,1h,308.67565000000013,2724.7211500000003,6,53
2025-02-08,1h,971.7563833333335,15128.591816666667,6,80
2025-02-08,4h,2244.139616666667,45245.71905,24,70
2025-02-09,1h,1340.8671333333334,18468.98455,6,62
2025-02-09,4h,2866.9700500000004,62112.04054999999,24,56
2025-02-10,1h,135.81465000000003,1447.4621999999972,6,137
2025-02-10,4h,120.90286666666668,496.3970000000004,24,120
2025-02-11,1h,558.6099000000003,11280.956083333338,6,53
2025-02-11,4h,1384.4511833333331,35871.33858333335,24,52
2025-02-12,1h,475.13178333333315,7319.471683333334,6,83
2025-02-12,4h,1026.5634499999994,19947.38095,24,74
2025-02-13,1h,198.92133333333356,2220.0506833333343,6,115
2025-02-13,4h,121.16016666666678,1979.4713833333353,24,107
2025-02-14,1h,1448.7909166666668,25914.638833333334,6,64
2025-02-14,4h,3535.2466,91909.2537,24,53
2025-02-15,1h,213.7896333333333,5598.120266666665,6,87
2025-02-15,4h,320.18788333333316,7181.588733333334,24,116
2025-02-16,1h,448.17053333333376,9464.945999999996,6,74
2025-02-16,4h,1083.2747000000004,23762.763183333325,24,59
2025-02-17,1h,154.68191666666678,2706.6109166666683,6,85
2025-02-17,4h,167.78490000000068,3226.2467833333417,24,93
2025-02-18,1h,627.7575,9550.188499999997,6,79
2025-02-18,4h,1017.3537666666665,19648.601866666657,24,62
2025-02-19,1h,662.0914999999998,12148.795383333327,6,56
2025-02-19,4h,999.2844166666666,23373.978533333328,24,38
2025-02-20,1h,596.8678833333331,8934.890200000002,6,67
2025-02-20,4h,847.870966666667,12163.642750000005,24,57
2025-02-21,1h,376.17315,7992.311500000002,6,88
2025-02-21,4h,682.1542333333334,11487.501066666671,24,79
2025-02-22,1h,502.0877666666665,15975.870150000002,6,80
2025-02-22,4h,1545.3890000000001,55334.28305,24,63
2025-02-23,1h,155.56624999999985,2950.0985166666724,6,71
2025-02-23,4h,209.75660000000062,2193.051733333347,24,116
2025-02-24,1h,230.93621666666684,4741.3058,6,96
2025-02-24,4h,655.8245166666666,8197.158933333343,24,85
2025-02-25,1h,190.5367833333334,3822.7810166666673,6,41
2025-02-25,4h,223.33235000000025,3086.4348166666714,24,113
2025-02-26,1h,685.2416833333332,17813.97381666667,6,72
2025-02-26,4h,1972.7697333333342,68039.98370000001,24,61
2025-02-27,1h,859.2131833333332,9642.477999999996,6,53
2025-02-27,4h,1516.1645666666657,19920.954899999986,24,38
2025-02-28,1h,1213.57525,18332.33415,6,66
2025-02-28,4h,2816.9588500000004,51979.856516666674,24,62
2025-03-01,1h,1012.2664833333336,16614.44455,6,56
2025-03-01,4h,2375.9945999999995,45444.422633333335,24,46
2025-03-02,1h,1400.1151333333337,24790.604049999998,6,71
2025-03-02,4h,3930.4910500000005,80614.95788333334,24,70
2025-03-03,1h,499.29228333333356,7413.947233333336,6,55
2025-03-03,4h,440.2548500000001,7438.16418333334,24,90
2025-03-04,1h,112.81821666666656,1241.9153999999999,6,6
2025-03-04,4h,134.10603333333358,534.399133333335,24,120
2025-03-05,1h,428.4462666666668,3194.330533333332,6,78
2025-03-05,4h,123.14204999999941,1471.401966666654,24,114
2025-03-06,1h,382.48176666666694,6458.575150000004,6,90
2025-03-06,4h,853.57055,11252.514200000007,24,86
2025-03-07,1h,426.2079499999998,4866.826049999999,6,80
2025-03-07,4h,751.3262333333331,7958.162333333331,24,73
2025-03-08,1h,264.81153333333316,4774.030016666664,6,65
2025-03-08,4h,355.7333333333335,5215.506466666668,24,10
2025-03-09,1h,320.0195166666667,6060.934299999998,6,58
2025-03-09,4h,519.2945333333336,5191.3717500000075,24,46
2025-03-10,1h,2084.605683333333,30700.60964999999,6,72
2025-03-10,4h,3830.30345,106341.50943333333,24,57
2025-03-11,1h,375.9945000000002,4569.815966666664,6,92
2025-03-11,4h,676.9311666666664,11284.758566666656,24,87
2025-03-12,1h,170.64343333333352,3551.6929333333364,6,9
2025-03-12,4h,192.26404999999977,4040.5113999999994,24,99
2025-03-13,1h,1702.1249499999997,39170.13498333334,6,58
2025-03-13,4h,5516.764016666666,141805.6509666667,24,57
2025-03-14,1h,589.7170333333336,9212.088750000003,6,85
2025-03-14,4h,853.4110333333333,15773.993583333337,24,82
