strategy_id,date,day_index,recorded_cost_yuan,resolved_cost_yuan,objective_difference_yuan,mip_gap,plan_max_abs_diff_kWh
R0_naive,2025-02-01,0,24188.347572109873,24188.347572109873,0.0,0.0,5.684341886080801e-13
R0_naive,2025-03-20,47,42324.96540957803,42324.96540957802,7.275957614183426e-12,0.0,2.2737367544323206e-13
R0_naive,2025-06-21,140,22849.510490358567,22849.510490358567,0.0,0.0,1.6200374375330284e-12
R0_naive,2025-09-23,234,44689.73820879084,44689.73820879083,7.275957614183426e-12,0.0,2.2737367544323206e-13
R0_naive,2025-12-21,323,65395.90126456184,65395.90126456185,7.275957614183426e-12,0.0,2.2737367544323206e-13
R0_naive,2025-07-03,152,45196.204832400945,45196.204832400945,0.0,0.0,2.2737367544323206e-13
R0_naive,2025-12-14,316,66349.57723206363,66349.57723206363,0.0,0.0,2.2737367544323206e-13
R1_load_ridge,2025-02-01,0,27784.72363377056,27784.72363377056,0.0,0.0,2.2737367544323206e-13
R1_load_ridge,2025-03-20,47,41602.43927135356,41602.43927135356,0.0,0.0,2.2737367544323206e-13
R1_load_ridge,2025-06-21,140,21627.662221171115,21627.662221171115,0.0,0.0,5.684341886080802e-14
R1_load_ridge,2025-09-23,234,43899.91460660746,43899.91460660746,0.0,0.0,2.2737367544323206e-13
R1_load_ridge,2025-12-21,323,64323.43584909485,64323.43584909485,0.0,0.0,2.2737367544323206e-13
R1_load_ridge,2025-06-01,120,39954.57651414041,39954.57651414042,7.275957614183426e-12,0.0,1.1368683772161603e-13
R1_load_ridge,2025-12-08,310,65315.41933201616,65315.41933201614,1.4551915228366852e-11,0.0,3.410605131648481e-13
R2_pv_ridge,2025-02-01,0,25299.722589185665,25299.72258918566,3.637978807091713e-12,0.0,2.0463630789890885e-12
R2_pv_ridge,2025-03-20,47,42417.54010789878,42417.54010789878,0.0,0.0,2.2737367544323206e-13
R2_pv_ridge,2025-06-21,140,23510.939598552737,23510.939598552737,0.0,0.0,1.1368683772161603e-13
R2_pv_ridge,2025-09-23,234,43892.94117257804,43892.94117257804,0.0,1.6576600746748444e-16,2.2737367544323206e-13
R2_pv_ridge,2025-12-21,323,65291.15411790331,65291.15411790331,0.0,0.0,2.2737367544323206e-13
R2_pv_ridge,2025-06-01,120,37935.61721124054,37935.61721124054,0.0,0.0,2.2737367544323206e-13
R2_pv_ridge,2025-12-16,318,65723.13820643243,65723.13820643243,0.0,0.0,2.2737367544323206e-13
R3_both_ridge,2025-02-01,0,26479.50865160503,26479.50865160503,0.0,0.0,2.2737367544323206e-13
R3_both_ridge,2025-03-20,47,41714.55760474604,41714.55760474605,7.275957614183426e-12,0.0,2.2737367544323206e-13
R3_both_ridge,2025-06-21,140,21988.7419825806,21988.7419825806,0.0,0.0,5.684341886080802e-14
R3_both_ridge,2025-09-23,234,42967.53795797513,42967.53795797513,0.0,0.0,2.2737367544323206e-13
R3_both_ridge,2025-12-21,323,64185.06293532679,64185.06293532678,7.275957614183426e-12,1.1335904775094977e-16,2.2737367544323206e-13
R3_both_ridge,2025-06-01,120,38353.038096060314,38353.03809606031,7.275957614183426e-12,1.897100718842616e-16,2.2737367544323206e-13
R3_both_ridge,2025-12-08,310,65530.42300352178,65530.42300352178,0.0,0.0,3.410605131648481e-13
