strategy_id,month,total_cost_recomputed,delta_recomputed,delta_file
R0_naive,2025-02,1219879.7722109973,0.0,0.0
R0_naive,2025-03,1149994.9978190907,0.0,0.0
R0_naive,2025-04,964037.167527831,0.0,0.0
R0_naive,2025-05,1032151.5127669331,0.0,0.0
R0_naive,2025-06,1458239.8990227564,0.0,0.0
R0_naive,2025-07,1701429.3868917553,0.0,0.0
R0_naive,2025-08,1298899.1411918001,0.0,0.0
R0_naive,2025-09,1168429.0737627076,0.0,0.0
R0_naive,2025-10,1138824.8242045224,0.0,0.0
R0_naive,2025-11,1273083.0954635886,0.0,0.0
R0_naive,2025-12,1753391.6162777636,0.0,0.0
R1_load_ridge,2025-02,1224312.6875005842,4432.915289586876,4432.915289586876
R1_load_ridge,2025-03,1141456.5700995284,-8538.427719562314,-8538.427719562314
R1_load_ridge,2025-04,960658.6126521616,-3378.554875669419,-3378.5548756695352
R1_load_ridge,2025-05,1015001.8110835054,-17149.701683427673,-17149.70168342779
R1_load_ridge,2025-06,1402126.867717247,-56113.03130550939,-56113.03130550939
R1_load_ridge,2025-07,1506643.5210584865,-194785.86583326873,-194785.86583326897
R1_load_ridge,2025-08,1301371.5396570216,2472.398465221515,2472.398465221515
R1_load_ridge,2025-09,1163440.7453106232,-4988.328452084446,-4988.328452084446
R1_load_ridge,2025-10,1130241.614585124,-8583.209619398462,-8583.209619398462
R1_load_ridge,2025-11,1276990.9755838811,3907.880120292539,3907.880120292539
R1_load_ridge,2025-12,1704721.5798864162,-48670.036391347414,-48670.03639134765
R2_pv_ridge,2025-02,1211850.4752766707,-8029.296934326645,-8029.296934326645
R2_pv_ridge,2025-03,1134522.976660496,-15472.021158594638,-15472.021158594638
R2_pv_ridge,2025-04,961343.491166508,-2693.676361322985,-2693.676361322985
R2_pv_ridge,2025-05,1011012.0557984556,-21139.45696847746,-21139.456968477574
R2_pv_ridge,2025-06,1518147.0299934787,59907.1309707223,59907.1309707223
R2_pv_ridge,2025-07,1643002.4591105662,-58426.92778118909,-58426.927781189326
R2_pv_ridge,2025-08,1283271.751229672,-15627.38996212813,-15627.38996212813
R2_pv_ridge,2025-09,1143828.8463863023,-24600.227376405383,-24600.227376405383
R2_pv_ridge,2025-10,1136053.5628853682,-2771.261319154175,-2771.261319154175
R2_pv_ridge,2025-11,1265057.0816610237,-8026.013802564936,-8026.013802564936
R2_pv_ridge,2025-12,1755361.1052648465,1969.4889870828483,1969.4889870826155
R3_both_ridge,2025-02,1209972.3602484223,-9907.411962575046,-9907.411962575046
R3_both_ridge,2025-03,1137949.8284466297,-12045.169372461038,-12045.169372461038
R3_both_ridge,2025-04,969643.7638204036,5606.596292572562,5606.596292572562
R3_both_ridge,2025-05,991723.1893130867,-40428.32345384639,-40428.32345384639
R3_both_ridge,2025-06,1401231.23293693,-57008.666085826466,-57008.66608582647
R3_both_ridge,2025-07,1483141.4469525195,-218287.9399392358,-218287.93993923604
R3_both_ridge,2025-08,1287287.1255424835,-11612.0156493166,-11612.0156493166
R3_both_ridge,2025-09,1143547.55147164,-24881.522291067755,-24881.522291067755
R3_both_ridge,2025-10,1130259.8763728791,-8564.94783164328,-8564.94783164328
R3_both_ridge,2025-11,1268162.226575615,-4920.8688879737165,-4920.8688879737165
R3_both_ridge,2025-12,1699646.8194122836,-53744.79686548002,-53744.79686548025
