contrast,month,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,delta_morning_emergency_cost_yuan
no_correction,2025-02,-2791.0850104610436,-3272.191068529617,481.1060580686026,-1584.623489711943,222.18167846191864
no_correction,2025-03,-17.677418957697228,-850.6347372959135,832.9573183383909,-762.6001222222403,649.0720775049776
no_correction,2025-04,-128.406330014579,-201.16322866559494,72.75689865089953,-258.84467487604707,133.08661761758412
no_correction,2025-05,969.0138499808963,3371.846137451008,-2402.832287469995,1485.5503303707228,-669.8751188303795
no_correction,2025-06,-8451.882605868625,4304.215056171641,-12756.097662040265,1572.0281736646139,2392.483592395736
no_correction,2025-07,-9309.62842027191,4760.353572732303,-14069.981993004098,1748.2303097240947,3563.2036305970396
no_correction,2025-08,-1082.0113434116356,-879.7637959318236,-202.24754747995757,220.14336860994808,57.56262396601596
no_correction,2025-09,-13448.137272924418,-13981.196559181088,533.0592862565536,-24033.525606172887,1602.4325194648336
no_correction,2025-10,-9609.275531464256,-8071.412069805316,-1537.8634616589989,-13460.341584362148,-1623.4816148423124
no_correction,2025-11,1067.5706170329358,-951.4957002105657,2019.0663172435889,-513.9193084361978,855.4487625470501
no_correction,2025-12,407.5710424850695,754.8887270356063,-347.3176845507696,-213.09237613168807,-328.8377252750943
q80,2025-02,-10877.953347357688,-10877.953347357688,0.0,-15427.834727777838,0.0
q80,2025-03,-11730.882678289665,-11223.565586257726,-507.31709203197533,-17402.048630244914,0.0
q80,2025-04,-11560.785929171834,-11516.565896771266,-44.22003240050071,-18130.883281687275,-44.22003240050071
q80,2025-05,-17813.740125306416,-17813.7401253063,0.0,-35321.37245580659,0.0
q80,2025-06,-22183.243790415814,-22008.82236580574,-174.42142461016192,-46710.261124053795,-1.2601241995525925
q80,2025-07,-28269.672475214116,-27631.81579409307,-637.8566811212804,-59301.994778121414,-637.8566811212659
q80,2025-08,-16196.273024468683,-16091.621237805346,-104.65178666335487,-28356.10727287864,-104.65178666333304
q80,2025-09,-21285.60331536876,-21285.60331536876,1.4551915228366852e-11,-42326.09706084698,1.6370904631912708e-11
q80,2025-10,-17212.03614511434,-17212.03614511434,0.0,-31963.382655555615,0.0
q80,2025-11,-11273.532228892902,-10987.91049097618,-285.6217379166683,-18864.491571604973,0.0
q80,2025-12,-10915.08653998631,-10354.967788221082,-560.1187517652288,-20648.121769547375,-560.1187517652215
