month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,2020103.890572084,606.952843333331,191914.55198673875,595357.5547790122,480440.935417,1227897.515746677,2860.2098116779052,1230757.725558355,12,9,0.0
2025-03,1906161.1894528086,4632.933319580241,264375.2235236544,632111.7514845678,512010.5187025,1134096.1248627023,27629.755634678102,1161725.8804973804,23,9,0.0
2025-04,1661975.294847364,1901.4122018333378,334575.4974341996,587219.0032368312,475647.3926218333,965016.939938081,10581.013518921865,975597.9534570029,16,4,0.0
2025-05,1679325.5670078662,8960.169486499977,393240.74459960085,569655.4048847303,461420.87795663165,992865.9315224949,57099.32136974452,1049965.2528922395,57,14,0.0
2025-06,2187235.961976111,19555.72819383331,348424.52155051264,570389.4865057815,462015.4840696831,1355234.1004262024,125189.04238696977,1480423.1428131722,101,24,0.0
2025-07,2444995.2994989855,33051.38381105553,423411.84047782107,577976.7542923868,468161.1709768333,1532710.5189160744,196988.54045089518,1729699.0593669696,158,23,0.0
2025-08,2082432.7273393127,2729.7224681666585,387156.05132674903,599439.6537582304,485546.1195441666,1297297.3987449657,17798.015471302944,1315095.4142162688,65,37,0.0
2025-09,1893071.7675456975,3890.533000825098,398863.0151917112,577449.5689726921,467734.1508678807,1164678.2180131017,25036.459064974708,1189714.6770780764,29,18,0.0
2025-10,1913407.0965316212,135.25200966666267,319537.16913415643,625639.9388094649,506768.3504356666,1155282.8976430949,753.9627065419,1156036.8603496368,5,5,0.0
2025-11,2091708.0331778682,497.08985983332923,182492.83097839516,640736.2319788064,518996.3479028333,1281723.9607047632,2632.666987718388,1284356.6276924815,10,7,0.0
2025-12,2702314.8340919465,14750.118799333331,220484.00289279845,697600.072448148,565056.0586829999,1689015.4441534013,75291.25866434863,1764306.70281775,74,24,0.0
