strategy_id,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,theta,theta_preset,residual_days,fallback_reason,solver_seconds,mip_gap,milp_fallback
T_base_6000,2025-02-01,8801.462273333342,6461.617734629626,40205.1616685185,0.0,4726.18456028807,16877.164524897104,15776.363350000003,20935.604241257213,0.0,20935.604241257213,0,0,base,base,28,,0.03126069996505976,0.0,False
T_base_6000,2025-02-02,6461.617734629626,6481.581257777775,88653.02105452675,0.0,6003.802270781896,22499.861383744857,18206.920550000003,55898.87757683654,0.0,55898.87757683654,0,0,base,base,28,,0.03207570011727512,0.0,False
T_base_6000,2025-02-03,6481.581257777775,6378.642642592591,86353.45001399177,0.0,1721.8311232510289,23722.87970740741,19308.177316666668,54176.196805142215,0.0,54176.196805142215,0,0,base,base,28,,0.0345556999091059,0.0,False
T_base_6000,2025-02-04,6378.642642592591,6399.321981111108,88300.86576790122,0.0,2426.3705748971197,24531.68335967078,19852.052116666666,55376.962080845115,0.0,55376.962080845115,0,0,base,base,28,,0.01812569983303547,0.0,False
T_base_6000,2025-02-05,6399.321981111108,6250.542638888888,89316.85220987654,63.64457750000065,4351.921010493826,23231.843166049384,18951.6943725,56368.305282612586,443.98457264000456,56812.28985525259,1,1,base,base,28,,0.025503600016236305,0.0,False
T_base_6000,2025-02-06,6250.542638888888,6432.4481714814865,89142.964031893,29.40809999999999,4391.706296296301,22873.124418930038,18363.515799999997,56170.65223759068,171.32531989999995,56341.97755749068,2,1,base,base,28,,0.035363900009542704,0.0,False
T_base_6000,2025-02-07,6432.4481714814865,6122.271422777779,41461.774664197525,36.76728333333307,6252.236580658431,19577.814600205755,16137.188899999997,21313.641483630345,169.49071143333208,21483.132195063678,2,1,base,base,28,,0.0432825000025332,0.0,False
T_base_6000,2025-02-08,6122.271422777779,6053.16870611111,37556.13578765432,103.97230583333908,2466.8773547325045,19359.26561625515,15743.197594166662,19307.387170183825,614.6682525879505,19922.055422771777,2,2,base,base,28,,0.05376720009371638,0.0,False
T_base_6000,2025-02-09,6053.16870611111,5963.053408518517,82057.569957679,2112.5847438333367,279.18958765432365,23245.54165802469,18909.992510833326,51031.56195979808,13058.178202188934,64089.74016198701,12,4,base,base,28,,0.027270300080999732,0.0,False
T_base_6000,2025-02-10,5963.053408518517,5845.272645185185,85270.06507880657,26.8910508333342,6958.209426131688,21674.27266934156,17662.163549166668,53130.85103385658,122.9919861129208,53253.84301996951,3,1,base,base,28,,0.034407899947836995,0.0,False
