month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1994077.1604765677,606.952843333331,174687.96981410496,575090.8156462963,468974.34420716664,1215835.0274486702,2860.2098116779052,1218695.2372603482,12,9,0.0
2025-03,1878561.6636560224,4560.210112580245,245324.2095084218,585907.5695755143,474427.57178199996,1121754.1159476698,27122.438542646127,1148876.554490316,23,9,0.0
2025-04,1633032.8484801645,1892.6963188333375,314545.6007086623,541824.1911368541,439173.8460465185,952161.5055532895,10536.793486521365,962698.2990398109,16,4,0.0
2025-05,1634125.0263235616,8960.169486499977,355600.7918633436,523695.38564588473,423021.4466658333,973414.0074348254,57099.32136974452,1030513.32880457,57,14,0.0
2025-06,2132040.8388064895,19507.063406666643,297962.50138180866,545599.6405755143,442007.4059275,1331280.193086934,124947.68204944753,1456227.8751363817,100,24,0.0
2025-07,2375518.1541008865,32919.65610188886,359279.7353659671,549847.270708642,445508.4553885,1502697.633299593,196237.99760620648,1698935.6309057996,157,22,0.0
2025-08,2041515.6553059896,2709.3334354999915,356498.09201243625,547164.79932572,443550.7668633333,1279475.692341,17693.36368463961,1297169.0560256396,64,37,0.0
2025-09,1839266.7657054998,3890.533000825101,352321.21280781896,540879.2697728394,438427.0511243333,1141136.2521819097,25036.459064974726,1166172.7112468844,29,18,0.0
2025-10,1872509.6811091562,135.25200966666267,285332.51298279216,589623.0254641974,477444.19636149995,1136964.7249288473,753.9627065419,1137718.6876353892,5,5,0.0
2025-11,2067360.0372134876,439.4990264999956,162224.7324726338,620894.5422983539,503292.1465143333,1270223.904354886,2347.04524980172,1272570.9496046877,10,7,0.0
2025-12,2679718.4921870083,14642.270041438273,197867.84887674902,696946.9494308641,564490.9723125,1678028.4147834918,74760.04251174016,1752788.457295232,72,23,0.0
