month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1997187.1244675142,606.952843333331,176486.71725896094,576428.28562572,469000.5976405,1217019.5623993194,2860.2098116779052,1219879.7722109973,12,9,0.0
2025-03,1881623.2792659814,4560.210112580245,246973.17489340948,593554.0233911521,480661.37537266663,1122872.5592764446,27122.438542646127,1149994.9978190907,23,9,0.0
2025-04,1636793.2599097467,1892.6963188333375,316444.61415251234,551505.3394179011,446993.5963418333,953500.3740413097,10536.793486521365,964037.167527831,16,4,0.0
2025-05,1638604.3342565123,8960.169486499977,357919.37214379426,535240.6378292181,432405.97119666665,975052.1913971886,57099.32136974452,1032151.5127669331,57,14,0.0
2025-06,2137018.669239218,19520.560515833313,301714.26042645884,552236.5381925926,447404.73504733335,1333225.278060397,125014.62096235961,1458239.8990227564,100,24,0.0
2025-07,2381673.652222926,32939.33069055553,364109.84569969965,557555.5255874485,451871.6478903333,1505078.7031219816,196350.6837697739,1701429.3868917555,156,22,0.0
2025-08,2046243.1972665824,2709.3334354999884,358799.9440538704,558796.4363563785,452756.7139748333,1281205.7775071603,17693.36368463959,1298899.1411918001,64,37,0.0
2025-09,1844988.6210055656,3890.533000825101,356536.9181308642,548997.20903786,445038.8404123333,1143392.614697733,25036.459064974726,1168429.0737627076,29,18,0.0
2025-10,1875075.7375957735,135.25200966666267,287573.7864786008,591832.399889506,479328.78779599996,1138070.8614979805,753.9627065419,1138824.8242045224,5,5,0.0
2025-11,2068882.6533138992,439.4990264999956,163628.33940679018,620870.3413312756,503148.936381,1270736.050213787,2347.04524980172,1273083.0954635886,10,7,0.0
2025-12,2681603.877324662,14639.119436833336,199835.88112325108,696925.6488337448,564555.4694288333,1678660.4763651802,74731.13991258341,1753391.6162777639,73,23,0.0
